"Source","Target","Category","Notes"
"AGENTS.md","AGENTS.md","root_config","项目操作规则"
"项目文件说明.md","00_docs\项目文件说明.md","docs","项目文件说明"
"0 data-processing gdp&macro data.ipynb","01_data_pipeline\0 data-processing gdp&macro data.ipynb","pipeline","原始数据处理"
"1 variable_preparation_flow.ipynb","01_data_pipeline\1 variable_preparation_flow.ipynb","pipeline","变量准备主流程"
"2 分窗口回测_处理疫情_删除桥方程_扩展利率","02_rolling_window_nowcasting\01_mainline_interest19\2 分窗口回测_处理疫情_删除桥方程_扩展利率","nowcasting_mainline","主线：处理疫情+删除桥方程+扩展利率"
"2 分窗口回测_处理疫情","archive\rolling_window_nowcasting_experiments\02_pandemic_options\2 分窗口回测_处理疫情","pandemic_option","处理疫情版本（保留桥方程）"
"2 分窗口回测_未处理疫情","archive\rolling_window_nowcasting_experiments\02_pandemic_options\2 分窗口回测_未处理疫情","pandemic_option","未处理疫情版本"
"2 疫情处理-窄窗口vs宽窗口","archive\rolling_window_nowcasting_experiments\02_pandemic_options\2 疫情处理-窄窗口vs宽窗口","pandemic_option","窄窗口vs宽窗口"
"2 分窗口回测_处理疫情_删除桥方程","archive\rolling_window_nowcasting_experiments\03_bridge_comparison\2 分窗口回测_处理疫情_删除桥方程","bridge_compare","删除桥方程版本"
"2 model_operation_flow 单因子.ipynb","archive\rolling_window_nowcasting_experiments\04_factor_comparison\2 model_operation_flow 单因子.ipynb","factor_compare","单因子版本"
"2 model_operation_flow 单因子拟牛顿法.ipynb","archive\rolling_window_nowcasting_experiments\04_factor_comparison\2 model_operation_flow 单因子拟牛顿法.ipynb","factor_compare","单因子拟牛顿法"
"2 model_operation_flow 三因子拟牛顿法 1995版.ipynb","archive\rolling_window_nowcasting_experiments\04_factor_comparison\2 model_operation_flow 三因子拟牛顿法 1995版.ipynb","factor_compare","三因子拟牛顿法 1995版"
"2 model_operation_flow 三因子拟牛顿法 QN只更新AR.ipynb","archive\rolling_window_nowcasting_experiments\04_factor_comparison\2 model_operation_flow 三因子拟牛顿法 QN只更新AR.ipynb","factor_compare","三因子拟牛顿法 QN只更新AR"
"2 final 2005-2014 Nowcasting动态因子模型+十年回测.ipynb","archive\rolling_window_nowcasting_experiments\05_window_start_experiments\2 final 2005-2014 Nowcasting动态因子模型+十年回测.ipynb","window_experiment","2005起点 final"
"2 final 2005-2014 Nowcasting动态因子模型+十年回测_未处理疫情版本.ipynb","archive\rolling_window_nowcasting_experiments\05_window_start_experiments\2 final 2005-2014 Nowcasting动态因子模型+十年回测_未处理疫情版本.ipynb","window_experiment","2005起点 final 未处理疫情"
"3 GDP_Bond_Backtest.ipynb","03_bond_backtest\3 GDP_Bond_Backtest.ipynb","bond_backtest","债券回测主版"
"3 GDP_Bond_Backtest_net_price_short_horizon.ipynb","03_bond_backtest\3 GDP_Bond_Backtest_net_price_short_horizon.ipynb","bond_backtest","短窗口净价回测"
"3 GDP_Bond_Backtest_no_bridge_interest19.ipynb","03_bond_backtest\3 GDP_Bond_Backtest_no_bridge_interest19.ipynb","bond_backtest","interest19 债券回测"
"Nowcasting GDP result.csv","03_bond_backtest\Nowcasting GDP result.csv","bond_backtest_input","bridge版回测输入"
"Nowcasting GDP result_no_bridge.csv","03_bond_backtest\Nowcasting GDP result_no_bridge.csv","bond_backtest_input","no_bridge回测输入"
"Nowcasting GDP result_no_bridge_interest19.csv","03_bond_backtest\Nowcasting GDP result_no_bridge_interest19.csv","bond_backtest_input","interest19回测输入"
"0 资料","data\external_docs\0 资料","external_docs","参考资料"
"月频模型数据&成果\1980年至今数据","data\raw\1980年至今数据","raw_data","原始数据目录"
"月频模型数据&成果\processed","data\processed\processed","processed_data","processed目录"
"月频模型数据&成果\中债-新综合指数.csv","data\raw\中债-新综合指数.csv","raw_data","债券指数原始数据"
"月频模型数据&成果\中债-新综合指数编制说明.pdf","data\external_docs\中债-新综合指数编制说明.pdf","external_docs","指数编制说明"
"月频模型数据&成果\bond_net_price_change_t20_1d.csv","data\processed\bond_net_price_change_t20_1d.csv","processed_data","短窗口1d收益"
"月频模型数据&成果\bond_net_price_change_t20_1w.csv","data\processed\bond_net_price_change_t20_1w.csv","processed_data","短窗口1w收益"
"月频模型数据&成果\新综合指数变化率.csv","data\processed\新综合指数变化率.csv","processed_data","指数变化率"
"月频模型数据&成果\新综合指数变化率_20日版.csv","data\processed\新综合指数变化率_20日版.csv","processed_data","20日版指数变化率"
