n_obs,mean_error_raw,mae_raw,rmse_raw,corr_raw,summary_type,forecast_year
12.0,0.01199092345859516,0.23475240154992663,0.26966065487938967,-0.22237560121534666,nowcast_monthly_by_year,2015
12.0,-0.11663169830554922,0.16858349983201812,0.23706436120534408,0.7787028522512195,nowcast_monthly_by_year,2016
12.0,0.3402375022850701,0.3402375022850701,0.389049829170708,0.3124183973581986,nowcast_monthly_by_year,2018
12.0,-0.09927571404100499,0.19041130556467956,0.23619840539734324,0.24214246477952853,nowcast_monthly_by_year,2019
9.0,-1.4457198034969303,3.160856617119535,4.425954619682514,0.9310873768310906,nowcast_monthly_by_year,2020
9.0,1.0891004540039368,1.3957137231185872,1.7252483696807335,0.6931064046422161,nowcast_monthly_by_year,2021
9.0,0.9179981751417964,1.0448650821696281,1.269508703289114,0.472862303337056,nowcast_monthly_by_year,2022
9.0,-0.13304092445796162,1.4088212767860249,1.6433960331393123,0.8819612499666902,nowcast_monthly_by_year,2023
12.0,-0.2469730461646169,0.3643601300349037,0.4315440142612538,0.4017270606791435,nowcast_monthly_by_year,2024
12.0,-0.11936738393885499,0.22834979441817752,0.29620506483522735,0.673048431846854,nowcast_monthly_by_year,2025
