train_window,forecast_year,calendar_year,month,information_date,target_quarter_end,months_before_quarter_end,latest_released_monthly_period,latest_released_gdp_quarter_end,predicted_gdp_raw,actual_gdp_raw,prediction_error_raw,prediction_abs_error_raw,prediction_squared_error_raw,model_loading_gdp_raw,macro_S_target_nowcast,real_S_target_nowcast,nominal_S_target_nowcast
2005-2014,2015,2015,2015-01,2015-01-19,2015-03,2,2015-01,2015-01,7.358259432421397,7.1,0.2582594324213971,0.2582594324213971,0.0666979344346222,7.358259432421397,-137.78643513611394,4.865299798926646,203.9068648647459
2005-2014,2015,2015,2015-02,2015-02-19,2015-03,1,2015-02,2015-01,7.008876973589286,7.1,-0.0911230264107132,0.0911230264107132,0.0083034059422475,7.008876973589286,-153.3676627780842,8.196987747533004,201.773403358025
2005-2014,2015,2015,2015-03,2015-03-19,2015-03,0,2015-03,2015-01,6.705922657979788,7.1,-0.3940773420202115,0.3940773420202115,0.1552969514937147,6.705922657979788,-162.63792449984618,16.208862885698522,240.8951189299256
2005-2014,2015,2015,2015-04,2015-04-19,2015-06,2,2015-04,2015-04,6.694684343413422,7.1,-0.4053156565865778,0.4053156565865778,0.1642807814742087,6.694684343413422,-159.94140982539795,20.179217816899147,233.33633896052288
2005-2014,2015,2015,2015-05,2015-05-19,2015-06,1,2015-05,2015-04,6.828817465499336,7.1,-0.2711825345006637,0.2711825345006637,0.0735399670182036,6.828817465499336,-156.58700186453814,15.725868716259122,232.266598250572
2005-2014,2015,2015,2015-06,2015-06-19,2015-06,0,2015-06,2015-04,6.925129690970177,7.1,-0.1748703090298224,0.1748703090298224,0.0305796249801856,6.925129690970177,-155.04038269902787,11.486862685402857,221.61891009750332
2005-2014,2015,2015,2015-07,2015-07-19,2015-09,2,2015-07,2015-07,7.458847024877933,7.0,0.458847024877933,0.458847024877933,0.2105405922393305,7.458847024877933,-139.25674302101783,-3.2896105008508347,210.32555866194843
2005-2014,2015,2015,2015-08,2015-08-19,2015-09,1,2015-08,2015-07,7.308409788814623,7.0,0.3084097888146235,0.3084097888146235,0.0951165978366807,7.308409788814623,-139.05149494137422,6.498105808713117,213.05941461800296
2005-2014,2015,2015,2015-09,2015-09-19,2015-09,0,2015-09,2015-07,7.216429409277,7.0,0.2164294092769996,0.2164294092769996,0.046841689199991,7.216429409277,-141.77314525607608,9.042844085462432,221.0902411021921
2005-2014,2015,2015,2015-10,2015-10-19,2015-12,2,2015-10,2015-10,7.017585809774822,6.9,0.1175858097748214,0.1175858097748214,0.0138264226604005,7.017585809774822,-139.87619902164352,23.94394012467036,207.78198242337052
2005-2014,2015,2015,2015-11,2015-11-19,2015-12,1,2015-11,2015-10,6.972009998629622,6.9,0.0720099986296212,0.0720099986296212,0.005185439902638,6.972009998629622,-149.86802424950343,14.762810262773549,205.43416071390584
2005-2014,2015,2015,2015-12,2015-12-19,2015-12,0,2015-12,2015-10,6.948918486255735,6.9,0.0489184862557348,0.0489184862557348,0.0023930182975525,6.948918486255735,-149.8556800568524,16.24203733710614,213.2301364045471
2006-2015,2016,2016,2016-01,2016-01-19,2016-03,2,2016-01,2016-01,6.863958165865039,6.8,0.0639581658650394,0.0639581658650394,0.0040906469808198,6.863958165865039,-90.15712048819148,8.585402343815858,9.723707384484468
2006-2015,2016,2016,2016-02,2016-02-19,2016-03,1,2016-02,2016-01,6.799936131142248,6.8,-6.3868857751892e-05,6.3868857751892e-05,4.079230990531414e-09,6.799936131142248,-90.0444255724504,4.865518314881463,11.70726221667716
2006-2015,2016,2016,2016-03,2016-03-19,2016-03,0,2016-03,2016-01,6.623568561136015,6.8,-0.1764314388639851,0.1764314388639851,0.0311280526196161,6.623568561136015,-95.18237114162903,4.301386888935976,14.377301503490868
2006-2015,2016,2016,2016-04,2016-04-19,2016-06,2,2016-04,2016-04,6.047607142323775,6.7,-0.652392857676225,0.652392857676225,0.4256164407469512,6.047607142323775,-117.44978174851008,12.213742935708456,16.215303849730276
2006-2015,2016,2016,2016-05,2016-05-19,2016-06,1,2016-05,2016-04,6.523631374978933,6.7,-0.1763686250210669,0.1763686250210669,0.0311058918918217,6.523631374978933,-100.32624161309428,7.949523444247433,16.751780227652535
2006-2015,2016,2016,2016-06,2016-06-19,2016-06,0,2016-06,2016-04,6.392239111188106,6.7,-0.3077608888118943,0.3077608888118943,0.0947167646822872,6.392239111188106,-108.16365549801807,14.655636401070776,16.39229525942917
2006-2015,2016,2016,2016-07,2016-07-19,2016-09,2,2016-07,2016-07,6.557337334339792,6.7,-0.1426626656602083,0.1426626656602083,0.0203526361732763,6.557337334339792,-110.9555182208244,28.69381428287334,13.235997140641835
2006-2015,2016,2016,2016-08,2016-08-19,2016-09,1,2016-08,2016-07,6.609225234868523,6.7,-0.0907747651314769,0.0907747651314769,0.0082400579846748,6.609225234868523,-109.26343105510864,28.539005259080525,14.304615209960495
2006-2015,2016,2016,2016-09,2016-09-19,2016-09,0,2016-09,2016-07,6.535163921197205,6.7,-0.1648360788027956,0.1648360788027956,0.0271709328750814,6.535163921197205,-110.61927686282776,26.87723878707743,13.647605360141064
2006-2015,2016,2016,2016-10,2016-10-19,2016-12,2,2016-10,2016-10,6.891809424742251,6.8,0.0918094247422507,0.0918094247422507,0.008428970471503,6.891809424742251,-102.23598366159968,31.584169650070685,12.703118366965487
2006-2015,2016,2016,2016-11,2016-11-19,2016-12,1,2016-11,2016-10,6.953418922127206,6.8,0.1534189221272059,0.1534189221272059,0.0235373656666736,6.953418922127206,-102.60505901032542,35.62708774293634,15.338032122645798
2006-2015,2016,2016,2016-12,2016-12-19,2016-12,0,2016-12,2016-10,6.802524296424317,6.8,0.0025242964243172,0.0025242964243172,6.37207243782103e-06,6.802524296424317,-106.10457361061356,33.5513555670059,17.138884496537134
2008-2017,2018,2018,2018-01,2018-01-19,2018-03,2,2018-01,2018-01,6.967974346711351,6.9,0.0679743467113507,0.0679743467113507,0.0046205118108349,6.967974346711351,78.75508536036799,134.63146993131272,37.274025098714176
2008-2017,2018,2018,2018-02,2018-02-19,2018-03,1,2018-02,2018-01,7.269744811457843,6.9,0.369744811457843,0.369744811457843,0.1367112255999958,7.269744811457843,67.21236540254986,293.7948591727286,35.06890900741706
2008-2017,2018,2018,2018-03,2018-03-19,2018-03,0,2018-03,2018-01,7.275191060130854,6.9,0.3751910601308532,0.3751910601308532,0.1407683316021135,7.275191060130854,66.7464617615835,288.7938854662522,42.84673564034127
2008-2017,2018,2018,2018-04,2018-04-19,2018-06,2,2018-04,2018-04,7.367642888438959,6.9,0.4676428884389585,0.4676428884389585,0.2186898711075322,7.367642888438959,54.81189144044197,80.84840665721003,46.53843428957489
2008-2017,2018,2018,2018-05,2018-05-19,2018-06,1,2018-05,2018-04,6.990149974318663,6.9,0.0901499743186624,0.0901499743186624,0.0081270178696554,6.990149974318663,79.3257953125126,189.69947049372055,46.2820343897549
2008-2017,2018,2018,2018-06,2018-06-19,2018-06,0,2018-06,2018-04,7.01881044096572,6.9,0.1188104409657198,0.1188104409657198,0.0141159208824687,7.01881044096572,81.5624933129995,306.69336310574045,46.63939102712359
2008-2017,2018,2018,2018-07,2018-07-19,2018-09,2,2018-07,2018-07,6.924196458261887,6.7,0.2241964582618871,0.2241964582618871,0.0502640518971741,6.924196458261887,83.48176794888715,204.83648070867048,44.04291505857725
2008-2017,2018,2018,2018-08,2018-08-19,2018-09,1,2018-08,2018-07,7.013489282223539,6.7,0.3134892822235384,0.3134892822235384,0.0982755300690293,7.013489282223539,77.57335707721543,175.73092114945075,46.55676831496935
2008-2017,2018,2018,2018-09,2018-09-19,2018-09,0,2018-09,2018-07,7.120681702816979,6.7,0.4206817028169789,0.4206817028169789,0.1769730950849929,7.120681702816979,72.75709680275118,210.3773147238581,48.46166464714903
2008-2017,2018,2018,2018-10,2018-10-19,2018-12,2,2018-10,2018-10,7.241820182582654,6.5,0.7418201825826536,0.7418201825826536,0.5502971832869615,7.241820182582654,58.11987971728931,-31.509068124029117,48.45283380935284
2008-2017,2018,2018,2018-11,2018-11-19,2018-12,1,2018-11,2018-10,7.043055099049143,6.5,0.543055099049143,0.543055099049143,0.2949088406032744,7.043055099049143,67.37752915417919,-85.7598302141646,50.185785551526166
2008-2017,2018,2018,2018-12,2018-12-19,2018-12,0,2018-12,2018-10,6.8500937804632525,6.5,0.3500937804632524,0.3500937804632524,0.122565655119052,6.8500937804632525,78.82420508872552,-63.25268169969707,51.63672648376316
2009-2018,2019,2019,2019-01,2019-01-19,2019-03,2,2019-01,2019-01,6.0093938871779695,6.4,-0.3906061128220308,0.3906061128220308,0.152573135373937,6.0093938871779695,-19.77217606132882,29.301948887571054,-1.390299784591578
2009-2018,2019,2019,2019-02,2019-02-19,2019-03,1,2019-02,2019-01,6.0820818843226405,6.4,-0.3179181156773598,0.3179181156773598,0.1010719282758431,6.0820818843226405,-19.612212505928447,27.682489557085937,-2.381883909795779
2009-2018,2019,2019,2019-03,2019-03-19,2019-03,0,2019-03,2019-01,5.922229307775696,6.4,-0.4777706922243041,0.4777706922243041,0.2282648343484907,5.922229307775696,-21.34477969109165,29.888495151035748,-2.8666980407660647
2009-2018,2019,2019,2019-04,2019-04-19,2019-06,2,2019-04,2019-04,6.16283896538667,6.1,0.0628389653866703,0.0628389653866703,0.0039487355708671,6.16283896538667,-19.34220382717661,25.97384847851456,-0.4813307026086198
2009-2018,2019,2019,2019-05,2019-05-19,2019-06,1,2019-05,2019-04,6.119885448029922,6.1,0.0198854480299219,0.0198854480299219,0.0003954310433507,6.119885448029922,-17.609236200323267,28.724797502554654,1.179534500036011
2009-2018,2019,2019,2019-06,2019-06-19,2019-06,0,2019-06,2019-04,6.0033720298818585,6.1,-0.0966279701181411,0.0966279701181411,0.0093369646091523,6.0033720298818585,-19.69606371134144,29.523838257774784,1.6554732115497668
2009-2018,2019,2019,2019-07,2019-07-19,2019-09,2,2019-07,2019-07,6.296973802246106,6.0,0.2969738022461063,0.2969738022461063,0.0881934392205094,6.296973802246106,-15.955999901136488,26.01967591914728,2.408028793587101
2009-2018,2019,2019,2019-08,2019-08-19,2019-09,1,2019-08,2019-07,6.092891912500615,6.0,0.0928919125006153,0.0928919125006153,0.0086289074080219,6.092891912500615,-17.728965456106508,29.2669845997091,2.3118662301983908
2009-2018,2019,2019,2019-09,2019-09-19,2019-09,0,2019-09,2019-07,5.852536690735344,6.0,-0.1474633092646557,0.1474633092646557,0.0217454275792835,5.852536690735344,-21.83954738904724,31.10608690211027,2.3058837002559267
2009-2018,2019,2019,2019-10,2019-10-19,2019-12,2,2019-10,2019-10,5.974223420978734,5.9,0.0742234209787335,0.0742234209787335,0.0055091162217863,5.974223420978734,-18.23542341764565,31.67006627817406,2.713176614292886
2009-2018,2019,2019,2019-11,2019-11-19,2019-12,1,2019-11,2019-10,5.711077630476286,5.9,-0.1889223695237145,0.1889223695237145,0.0356916617064549,5.711077630476286,-23.87649352952125,32.56376285350262,5.87929134697793
2009-2018,2019,2019,2019-12,2019-12-19,2019-12,0,2019-12,2019-10,5.781186451996099,5.9,-0.1188135480039012,0.1188135480039012,0.0141166591892753,5.781186451996099,-19.69567970607696,34.95440947460849,8.156663706614129
2010-2019,2020,2020,2020-04,2020-04-19,2020-06,2,2020-04,2020-04,-6.890071268557498,3.2,-10.090071268557498,10.090071268557498,101.80953820456952,-6.890071268557498,-466.6540362968469,913.0375322569876,1264.791601000591
2010-2019,2020,2020,2020-05,2020-05-19,2020-06,1,2020-05,2020-04,-3.4562638952637625,3.2,-6.656263895263763,6.656263895263763,44.30584904339192,-3.4562638952637625,-302.98792662179767,706.935677774429,473.2424499896738
2010-2019,2020,2020,2020-06,2020-06-19,2020-06,0,2020-06,2020-04,-0.7176825577984962,3.2,-3.917682557798496,3.917682557798496,15.348236623678568,-0.7176825577984962,-189.00020577274535,539.789699801569,140.75810790393382
2010-2019,2020,2020,2020-07,2020-07-19,2020-09,2,2020-07,2020-07,4.834423828845662,4.9,-0.0655761711543387,0.0655761711543387,0.0043002342232631,4.834423828845662,87.55390434574451,208.54305434385316,-1000.9373761880344
2010-2019,2020,2020,2020-08,2020-08-19,2020-09,1,2020-08,2020-07,5.581309066459834,4.9,0.6813090664598338,0.6813090664598338,0.4641820440403702,5.581309066459834,67.03351987845724,154.30784617296771,-600.6518720781396
2010-2019,2020,2020,2020-09,2020-09-19,2020-09,0,2020-09,2020-07,5.66427995068574,4.9,0.7642799506857401,0.7642799506857401,0.5841238430201973,5.66427995068574,9.280211199034056,138.9849793606605,-324.24351851402514
2010-2019,2020,2020,2020-10,2020-10-19,2020-12,2,2020-10,2020-10,9.131541728648289,6.5,2.631541728648287,2.631541728648287,6.925011869617214,9.131541728648289,90.09554817664444,-83.2786904106799,-668.7926507430006
2010-2019,2020,2020,2020-11,2020-11-19,2020-12,1,2020-11,2020-10,8.66111043979681,6.5,2.161110439796809,2.161110439796809,4.67039833299876,8.66111043979681,72.64881123343363,-54.20881384094403,-510.2391604095112
2010-2019,2020,2020,2020-12,2020-12-19,2020-12,0,2020-12,2020-10,7.979874475711051,6.5,1.479874475711051,1.479874475711051,2.190028463861057,7.979874475711051,64.13105232803403,-9.30549261805249,-420.2996274152605
2011-2020,2021,2021,2021-04,2021-04-19,2021-06,2,2021-04,2021-04,11.34005877442308,8.1,3.24005877442308,3.24005877442308,10.49798086171599,11.34005877442308,19.600357482364146,-20.778273733739567,-12.315577168253656
2011-2020,2021,2021,2021-05,2021-05-19,2021-06,1,2021-05,2021-04,7.12917406512125,8.1,-0.97082593487875,0.97082593487875,0.942502995833199,7.12917406512125,2.0302709551146467,20.824673617843736,-8.449700818675323
2011-2020,2021,2021,2021-06,2021-06-19,2021-06,0,2021-06,2021-04,7.777282729397831,8.1,-0.3227172706021681,0.3227172706021681,0.104146436744913,7.777282729397831,4.871369526187511,16.40332347257801,-6.922032497994099
2011-2020,2021,2021,2021-07,2021-07-19,2021-09,2,2021-07,2021-07,8.35919865339825,5.5,2.8591986533982503,2.8591986533982503,8.175016939594368,8.35919865339825,5.857270293884428,-10.233174975115231,-3.965982515375205
2011-2020,2021,2021,2021-08,2021-08-19,2021-09,1,2021-08,2021-07,7.278304263234621,5.5,1.778304263234621,1.778304263234621,3.1623660526384287,7.278304263234621,0.6121658639713605,-10.19969187240919,-5.486149068713035
2011-2020,2021,2021,2021-09,2021-09-19,2021-09,0,2021-09,2021-07,5.41378349446499,5.5,-0.0862165055350097,0.0862165055350097,0.0074332858266683,5.41378349446499,-7.429170052392014,4.433452122349001,-6.220260866811804
2011-2020,2021,2021,2021-10,2021-10-19,2021-12,2,2021-10,2021-10,5.863949222688838,4.5,1.363949222688838,1.363949222688838,1.8603574820734847,5.863949222688838,-6.069166431002116,-7.521235486067514,-5.595298393672392
2011-2020,2021,2021,2021-11,2021-11-19,2021-12,1,2021-11,2021-10,5.749751944733016,4.5,1.249751944733016,1.249751944733016,1.5618799233639558,5.749751944733016,-8.065312913400678,-28.40249360474502,-3.012720952204549
2011-2020,2021,2021,2021-12,2021-12-19,2021-12,0,2021-12,2021-10,5.1904009385735534,4.5,0.6904009385735534,0.6904009385735534,0.4766534559832435,5.1904009385735534,-9.971832510272083,-16.68611874504566,-0.6174871861294471
2012-2021,2022,2022,2022-01,2022-01-19,2022-03,2,2022-01,2022-01,4.481735972986646,4.8,-0.3182640270133534,0.3182640270133534,0.1012919908907565,4.481735972986646,-53.25697348608017,-1.5287055495355872,-5.706141843296853
2012-2021,2022,2022,2022-02,2022-02-19,2022-03,1,2022-02,2022-01,4.547362945388111,4.8,-0.2526370546118892,0.2526370546118892,0.0638254813629707,4.547362945388111,-53.176921063736685,0.3132252794933938,-25.60655735950424
2012-2021,2022,2022,2022-03,2022-03-19,2022-03,0,2022-03,2022-01,5.920606199774243,4.8,1.120606199774243,1.120606199774243,1.2557582549724704,5.920606199774243,-22.598306612173843,3.863040861520324,-30.26392363982229
2012-2021,2022,2022,2022-07,2022-07-19,2022-09,2,2022-07,2022-07,6.575776962143659,4.0,2.5757769621436597,2.5757769621436597,6.634626958710018,6.575776962143659,-10.007443674578012,7.975700516428331,10.340052360749638
2012-2021,2022,2022,2022-08,2022-08-19,2022-09,1,2022-08,2022-07,4.914822655610393,4.0,0.9148226556103928,0.9148226556103928,0.8369004912180511,4.914822655610393,-51.83887779633858,9.549330132567963,11.511286260534954
2012-2021,2022,2022,2022-09,2022-09-19,2022-09,0,2022-09,2022-07,5.290797494691089,4.0,1.2907974946910894,1.2907974946910894,1.666158172300793,5.290797494691089,-46.26850726294302,13.913059688570613,9.81632938529384
