n_obs,mean_error_raw,mae_raw,rmse_raw,corr_raw,summary_type,calendar_year
12.0,0.2886605433702285,0.2902867237688557,0.4096627190993794,0.8760342099376298,smoother_monthly_by_year,2005
24.0,-0.019033054306941022,0.2151107096619702,0.2801534793633408,0.9450892632941229,smoother_monthly_by_year,2006
24.0,-0.4375133698137062,0.4426905680993434,0.5673089416010724,0.6889679199322701,smoother_monthly_by_year,2007
36.0,-0.01337757271674156,0.2993405141841177,0.39519432729434734,0.9865514640860686,smoother_monthly_by_year,2008
48.0,0.002139889928306641,0.2978909985699205,0.40199023886798124,0.9831100384300342,smoother_monthly_by_year,2009
60.0,0.05038214730644493,0.292610550720605,0.4163238726084903,0.9061525351994326,smoother_monthly_by_year,2010
72.0,-0.04125102083952524,0.16684367495673275,0.23267701070723149,0.909022788521447,smoother_monthly_by_year,2011
84.0,0.12424777201452833,0.25322379963831276,0.32426093504134096,0.5280291057416334,smoother_monthly_by_year,2012
96.0,0.030680403565268532,0.12753840683146708,0.16180874170343656,0.34204022001797035,smoother_monthly_by_year,2013
108.0,-0.032867913132897976,0.13591169235438086,0.1618271223714837,0.5016658150387858,smoother_monthly_by_year,2014
108.0,-0.15862018180514206,0.19521884203762918,0.23588890227113432,0.4565195298809349,smoother_monthly_by_year,2015
108.0,0.004793842346055671,0.08156530268084304,0.10981834127205692,0.45080179167250206,smoother_monthly_by_year,2016
108.0,0.04860152888954067,0.11903641246485142,0.14095294244831522,0.25923622712098576,smoother_monthly_by_year,2017
96.0,-0.13867515335061234,0.1632120672377295,0.18748652570909338,0.8358278044239774,smoother_monthly_by_year,2018
84.0,0.03374471054179901,0.12869830087693568,0.14624715254511075,0.6708304817588383,smoother_monthly_by_year,2019
72.0,-0.27085999204331945,0.40435331092019483,0.5106399363206889,0.9511130277816284,smoother_monthly_by_year,2020
60.0,-0.04121068970369047,0.28503220455845407,0.34256290163758585,0.9882968089350211,smoother_monthly_by_year,2021
48.0,-0.08943206539269123,0.44965745791453227,0.5181099533045022,0.7661977437109686,smoother_monthly_by_year,2022
36.0,0.4489353709688601,0.47250432550943267,0.5496825497056648,0.6330240841328364,smoother_monthly_by_year,2023
24.0,-0.1526995259492212,0.17011964991867887,0.26073007610164745,0.8156310180158045,smoother_monthly_by_year,2024
12.0,-0.14574986861824116,0.14574986861824116,0.17535691676672838,0.9628896561015784,smoother_monthly_by_year,2025
