month,quarter,nowcasting_GDP,actual_gdp_yoy,actual_gdp_lag1,actual_gdp_lag2,past2_actual_gdp_mean,gdp_gap_vs_lag2_avg,gdp_signal_direction,gdp_signal_abs,nowcasting_gdp_diff,actual_gdp_yoy_diff,中债-新综合财富(3-5年)指数__next_1m,中债-新综合净价(3-5年)指数__next_1m,中债-新综合全价(3-5年)指数__next_1m,中债-综合财富(3-5年)指数__next_1m,中债-综合净价(3-5年)指数__next_1m,中债-综合全价(3-5年)指数__next_1m,中债-新综合财富(5-7年)指数__next_1m,中债-新综合净价(5-7年)指数__next_1m,中债-新综合全价(5-7年)指数__next_1m,中债-综合财富(5-7年)指数__next_1m,中债-综合净价(5-7年)指数__next_1m,中债-综合全价(5-7年)指数__next_1m,中国:GDP:不变价:当季值同比,万得一致预测:中国:GDP:不变价:当季同比,中国:制造业PMI:一阶差分,中国:非制造业PMI:服务业:一阶差分,中国:工业增加值:规模以上工业企业:当月同比(1-2月拆分),中国:全社会用电量:当月同比,中国:社会消费品零售总额:当月同比(1-2月合并),中国:固定资产投资完成额:当月同比,中国:CPI:当月同比,中国:PPI:当月同比,中国:城镇调查失业率:一阶差分,quarter__macro,逆回购7天_月末_较上月变动,MLF1Y_月末_较上月变动,LPR1Y_月末_较上月变动,DR007_月均_较上月变动,资金利差_DR007减逆回购_较上月变动,资金利差_DR007减MLF_较上月变动
2015-01,2015Q1,7.358259432421397,7.1,7.4,7.3,7.35,0.00825943242139715,1.0,0.00825943242139715,,,0.0047097893432466,0.0047096229320879,0.0066932957106473,0.0066936312121816,0.0096687231538741,0.0096724552158107,0.0130264319731769,0.0130332389647853,0.0083280553047555,0.0083274928566476,0.0087935958662521,0.0087936999271667,,,-0.3000000000000042,-0.3999999999999986,9.6,,,,0.7638,-4.3202,,2015Q1,-0.24999999999999956,,0.0,-0.3224999999999998,-0.5185909090909093,
2015-02,2015Q1,7.008876973589286,7.1,7.4,7.3,7.35,-0.34112302641071324,-1.0,0.34112302641071324,-0.3493824588321104,0.0,-0.0189298642712367,-0.0189335852278117,-0.0199918901423407,-0.019994926674015,-0.0129792569807133,-0.0130286770141324,-0.0168832499505355,-0.0169146190930624,-0.02174012544984,-0.0217408305310079,-0.0220466072150746,-0.0220472696344136,,,0.1000000000000014,0.3000000000000042,3.6,-6.3,10.7142,-23.798693619759177,1.4311,-4.7976,,2015Q1,0.0,,0.0,0.6446352941176468,0.6446352941176468,
2015-03,2015Q1,6.705922657979788,7.1,7.4,7.3,7.35,-0.6440773420202115,-1.0,0.6440773420202115,-0.30295431560949826,0.0,0.0017209034594036,0.0017208548274112,0.0005736976604151,0.0005739343522279,0.0086566456089773,0.0086457171949045,0.0059973830246955,0.006014710377977,0.0006517776803636,0.0006518848413696,-0.0018998944703165,-0.0019001559381917,7.1,7.02,0.2000000000000028,-0.9000000000000057,5.6,-2.177386,10.244532,42.10546815372438,1.3758,-4.5603,,2015Q1,-0.30000000000000027,,-0.20999999999999996,-0.1696352941176471,0.13036470588235316,
2015-04,2015Q2,6.694684343413422,7.1,7.1,7.4,7.25,-0.5553156565865782,-1.0,0.5553156565865782,-0.01123831456636637,0.0,0.003904580751977,0.0039045496968495,0.0046799537696209,0.0046803323773048,0.0097981954281121,0.0098076047048918,0.0057443162883423,0.005744667560072,0.0007532648692849,0.0007533888063551,3.2484700608348405e-05,3.187370000823364e-05,,,0.0,0.1000000000000014,5.9,1.287186,10.002445,11.64226730855111,1.5091,-4.5725,,2015Q2,-0.19999999999999973,,0.0,-1.5713476190476188,-1.371347619047619,
2015-05,2015Q2,6.828817465499336,7.1,7.1,7.4,7.25,-0.4211825345006641,-1.0,0.4211825345006641,0.1341331220859141,0.0,-0.006729994662486,-0.0067295999747318,-0.00513265965091,-0.0051330034871196,-0.0007280160580221,-0.0007352866573522,-0.002216146912874,-0.0022264397585517,-0.0075974859575361,-0.0075977788023976,-0.0074077258523452,-0.0074073739300207,,,0.1000000000000014,-0.3999999999999986,6.1,1.578521,10.130209,32.28078804568421,1.2308,-4.607,,2015Q2,0.0,,-0.25,-0.7891923809523811,0.0,
2015-06,2015Q2,6.925129690970177,7.1,7.1,7.4,7.25,-0.32487030902982283,-1.0,0.32487030902982283,0.09631222547084128,0.0,0.0065221808666173,0.006521207834192,0.0063605112545483,0.0063606250516135,0.0117701058981671,0.0117865663863216,0.0121271337097523,0.0121428692298761,0.0074610166919719,0.0074603211194228,0.0086667952505672,0.0086667030508105,7.1,6.91,0.0,0.2999999999999971,6.8,1.760122,10.631952,41.27008106344754,1.3909,-4.8135,,2015Q2,-0.8500000000000001,,-0.25,0.3333019047619046,0.3941095238095236,
2015-07,2015Q3,7.458847024877933,7.0,7.1,7.1,7.1,0.3588470248779334,1.0,0.3588470248779334,0.5337173339077559,-0.09999999999999964,0.0029455836974183,0.0029453959019718,0.0040889829736534,0.004088259600828,0.008827060820602,0.0088453801924208,0.0127134886617812,0.0127423816294627,0.0074648643321661,0.0074651360633728,0.0071843913044649,0.0071845934508587,,,-0.2000000000000028,0.5,6.0,-1.317016,10.512323,-13.068257866692733,1.6473,-5.3692,,2015Q3,0.0,,0.0,0.1112554865424431,0.1112554865424431,
2015-08,2015Q3,7.308409788814623,7.0,7.1,7.1,7.1,0.20840978881462302,1.0,0.20840978881462302,-0.1504372360633104,0.0,0.0020840087065252,0.0020828498205034,0.0013630659084593,0.0013625368887495,0.0083637954124049,0.0083879029358544,0.0133948888348658,0.0134216251683532,0.0083925691986221,0.0083929924477383,0.0088947270999004,0.0088946646451519,,,-0.2999999999999971,-0.1999999999999957,6.1,1.903499,10.792317,8.10400808373454,1.9554,-5.9227,,2015Q3,-0.1499999999999999,,-0.25,-0.09444120082815743,0.05555879917184248,
2015-09,2015Q3,7.216429409277,7.0,7.1,7.1,7.1,0.11642940927699996,1.0,0.11642940927699996,-0.09198037953762306,0.0,0.009292021450552,0.0092915570343237,0.0081505106442492,0.0081517999309137,0.0152528545738972,0.0152882517041343,0.0197742159833449,0.0197900041041543,0.0152059765208112,0.0152075381113543,0.016398660651572,0.016399208932885,7.0,6.79,0.0999999999999943,0.3999999999999986,5.7,-0.15279,10.9,20.003012383903908,1.5956,-5.945,,2015Q3,0.0,,0.0,-0.061866666666666514,-0.061866666666666514,
2015-10,2015Q4,7.017585809774822,6.9,7.0,7.1,7.05,-0.032414190225178,-1.0,0.032414190225178,-0.19884359950217778,-0.09999999999999964,-0.0003312390791553,-0.000331996833261,-0.0004807992112001,-0.0004807278037541,0.0060272791735607,0.0060532420448831,0.0078691999637316,0.0078935493345426,0.0029266716086546,0.0029271528904106,0.0025071378293088,0.0025072081124632,,,0.0,-0.7000000000000028,5.6,-0.242482,11.023401,1.71755505251063,1.2674,-5.9,,2015Q4,-0.10000000000000009,,-0.25,0.014812698412698388,0.11481269841269848,
2015-11,2015Q4,6.972009998629622,6.9,7.0,7.1,7.05,-0.07799000137037826,-1.0,0.07799000137037826,-0.04557581114520026,0.0,0.0144829578164942,0.0144816225088941,0.0161230389979969,0.0161232520106311,0.0207898645797812,0.0208181105451112,0.0259095685203603,0.0258537740986208,0.0213295919269935,0.0212436954543273,0.0218287377092325,0.0220034804051767,,,-0.1999999999999957,0.5,6.2,0.581849,11.172228,2.86076301527229,1.4856,-5.9,,2015Q4,0.0,,0.0,-0.059326984126983895,-0.059326984126983895,
2015-12,2015Q4,6.948918486255735,6.9,7.0,7.1,7.05,-0.10108151374426466,-1.0,0.10108151374426466,-0.023091512373886403,0.0,-0.0001301955556678,-0.0001295196767656,0.0005720368001389,0.0005723131604173,0.0058114196045231,0.0058147659918899,0.0069338141922741,0.0064155181978271,0.0024223981649338,0.00191725557766,0.0034000013838724,0.0033175338908513,6.9,6.85,0.1000000000000014,0.9000000000000057,5.9,-2.153065,11.1,21.15687933014594,1.6,-5.9,,2015Q4,0.0,,0.0,0.08896128364389178,0.08896128364389178,
2016-01,2016Q1,6.863958165865039,6.8,6.9,7.0,6.95,-0.08604183413496092,-1.0,0.08604183413496092,-0.0849603203906959,-0.10000000000000053,-0.0035871825754906,-0.0035866571695296,-0.0024422048653355,-0.0024430040272442,0.0022351333147778,0.0022334289870329,0.0011482660309725,0.0012988210239903,-0.0035546517352276,-0.0033644581003426,-0.0024159532010089,-0.0018178536658168,,,-0.3000000000000042,-1.0,5.865724,,,,1.8,-5.3,,2016Q1,0.0,,0.0,0.04119347826086983,0.04119347826086983,
2016-02,2016Q1,6.799936131142248,6.8,6.9,7.0,6.95,-0.15006386885775225,-1.0,0.15006386885775225,-0.06402203472279133,0.0,0.0027204327819922,0.00271983904941,0.0028637063418808,0.0028633227457051,0.0086153912083424,0.0086275999534193,0.0090588451458164,0.0091587088111497,0.0046678343943167,0.0047959770672147,0.0054989995557408,0.0060316732334075,,,-0.3999999999999986,-0.5,4.906937,4.020384,10.2,-25.38320565812242,2.3,-4.9,,2016Q1,0.0,,0.0,-0.07391666666666685,-0.07391666666666685,
2016-03,2016Q1,6.623568561136015,6.8,6.9,7.0,6.95,-0.3264314388639855,-1.0,0.3264314388639855,-0.17636757000623327,0.0,-0.0146641176772673,-0.0146646505200124,-0.0149025826510703,-0.0149029404427786,-0.0087398806391292,-0.0087596951870787,-0.0081709943516599,-0.0077589615003439,-0.0129071374289505,-0.0124389880157824,-0.0136830131966318,-0.0125984837866225,6.8,6.7,1.2000000000000028,0.8999999999999986,6.8,5.640467,10.5,38.74311433616875,2.301391,-4.3,,2016Q1,0.0,0.0,0.0,0.041549275362319005,0.041549275362319005,0.0
2016-04,2016Q2,6.047607142323775,6.7,6.8,6.9,6.85,-0.8023928576762245,-1.0,0.8023928576762245,-0.5759614188122395,-0.09999999999999964,-0.0036260504694605,-0.0036265079012014,-0.0024518839135915,-0.0024517456392856,0.0020782829277072,0.0020688861847573,0.0024622661119269,0.0021573699990156,-0.0021625772133726,-0.0024594734259045,-0.0021744075517848,-0.0019224297419497,,,-0.1000000000000014,-0.6000000000000014,6.0,1.885077,10.1,8.63338837428011,2.327865,-3.4,,2016Q2,0.0,0.0,0.0,0.03320239130434777,0.03320239130434777,0.0
