variant,variant_label,pred_abs_bucket,n_obs,accuracy,pred_abs_min,pred_abs_max,pred_abs_mean
vs_past2_actual_mean,相较前两期真实GDP均值,0-0.1,11,0.5454545454545454,0.0019685147805583725,0.08604183413496092,0.04251057776401809
vs_past2_actual_mean,相较前两期真实GDP均值,0.1-0.2,17,0.6470588235294118,0.10108151374426466,0.19266266566020818,0.13656474111136993
vs_past2_actual_mean,相较前两期真实GDP均值,0.2-0.5,27,0.7407407407407407,0.20840978881462302,0.4927300049208272,0.3479507520178694
vs_past2_actual_mean,相较前两期真实GDP均值,0.5-1,17,0.8235294117647058,0.5176428884389592,0.9725385460492335,0.7088313899584576
vs_past2_actual_mean,相较前两期真实GDP均值,1-2,13,0.7692307692307693,1.0502480552669837,1.8854196813702955,1.4898266090021393
vs_past2_actual_mean,相较前两期真实GDP均值,2-3,4,1.0,2.114822655610393,2.6430202465375006,2.3938552063934044
vs_past2_actual_mean,相较前两期真实GDP均值,3+,19,0.8947368421052632,3.006263895263763,8.08621650553501,5.3777782101466585
vs_lag1_actual,相较上一期真实GDP,0-0.1,17,0.5294117647058824,0.007108087499384297,0.09077476513147698,0.04682243554745529
vs_lag1_actual,相较上一期真实GDP,0.1-0.2,15,0.3333333333333333,0.10006386885775242,0.19697380224610672,0.1485787358355364
vs_lag1_actual,相较上一期真实GDP,0.2-0.5,35,0.6571428571428571,0.20840978881462302,0.4927300049208272,0.34392252675268337
vs_lag1_actual,相较上一期真实GDP,0.5-1,10,0.5,0.5222410660789327,0.9282632614271717,0.7087231863014875
vs_lag1_actual,相较上一期真实GDP,1-2,7,1.0,1.4206061997742427,1.883608349701701,1.6659285294527453
vs_lag1_actual,相较上一期真实GDP,2-3,9,1.0,2.2142732888521186,2.8777808284364745,2.586977973692544
vs_lag1_actual,相较上一期真实GDP,3+,15,1.0,3.0798744757110503,11.770825934878749,5.531103899230103
