variant,variant_label,真实方向,预测方向,count
vs_past2_actual_mean,相较前两期真实GDP均值,上修/上行,上修/上行,19
vs_past2_actual_mean,相较前两期真实GDP均值,下修/下行,上修/上行,7
vs_past2_actual_mean,相较前两期真实GDP均值,变化不大,上修/上行,6
vs_past2_actual_mean,相较前两期真实GDP均值,上修/上行,下修/下行,5
vs_past2_actual_mean,相较前两期真实GDP均值,下修/下行,下修/下行,29
vs_past2_actual_mean,相较前两期真实GDP均值,变化不大,下修/下行,14
vs_past2_actual_mean,相较前两期真实GDP均值,上修/上行,变化不大,3
vs_past2_actual_mean,相较前两期真实GDP均值,下修/下行,变化不大,9
vs_past2_actual_mean,相较前两期真实GDP均值,变化不大,变化不大,16
vs_lag1_actual,相较上一期真实GDP,上修/上行,上修/上行,22
vs_lag1_actual,相较上一期真实GDP,下修/下行,上修/上行,7
vs_lag1_actual,相较上一期真实GDP,变化不大,上修/上行,6
vs_lag1_actual,相较上一期真实GDP,上修/上行,下修/下行,3
vs_lag1_actual,相较上一期真实GDP,下修/下行,下修/下行,21
vs_lag1_actual,相较上一期真实GDP,变化不大,下修/下行,17
vs_lag1_actual,相较上一期真实GDP,上修/上行,变化不大,5
vs_lag1_actual,相较上一期真实GDP,下修/下行,变化不大,8
vs_lag1_actual,相较上一期真实GDP,变化不大,变化不大,19
