target_clean,month,window_n,rolling_ic,rolling_ic_p_value,rolling_ic_sig_5pct,rolling_rank_ic,rolling_rank_ic_p_value,rolling_rank_ic_sig_5pct,signal_type
中债-新综合全价(3-5年)指数,2015-01,1,,,False,,,False,actual_signal_vs_lag1_actual
中债-新综合全价(3-5年)指数,2015-02,2,,,False,,,False,actual_signal_vs_lag1_actual
中债-新综合全价(3-5年)指数,2015-03,3,,,False,,,False,actual_signal_vs_lag1_actual
中债-新综合全价(3-5年)指数,2018-07,1,,,False,,,False,actual_signal_vs_lag1_actual
中债-新综合全价(3-5年)指数,2018-08,2,,,False,,,False,actual_signal_vs_lag1_actual
中债-新综合全价(3-5年)指数,2018-09,3,,,False,,,False,actual_signal_vs_lag1_actual
中债-新综合全价(3-5年)指数,2018-10,4,,,False,,,False,actual_signal_vs_lag1_actual
中债-新综合全价(3-5年)指数,2018-11,5,,,False,,,False,actual_signal_vs_lag1_actual
中债-新综合全价(3-5年)指数,2018-12,6,,,False,,,False,actual_signal_vs_lag1_actual
中债-新综合全价(3-5年)指数,2019-04,7,0.031079669359311668,0.5263685031307974,False,0.20412414523193148,0.6696789223796749,False,actual_signal_vs_lag1_actual
中债-新综合全价(3-5年)指数,2019-05,8,0.3113742600206232,0.7735940708256663,False,0.25197631533948484,0.7264191937864862,False,actual_signal_vs_lag1_actual
中债-新综合全价(3-5年)指数,2019-06,9,0.38724431034603557,0.8484180756117424,False,0.2738612787525831,0.7621013807409879,False,actual_signal_vs_lag1_actual
中债-新综合全价(3-5年)指数,2020-01,10,-0.4579532607957695,0.09160186025017655,False,-0.12483755678647185,0.36556701162786814,False,actual_signal_vs_lag1_actual
中债-新综合全价(3-5年)指数,2020-02,11,-0.34675043701548963,0.14807940898123237,False,-0.08040302522073697,0.4071049644102562,False,actual_signal_vs_lag1_actual
中债-新综合全价(3-5年)指数,2020-03,12,-0.5915192812599626,0.02138848506531983,True,-0.28449530916621624,0.18506756369132157,False,actual_signal_vs_lag1_actual
中债-新综合全价(3-5年)指数,2020-04,13,-0.7305592909751977,0.002282619229836827,True,-0.4475980881045959,0.0625514268666172,False,actual_signal_vs_lag1_actual
中债-新综合全价(3-5年)指数,2020-05,14,-0.7755066335705776,0.0005585500779047862,True,-0.5619266950876436,0.01824849921921198,True,actual_signal_vs_lag1_actual
中债-新综合全价(3-5年)指数,2020-06,15,-0.7867465366690147,0.0002509212060230902,True,-0.6436746403319897,0.004808833906976549,True,actual_signal_vs_lag1_actual
中债-新综合全价(3-5年)指数,2020-07,16,-0.7796575688364012,0.00018452581489587831,True,-0.7026590011972893,0.0012004268766212067,True,actual_signal_vs_lag1_actual
