signal_col,signal_label,target_clean,n_obs,ic,ic_p_value,rank_ic,rank_ic_p_value,icir_36m,rank_icir_36m,rolling_ic_sig_ratio,rolling_rank_ic_sig_ratio
ic_signal_vs_lag1_actual,nowcasting_GDP - actual_gdp_lag1,中债-新综合全价(3-5年)指数,84,-0.10629361900971152,0.16794202314731485,-0.02670851473119368,0.40471450016722743,-0.3113012002650798,-0.25681588216834395,0.07142857142857142,0.0
ic_signal_vs_lag1_actual,nowcasting_GDP - actual_gdp_lag1,中债-新综合全价(5-7年)指数,84,-0.09315621836853263,0.1996610265062523,0.003341095474334312,0.5120314288216921,-0.09937643795092958,-0.18182883078886508,0.08333333333333333,0.011904761904761904
ic_signal_vs_lag1_actual,nowcasting_GDP - actual_gdp_lag1,中债-新综合净价(3-5年)指数,84,-0.11667964508420474,0.14526072854277922,-0.038108737470891975,0.36536149304466886,-0.2963953086349294,-0.3000734240031905,0.08333333333333333,0.0
ic_signal_vs_lag1_actual,nowcasting_GDP - actual_gdp_lag1,中债-新综合净价(5-7年)指数,84,-0.09336059561111358,0.19914201139122212,0.014295838817454694,0.5513476280705432,-0.0871946108997326,-0.21587662560193083,0.09523809523809523,0.011904761904761904
ic_signal_vs_lag1_actual,nowcasting_GDP - actual_gdp_lag1,中债-新综合财富(3-5年)指数,84,-0.11666236272489985,0.1452967038924716,-0.038108737470891975,0.36536149304466886,-0.2963147394141726,-0.3000734240031905,0.08333333333333333,0.0
ic_signal_vs_lag1_actual,nowcasting_GDP - actual_gdp_lag1,中债-新综合财富(5-7年)指数,84,-0.09359280993494562,0.1985532733367785,0.01482231446795586,0.5532277595552862,-0.0932868907608234,-0.2190721789954676,0.09523809523809523,0.011904761904761904
ic_signal_vs_lag1_actual,nowcasting_GDP - actual_gdp_lag1,中债-综合全价(3-5年)指数,84,-0.11497142933046234,0.14884504620425704,-0.01150146805710236,0.4586495021878177,-0.28845766931320127,-0.2828787622852783,0.08333333333333333,0.0
ic_signal_vs_lag1_actual,nowcasting_GDP - actual_gdp_lag1,中债-综合全价(5-7年)指数,84,-0.09952746590168011,0.18385917483191563,-0.0071074212817657184,0.47441929115491704,-0.08246403447385656,-0.1833011829985477,0.09523809523809523,0.023809523809523808
ic_signal_vs_lag1_actual,nowcasting_GDP - actual_gdp_lag1,中债-综合净价(3-5年)指数,84,-0.11497746751709748,0.14883227509970998,-0.01150146805710236,0.4586495021878177,-0.28863174972752903,-0.2828787622852783,0.08333333333333333,0.0
ic_signal_vs_lag1_actual,nowcasting_GDP - actual_gdp_lag1,中债-综合净价(5-7年)指数,84,-0.10094882192437053,0.18044122070824806,-0.014903310721879113,0.4464830925898808,-0.11132541097702366,-0.21740300044672886,0.09523809523809523,0.023809523809523808
ic_signal_vs_lag1_actual,nowcasting_GDP - actual_gdp_lag1,中债-综合财富(3-5年)指数,84,-0.10628467857273965,0.167962463060516,-0.02670851473119368,0.40471450016722743,-0.31131923859087507,-0.25681588216834395,0.07142857142857142,0.0
ic_signal_vs_lag1_actual,nowcasting_GDP - actual_gdp_lag1,中债-综合财富(5-7年)指数,84,-0.0928414768991523,0.20046187173849986,0.003341095474334312,0.5120314288216921,-0.09257400257514949,-0.18182883078886508,0.08333333333333333,0.011904761904761904
