target_clean,duration_bucket,index_type,series_family,scheme_choice,scheme_label,signal_name,signal_label,model_name,signal_col,n_obs,beta,t_stat,p_value,adj_r2
中债-新综合全价(3-5年)指数,3-5年,全价,新综合,vs_lag1_actual,方案二：相较上一期真实GDP,nowcasting_gdp_signal,nowcasting_GDP - actual_gdp_lag1,Model3_gdp_plus_macro_liquidity,ic_signal_vs_lag1_actual,94,-6.741827181164219e-05,-0.434788364207251,0.6637160515841465,0.05882166920110421
中债-新综合全价(3-5年)指数,3-5年,全价,新综合,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_gdp_yoy - actual_gdp_lag1,Model3_gdp_plus_macro_liquidity,actual_signal_vs_lag1_actual,94,-0.00042063053092160536,-2.439854438585386,0.014693181010192478,0.1085213414863796
中债-新综合全价(5-7年)指数,5-7年,全价,新综合,vs_lag1_actual,方案二：相较上一期真实GDP,nowcasting_gdp_signal,nowcasting_GDP - actual_gdp_lag1,Model3_gdp_plus_macro_liquidity,ic_signal_vs_lag1_actual,94,-8.613846597419805e-05,-0.4293183556336834,0.6676915604809857,0.04900397644106824
中债-新综合全价(5-7年)指数,5-7年,全价,新综合,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_gdp_yoy - actual_gdp_lag1,Model3_gdp_plus_macro_liquidity,actual_signal_vs_lag1_actual,94,-0.000552921947128849,-2.420175481425355,0.015513018893110889,0.10676605321881305
中债-新综合净价(3-5年)指数,3-5年,净价,新综合,vs_lag1_actual,方案二：相较上一期真实GDP,nowcasting_gdp_signal,nowcasting_GDP - actual_gdp_lag1,Model3_gdp_plus_macro_liquidity,ic_signal_vs_lag1_actual,94,-8.36460739762e-05,-0.5474416869777875,0.5840753222058042,0.06302799336340292
中债-新综合净价(3-5年)指数,3-5年,净价,新综合,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_gdp_yoy - actual_gdp_lag1,Model3_gdp_plus_macro_liquidity,actual_signal_vs_lag1_actual,94,-0.00041886942141666257,-2.34723101790105,0.01891352386007887,0.11129710637547097
中债-新综合净价(5-7年)指数,5-7年,净价,新综合,vs_lag1_actual,方案二：相较上一期真实GDP,nowcasting_gdp_signal,nowcasting_GDP - actual_gdp_lag1,Model3_gdp_plus_macro_liquidity,ic_signal_vs_lag1_actual,94,-7.920013989802275e-05,-0.40120686032156844,0.6882678302765612,0.06315730838079547
中债-新综合净价(5-7年)指数,5-7年,净价,新综合,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_gdp_yoy - actual_gdp_lag1,Model3_gdp_plus_macro_liquidity,actual_signal_vs_lag1_actual,94,-0.0005391093038278785,-2.455228541044884,0.014079504559039648,0.12013313185577279
中债-新综合财富(3-5年)指数,3-5年,财富,新综合,vs_lag1_actual,方案二：相较上一期真实GDP,nowcasting_gdp_signal,nowcasting_GDP - actual_gdp_lag1,Model3_gdp_plus_macro_liquidity,ic_signal_vs_lag1_actual,94,-8.366271602360954e-05,-0.547541890317075,0.58400649930624,0.06303366992597348
中债-新综合财富(3-5年)指数,3-5年,财富,新综合,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_gdp_yoy - actual_gdp_lag1,Model3_gdp_plus_macro_liquidity,actual_signal_vs_lag1_actual,94,-0.00041889202087866715,-2.3473358648555505,0.018908201905792215,0.11130608651032325
中债-新综合财富(5-7年)指数,5-7年,财富,新综合,vs_lag1_actual,方案二：相较上一期真实GDP,nowcasting_gdp_signal,nowcasting_GDP - actual_gdp_lag1,Model3_gdp_plus_macro_liquidity,ic_signal_vs_lag1_actual,94,-8.212348174929467e-05,-0.4154830715574022,0.6777883051262075,0.059902454396815075
中债-新综合财富(5-7年)指数,5-7年,财富,新综合,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_gdp_yoy - actual_gdp_lag1,Model3_gdp_plus_macro_liquidity,actual_signal_vs_lag1_actual,94,-0.0005397662512769142,-2.460202048975174,0.013885881689109638,0.11636679418262008
中债-综合全价(3-5年)指数,3-5年,全价,综合,vs_lag1_actual,方案二：相较上一期真实GDP,nowcasting_gdp_signal,nowcasting_GDP - actual_gdp_lag1,Model3_gdp_plus_macro_liquidity,ic_signal_vs_lag1_actual,94,-9.50013153730852e-05,-0.6359009225021685,0.5248410013675129,0.07643895457953032
中债-综合全价(3-5年)指数,3-5年,全价,综合,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_gdp_yoy - actual_gdp_lag1,Model3_gdp_plus_macro_liquidity,actual_signal_vs_lag1_actual,94,-0.00041417308733336536,-2.44236117316379,0.01459154046665242,0.1257877958004061
