target_clean,duration_bucket,signal_name,signal_label,month,n_obs,beta,t_stat,p_value,adj_r2
中债-新综合全价(3-5年)指数,3-5年,actual_gdp_signal,actual_gdp_yoy - actual_gdp_lag1,2025-12,90,-0.00032501979310752677,-2.149947897445815,0.03155933632939355,0.193378428620399
中债-新综合全价(3-5年)指数,3-5年,nowcasting_gdp_signal,nowcasting_GDP - actual_gdp_lag1,2025-12,90,-0.00016505607001262665,-1.255436967401503,0.2093201765833943,0.14016639918848983
中债-新综合全价(5-7年)指数,5-7年,actual_gdp_signal,actual_gdp_yoy - actual_gdp_lag1,2025-12,90,-0.0004588678770608594,-2.609894204236121,0.009057022791752968,0.22783452297844609
中债-新综合全价(5-7年)指数,5-7年,nowcasting_gdp_signal,nowcasting_GDP - actual_gdp_lag1,2025-12,90,-0.00024131505473776017,-1.5212840563234216,0.12818856951645105,0.16257166327859185
中债-新综合净价(3-5年)指数,3-5年,actual_gdp_signal,actual_gdp_yoy - actual_gdp_lag1,2025-12,90,-0.00032385906634302305,-2.312329630817498,0.020759524992460112,0.23991131086735806
中债-新综合净价(3-5年)指数,3-5年,nowcasting_gdp_signal,nowcasting_GDP - actual_gdp_lag1,2025-12,90,-0.00019941541519503136,-1.6489750793105737,0.09915274025649476,0.18987791244952656
中债-新综合净价(5-7年)指数,5-7年,actual_gdp_signal,actual_gdp_yoy - actual_gdp_lag1,2025-12,90,-0.0004461371836879664,-2.580673384688204,0.009860782560036741,0.23257798829919096
中债-新综合净价(5-7年)指数,5-7年,nowcasting_gdp_signal,nowcasting_GDP - actual_gdp_lag1,2025-12,90,-0.00022550126362122028,-1.3967553411974107,0.1624871560043034,0.16967713971549125
中债-新综合财富(3-5年)指数,3-5年,actual_gdp_signal,actual_gdp_yoy - actual_gdp_lag1,2025-12,90,-0.0003238543652072518,-2.3122033974688208,0.02076647715384469,0.2399120442448076
中债-新综合财富(3-5年)指数,3-5年,nowcasting_gdp_signal,nowcasting_GDP - actual_gdp_lag1,2025-12,90,-0.00019939303221347377,-1.6487306783791995,0.09920282221240505,0.18988012026653267
中债-新综合财富(5-7年)指数,5-7年,actual_gdp_signal,actual_gdp_yoy - actual_gdp_lag1,2025-12,90,-0.00044544885582057314,-2.579660619350933,0.009889745521887103,0.23235820245039618
中债-新综合财富(5-7年)指数,5-7年,nowcasting_gdp_signal,nowcasting_GDP - actual_gdp_lag1,2025-12,90,-0.00022508034512649954,-1.3966264722384065,0.16252592543122002,0.16949754375786674
中债-综合全价(3-5年)指数,3-5年,actual_gdp_signal,actual_gdp_yoy - actual_gdp_lag1,2025-12,90,-0.000313679228959104,-2.2887447491282384,0.022094187354850324,0.2420042913324737
中债-综合全价(3-5年)指数,3-5年,nowcasting_gdp_signal,nowcasting_GDP - actual_gdp_lag1,2025-12,90,-0.000186330264698275,-1.4873949084888534,0.13691054085343293,0.1937517465672105
中债-综合全价(5-7年)指数,5-7年,actual_gdp_signal,actual_gdp_yoy - actual_gdp_lag1,2025-12,90,-0.0004556632968154869,-2.6584703766971294,0.007849625103902262,0.2066720277592986
中债-综合全价(5-7年)指数,5-7年,nowcasting_gdp_signal,nowcasting_GDP - actual_gdp_lag1,2025-12,90,-0.00025198826761483147,-1.6992384496069013,0.08927426449278394,0.14222425486771195
中债-综合净价(3-5年)指数,3-5年,actual_gdp_signal,actual_gdp_yoy - actual_gdp_lag1,2025-12,90,-0.00031324811394670496,-2.288139742411571,0.022129384476775125,0.24164211754018095
中债-综合净价(3-5年)指数,3-5年,nowcasting_gdp_signal,nowcasting_GDP - actual_gdp_lag1,2025-12,90,-0.00018600434192240806,-1.4873307802502944,0.13692746885821583,0.1933982860567588
中债-综合净价(5-7年)指数,5-7年,actual_gdp_signal,actual_gdp_yoy - actual_gdp_lag1,2025-12,90,-0.0004556503055472946,-2.6583450698927065,0.007852544591162832,0.20667244005355956
中债-综合净价(5-7年)指数,5-7年,nowcasting_gdp_signal,nowcasting_GDP - actual_gdp_lag1,2025-12,90,-0.0002519736539837147,-1.6989918092793983,0.08932072690526724,0.14222965631055418
中债-综合财富(3-5年)指数,3-5年,actual_gdp_signal,actual_gdp_yoy - actual_gdp_lag1,2025-12,90,-0.0003250062230127348,-2.1497102420587635,0.03157814179990409,0.19336036054629724
中债-综合财富(3-5年)指数,3-5年,nowcasting_gdp_signal,nowcasting_GDP - actual_gdp_lag1,2025-12,90,-0.00016503196362284019,-1.2551917993662152,0.20940914179228798,0.14015248024887583
中债-综合财富(5-7年)指数,5-7年,actual_gdp_signal,actual_gdp_yoy - actual_gdp_lag1,2025-12,90,-0.000458874391789061,-2.6099638942183128,0.009055177937262472,0.22784560220306604
中债-综合财富(5-7年)指数,5-7年,nowcasting_gdp_signal,nowcasting_GDP - actual_gdp_lag1,2025-12,90,-0.00024131757426219504,-1.5213529532195371,0.1281712883929442,0.1625801103356429
