target_clean,duration_bucket,index_type,series_family,scheme_choice,scheme_label,signal_name,signal_label,month,window_months,model_name,signal_col,n_obs,beta,t_stat,p_value,adj_r2
中债-新综合全价(3-5年)指数,3-5年,全价,新综合,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_gdp_yoy - actual_gdp_lag1,2019-02,90,Model3_gdp_plus_macro_liquidity_rolling_90m,actual_signal_vs_lag1_actual,24,-0.01738458111606453,-1.8397410196207256,0.06580626822682885,0.007063635801332069
中债-新综合全价(3-5年)指数,3-5年,全价,新综合,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_gdp_yoy - actual_gdp_lag1,2019-03,90,Model3_gdp_plus_macro_liquidity_rolling_90m,actual_signal_vs_lag1_actual,25,-0.02014245577360617,-1.627647938281544,0.10359955810828397,-0.027245536646896884
中债-新综合全价(3-5年)指数,3-5年,全价,新综合,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_gdp_yoy - actual_gdp_lag1,2019-04,90,Model3_gdp_plus_macro_liquidity_rolling_90m,actual_signal_vs_lag1_actual,26,-0.009550536282226123,-0.7266097067140503,0.4674650802770546,-0.24856728942346984
中债-新综合全价(3-5年)指数,3-5年,全价,新综合,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_gdp_yoy - actual_gdp_lag1,2019-05,90,Model3_gdp_plus_macro_liquidity_rolling_90m,actual_signal_vs_lag1_actual,27,-0.006377073379577892,-0.4753969501792658,0.6345040678653895,-0.26787317924962184
中债-新综合全价(3-5年)指数,3-5年,全价,新综合,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_gdp_yoy - actual_gdp_lag1,2019-06,90,Model3_gdp_plus_macro_liquidity_rolling_90m,actual_signal_vs_lag1_actual,28,-0.005981735676130341,-0.4511132380325796,0.6519079371155443,-0.23016983320196127
中债-新综合全价(3-5年)指数,3-5年,全价,新综合,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_gdp_yoy - actual_gdp_lag1,2019-07,90,Model3_gdp_plus_macro_liquidity_rolling_90m,actual_signal_vs_lag1_actual,29,-0.006231770927699807,-0.5029040779824085,0.6150317138783535,-0.19836090692402264
中债-新综合全价(3-5年)指数,3-5年,全价,新综合,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_gdp_yoy - actual_gdp_lag1,2019-08,90,Model3_gdp_plus_macro_liquidity_rolling_90m,actual_signal_vs_lag1_actual,30,-0.0062317709276997185,-0.5029040779823951,0.615031713878363,-0.24082218073606332
中债-新综合全价(3-5年)指数,3-5年,全价,新综合,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_gdp_yoy - actual_gdp_lag1,2019-09,90,Model3_gdp_plus_macro_liquidity_rolling_90m,actual_signal_vs_lag1_actual,31,-0.006405499419073305,-0.5182261350305207,0.6043005021555244,-0.21620923194281016
中债-新综合全价(3-5年)指数,3-5年,全价,新综合,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_gdp_yoy - actual_gdp_lag1,2019-10,90,Model3_gdp_plus_macro_liquidity_rolling_90m,actual_signal_vs_lag1_actual,32,-0.00631962951223514,-0.5941476080544462,0.5524133910271072,-0.1892314507401469
中债-新综合全价(3-5年)指数,3-5年,全价,新综合,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_gdp_yoy - actual_gdp_lag1,2019-11,90,Model3_gdp_plus_macro_liquidity_rolling_90m,actual_signal_vs_lag1_actual,33,-0.006721835752223799,-0.6708685218219008,0.5023042909986561,-0.1621723378910489
中债-新综合全价(3-5年)指数,3-5年,全价,新综合,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_gdp_yoy - actual_gdp_lag1,2019-12,90,Model3_gdp_plus_macro_liquidity_rolling_90m,actual_signal_vs_lag1_actual,34,-0.006169457572950063,-0.622203378821207,0.5338081445763944,-0.10599454576645417
中债-新综合全价(3-5年)指数,3-5年,全价,新综合,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_gdp_yoy - actual_gdp_lag1,2020-01,90,Model3_gdp_plus_macro_liquidity_rolling_90m,actual_signal_vs_lag1_actual,35,0.0014066053257149544,2.644238235747956,0.008187500723918495,-0.10459908143470464
中债-新综合全价(3-5年)指数,3-5年,全价,新综合,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_gdp_yoy - actual_gdp_lag1,2020-02,90,Model3_gdp_plus_macro_liquidity_rolling_90m,actual_signal_vs_lag1_actual,36,0.0011075229659068908,2.045835956399802,0.040772513096251926,0.011811242585579973
中债-新综合全价(3-5年)指数,3-5年,全价,新综合,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_gdp_yoy - actual_gdp_lag1,2020-03,90,Model3_gdp_plus_macro_liquidity_rolling_90m,actual_signal_vs_lag1_actual,37,0.0007953402279020525,1.7336114237029572,0.08298705216469672,0.017089358022148504
中债-新综合全价(3-5年)指数,3-5年,全价,新综合,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_gdp_yoy - actual_gdp_lag1,2020-04,90,Model3_gdp_plus_macro_liquidity_rolling_90m,actual_signal_vs_lag1_actual,38,0.0010289953063392083,2.7389890504401158,0.006162842591838744,0.20400953329811522
中债-新综合全价(3-5年)指数,3-5年,全价,新综合,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_gdp_yoy - actual_gdp_lag1,2020-05,90,Model3_gdp_plus_macro_liquidity_rolling_90m,actual_signal_vs_lag1_actual,39,0.0003548710319650599,0.8902027259213394,0.37335704123733304,0.1866856818099354
中债-新综合全价(3-5年)指数,3-5年,全价,新综合,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_gdp_yoy - actual_gdp_lag1,2020-06,90,Model3_gdp_plus_macro_liquidity_rolling_90m,actual_signal_vs_lag1_actual,40,0.0003093873376367873,1.0872723753939497,0.2769164532939715,0.19642787569323206
中债-新综合全价(3-5年)指数,3-5年,全价,新综合,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_gdp_yoy - actual_gdp_lag1,2020-07,90,Model3_gdp_plus_macro_liquidity_rolling_90m,actual_signal_vs_lag1_actual,41,0.00026179323322754927,0.8711542934928922,0.38366991244442994,0.20267482985167995
