scheme_choice,scheme_label,signal_name,signal_col,signal_label,target_clean,target,n_groups,n_obs,G1,G2,G3,high_minus_low,high_minus_low_t_stat,high_minus_low_p_value,is_monotonic_inc,is_monotonic_dec
vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,中债-新综合财富(3-5年)指数,中债-新综合财富(3-5年)指数__next_1m,3,108,0.002426462005971636,0.0008928039143600916,-5.539896392295186e-05,-0.002481860969894588,-1.4860676567474165,0.14182144500015703,False,True
vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,中债-新综合净价(3-5年)指数,中债-新综合净价(3-5年)指数__next_1m,3,108,0.0024260792370225524,0.0008925429354298612,-5.535497571001795e-05,-0.00248143421273257,-1.4858008764974988,0.1418918125540822,False,True
vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,中债-新综合全价(3-5年)指数,中债-新综合全价(3-5年)指数__next_1m,3,108,0.0027095503770160696,0.0012425905195627917,0.000376088782907039,-0.002333461594109031,-1.3933855048116595,0.16795651580558527,False,True
vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,中债-综合财富(3-5年)指数,中债-综合财富(3-5年)指数__next_1m,3,108,0.0027094025501080113,0.0012424953021683528,0.0003762802877771557,-0.0023331222623308554,-1.3931334292329127,0.16803238394584216,False,True
vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,中债-综合净价(3-5年)指数,中债-综合净价(3-5年)指数__next_1m,3,108,0.006438574447223562,0.005698003794900483,0.0037870589227371773,-0.0026515155244863863,-1.6376156266708535,0.10603820768086711,False,True
vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,中债-综合全价(3-5年)指数,中债-综合全价(3-5年)指数__next_1m,3,108,0.0064488303648194654,0.005706639857529255,0.0037932054514364833,-0.002655624913382982,-1.6376105310950884,0.10603812739592963,False,True
vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,中债-新综合财富(5-7年)指数,中债-新综合财富(5-7年)指数__next_1m,3,108,0.00778926949173846,0.006515771040779067,0.0041866797197144525,-0.0036025897720240053,-1.8064482116393477,0.07514714452585897,False,True
vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,中债-新综合净价(5-7年)指数,中债-新综合净价(5-7年)指数__next_1m,3,108,0.00780405184740975,0.006495042286811153,0.004242570796774064,-0.0035614810506356858,-1.7938850804021915,0.07715014795083189,False,True
vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,中债-新综合全价(5-7年)指数,中债-新综合全价(5-7年)指数__next_1m,3,108,0.003860966692784795,0.002299210526581761,0.0005093105294533617,-0.0033516561633314327,-1.655531970711096,0.10229529768761543,False,True
vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,中债-综合财富(5-7年)指数,中债-综合财富(5-7年)指数__next_1m,3,108,0.0038609428697223727,0.0022705194048310167,0.0005574917461240228,-0.00330345112359835,-1.6412373695073161,0.1052344051659284,False,True
vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,中债-综合净价(5-7年)指数,中债-综合净价(5-7年)指数__next_1m,3,108,0.004151342693473652,0.002597778875084046,0.0007461354716176554,-0.0034052072218559966,-1.690555580959465,0.09537403056148167,False,True
vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,中债-综合全价(5-7年)指数,中债-综合全价(5-7年)指数__next_1m,3,108,0.00415127134661,0.00263799906769857,0.0007630177702265361,-0.0033882535763834648,-1.6823227967106653,0.09696591167104837,False,True
