scheme_choice,scheme_label,signal_name,signal_col,signal_label,target_clean,target,n_groups,n_obs,G1,G2,G3,G4,G5,high_minus_low,high_minus_low_t_stat,high_minus_low_p_value,is_monotonic_inc,is_monotonic_dec
vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,中债-新综合财富(3-5年)指数,中债-新综合财富(3-5年)指数__next_1m,5,120,0.0013425689166487959,0.0008563360459554772,0.001164600109232046,-0.0001249647702390096,-0.001007699064190646,-0.0023502679808394414,-1.518427146492499,0.13588734985658904,False,False
vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,中债-新综合净价(3-5年)指数,中债-新综合净价(3-5年)指数__next_1m,5,120,0.001342505118775921,0.0008560998280151486,0.0011646735750172916,-0.00012483601251264838,-0.0010077337632691293,-0.0023502388820450504,-1.5184475509799007,0.13588214014680572,False,False
vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,中债-新综合全价(3-5年)指数,中债-新综合全价(3-5年)指数__next_1m,5,120,0.0015684415120938583,0.0011054420795508124,0.0016206893232905688,2.672285122458327e-05,-0.0007475304658016458,-0.0023159719778955037,-1.519584760090467,0.13570616339232164,False,False
vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,中债-综合财富(3-5年)指数,中债-综合财富(3-5年)指数__next_1m,5,120,0.0015683619213684085,0.00110515035822935,0.0016207287525839148,2.6805615830170795e-05,-0.00074740981615105,-0.0023157717375194586,-1.5194029030036236,0.13575187049761303,False,False
vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,中债-综合净价(3-5年)指数,中债-综合净价(3-5年)指数__next_1m,5,120,0.003960001167262204,0.0037703538704374462,0.004600494598535321,0.0027771601500381628,0.001672195818878449,-0.0022878053483837554,-1.506771746192092,0.1388043376390993,False,False
vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,中债-综合全价(3-5年)指数,中债-综合全价(3-5年)指数__next_1m,5,120,0.003967801611196058,0.0037720817675201833,0.004605853293605225,0.0027817952662155167,0.0016745138356334744,-0.0022932877755625835,-1.5084771336967646,0.13836683013173692,False,False
vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,中债-新综合财富(5-7年)指数,中债-新综合财富(5-7年)指数__next_1m,5,120,0.004610802215256121,0.00421584730843745,0.005419691105739788,0.002897882426656354,0.002209854907214742,-0.00240094730804138,-1.2921281205875967,0.20276709955416486,False,False
vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,中债-新综合净价(5-7年)指数,中债-新综合净价(5-7年)指数__next_1m,5,120,0.00462060985907265,0.0042162630306381375,0.0053777300499898125,0.002940592135386729,0.002212161835525458,-0.0024084480235471916,-1.2946865021370786,0.2018900492314872,False,False
vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,中债-新综合全价(5-7年)指数,中债-新综合全价(5-7年)指数__next_1m,5,120,0.002007336798845453,0.001470977070871621,0.0023740278421910664,0.0002091283790681957,-0.0003906690302268084,-0.0023980058290722617,-1.2710233949017333,0.2101137769469061,False,False
vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,中债-综合财富(5-7年)指数,中债-综合财富(5-7年)指数__next_1m,5,120,0.002007452032815618,0.0014700192706696292,0.0023256833671521917,0.0002436835662561998,-0.0003906540606946459,-0.0023981060935102643,-1.271071509659099,0.21009681716872738,False,False
vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,中债-综合净价(5-7年)指数,中债-综合净价(5-7年)指数__next_1m,5,120,0.0022037708413218415,0.001599860284756521,0.0027381377375918213,0.0005356732658428127,-4.340439682954157e-05,-0.002247175238151383,-1.2377115494578539,0.22217192772549124,False,False
vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,中债-综合全价(5-7年)指数,中债-综合全价(5-7年)指数__next_1m,5,120,0.0022038391120976376,0.0016472524122021794,0.002659698140050907,0.0005295307395758542,-4.33842514902085e-05,-0.002247223363587846,-1.2377619665320625,0.2221533539067878,False,False
