scheme_choice,scheme_label,signal_name,signal_col,signal_label,target_clean,target,n_groups,n_obs,G1,G2,G3,G4,G5,high_minus_low,high_minus_low_t_stat,high_minus_low_p_value,is_monotonic_inc,is_monotonic_dec
vs_lag1_actual,方案二：相较上一期真实GDP,nowcasting_gdp_signal,ic_signal_vs_lag1_actual,nowcasting_GDP - actual_gdp_lag1,中债-新综合财富(3-5年)指数,中债-新综合财富(3-5年)指数__next_1m,5,108,0.001232189000702998,-0.0001166506122921476,0.0008784572723244566,0.0035903102584827285,-8.553909754046683e-05,-0.0013177280982434648,-0.6936359759881395,0.49173522315904544,False,False
vs_lag1_actual,方案二：相较上一期真实GDP,nowcasting_gdp_signal,ic_signal_vs_lag1_actual,nowcasting_GDP - actual_gdp_lag1,中债-新综合净价(3-5年)指数,中债-新综合净价(3-5年)指数__next_1m,5,108,0.001231928669999653,-0.00011699236446579521,0.0008783454449707827,0.003590071189808519,-8.559394449184294e-05,-0.0013175226144914957,-0.6935425886985288,0.4917931946604957,False,False
vs_lag1_actual,方案二：相较上一期真实GDP,nowcasting_gdp_signal,ic_signal_vs_lag1_actual,nowcasting_GDP - actual_gdp_lag1,中债-新综合全价(3-5年)指数,中债-新综合全价(3-5年)指数__next_1m,5,108,0.0014102634878690639,0.00023148540988292377,0.0013193672389479499,0.0040515609219008,0.0002645645229118138,-0.00114569896495725,-0.6022954599408056,0.5502531402170501,False,False
vs_lag1_actual,方案二：相较上一期真实GDP,nowcasting_gdp_signal,ic_signal_vs_lag1_actual,nowcasting_GDP - actual_gdp_lag1,中债-综合财富(3-5年)指数,中债-综合财富(3-5年)指数__next_1m,5,108,0.0014102032069323047,0.00023133297487924282,0.001319501474613091,0.004051509805530891,0.0002646005299688729,-0.0011456026769634318,-0.6022339620865144,0.5502936828620967,False,False
vs_lag1_actual,方案二：相较上一期真实GDP,nowcasting_gdp_signal,ic_signal_vs_lag1_actual,nowcasting_GDP - actual_gdp_lag1,中债-综合净价(3-5年)指数,中债-综合净价(3-5年)指数__next_1m,5,108,0.005179921379488129,0.004327620266005442,0.005368887870514145,0.008012283996974495,0.0037290520414716036,-0.0014508693380165254,-0.7803854058048593,0.4395448459345035,False,False
vs_lag1_actual,方案二：相较上一期真实GDP,nowcasting_gdp_signal,ic_signal_vs_lag1_actual,nowcasting_GDP - actual_gdp_lag1,中债-综合全价(3-5年)指数,中债-综合全价(3-5年)指数__next_1m,5,108,0.005188365767980107,0.004330442646416924,0.005379331564913104,0.008025918166103395,0.0037354275395313635,-0.0014529382284487443,-0.7802627936942694,0.4396158897520643,False,False
vs_lag1_actual,方案二：相较上一期真实GDP,nowcasting_gdp_signal,ic_signal_vs_lag1_actual,nowcasting_GDP - actual_gdp_lag1,中债-新综合财富(5-7年)指数,中债-新综合财富(5-7年)指数__next_1m,5,108,0.00538833263030574,0.004817031716063067,0.005952188113336441,0.00979211477708548,0.004973563471095627,-0.00041476915921011097,-0.18201777531629781,0.8564482460840351,False,False
vs_lag1_actual,方案二：相较上一期真实GDP,nowcasting_gdp_signal,ic_signal_vs_lag1_actual,nowcasting_GDP - actual_gdp_lag1,中债-新综合净价(5-7年)指数,中债-新综合净价(5-7年)指数__next_1m,5,108,0.005384590143827996,0.004841523580909019,0.005929779294993282,0.009873800908525576,0.0049800907083465545,-0.00040449943548144084,-0.1771654844840194,0.860233939942418,False,False
vs_lag1_actual,方案二：相较上一期真实GDP,nowcasting_gdp_signal,ic_signal_vs_lag1_actual,nowcasting_GDP - actual_gdp_lag1,中债-新综合全价(5-7年)指数,中债-新综合全价(5-7年)指数__next_1m,5,108,0.0015855018353804244,0.0007694408831986285,0.0019715066377821826,0.005627662854278366,0.0012503724573146727,-0.0003351293780657521,-0.14443630568232843,0.8858509653159182,False,False
vs_lag1_actual,方案二：相较上一期真实GDP,nowcasting_gdp_signal,ic_signal_vs_lag1_actual,nowcasting_GDP - actual_gdp_lag1,中债-综合财富(5-7年)指数,中债-综合财富(5-7年)指数__next_1m,5,108,0.001572148807699951,0.0007869525216377619,0.0019387137392392465,0.005691834825602281,0.0012504015645310727,-0.0003217472431688781,-0.13860382061327003,0.8904297368496056,False,False
vs_lag1_actual,方案二：相较上一期真实GDP,nowcasting_gdp_signal,ic_signal_vs_lag1_actual,nowcasting_GDP - actual_gdp_lag1,中债-综合净价(5-7年)指数,中债-综合净价(5-7年)指数__next_1m,5,108,0.0017092676812071183,0.0011222002313799118,0.0021242703674431863,0.006029295450836717,0.0016050003204298544,-0.00010426736077726387,-0.045786530764517434,0.9636977372602498,False,False
vs_lag1_actual,方案二：相较上一期真实GDP,nowcasting_gdp_signal,ic_signal_vs_lag1_actual,nowcasting_GDP - actual_gdp_lag1,中债-综合全价(5-7年)指数,中债-综合全价(5-7年)指数__next_1m,5,108,0.0017206648779864821,0.0011235957161210824,0.0021965332966759365,0.0060379997858451395,0.0016050231481545456,-0.00011564172983193652,-0.050802708290057466,0.9597239306203343,False,False
