month,ic_signal_vs_lag1_actual,中债-新综合财富(3-5年)指数__next_1m,position,bond_ret_next_1m,strategy_ret,is_trade,signal_value,strategy_ret_abs,positive_rank,negative_rank,abs_rank,extreme_side,scheme_choice,scheme_label,signal_name,signal_col,signal_label,trade_side,trade_side_label,threshold,target_clean,duration_bucket,index_type,series_family,中债-新综合净价(3-5年)指数__next_1m,中债-新综合全价(3-5年)指数__next_1m,中债-综合财富(3-5年)指数__next_1m,中债-综合净价(3-5年)指数__next_1m,中债-综合全价(3-5年)指数__next_1m,中债-新综合财富(5-7年)指数__next_1m,中债-新综合净价(5-7年)指数__next_1m,中债-新综合全价(5-7年)指数__next_1m,中债-综合财富(5-7年)指数__next_1m,中债-综合净价(5-7年)指数__next_1m,中债-综合全价(5-7年)指数__next_1m,actual_signal_vs_lag1_actual
2021-02,,,-1.0,0.0023377993611701,-0.0023377993611701,True,12.399999999999999,0.0023377993611701,17.0,5.0,11.0,top_negative,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,short_on_strong_growth,增长明显走强时做空债券,1.0,中债-新综合全价(3-5年)指数,3-5年,全价,新综合,,0.0023377993611701,,,,,,,,,,12.399999999999999
2020-12,,,-1.0,0.0028499081565493,-0.0028499081565493,True,1.5999999999999996,0.0028499081565493,18.0,4.0,10.0,top_negative,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,short_on_strong_growth,增长明显走强时做空债券,1.0,中债-新综合全价(3-5年)指数,3-5年,全价,新综合,,0.0028499081565493,,,,,,,,,,1.5999999999999996
2022-07,,,-1.0,0.0047239044802243,-0.0047239044802243,True,3.2,0.0047239044802243,19.0,3.0,7.0,top_negative,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,short_on_strong_growth,增长明显走强时做空债券,1.0,中债-新综合全价(3-5年)指数,3-5年,全价,新综合,,0.0047239044802243,,,,,,,,,,3.2
2023-04,,,-1.0,0.0058950519201304,-0.0058950519201304,True,1.7999999999999998,0.0058950519201304,20.0,2.0,5.0,top_negative,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,short_on_strong_growth,增长明显走强时做空债券,1.0,中债-新综合全价(3-5年)指数,3-5年,全价,新综合,,0.0058950519201304,,,,,,,,,,1.7999999999999998
2020-11,,,-1.0,0.0076294104546468,-0.0076294104546468,True,1.5999999999999996,0.0076294104546468,21.0,1.0,2.0,top_negative,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,short_on_strong_growth,增长明显走强时做空债券,1.0,中债-新综合全价(3-5年)指数,3-5年,全价,新综合,,0.0076294104546468,,,,,,,,,,1.5999999999999996
2020-05,,,-1.0,-0.0203479807203889,0.0203479807203889,True,10.0,0.0203479807203889,1.0,21.0,1.0,top_positive,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,short_on_strong_growth,增长明显走强时做空债券,1.0,中债-新综合全价(3-5年)指数,3-5年,全价,新综合,,-0.0203479807203889,,,,,,,,,,10.0
2020-08,,,-1.0,-0.0073806957267853,0.0073806957267853,True,1.7000000000000002,0.0073806957267853,2.0,20.0,3.0,top_positive,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,short_on_strong_growth,增长明显走强时做空债券,1.0,中债-新综合全价(3-5年)指数,3-5年,全价,新综合,,-0.0073806957267853,,,,,,,,,,1.7000000000000002
2020-04,,,-1.0,-0.0070336404785704,0.0070336404785704,True,10.0,0.0070336404785704,3.0,19.0,4.0,top_positive,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,short_on_strong_growth,增长明显走强时做空债券,1.0,中债-新综合全价(3-5年)指数,3-5年,全价,新综合,,-0.0070336404785704,,,,,,,,,,10.0
2020-10,,,-1.0,0.0045213286950258,-0.0045213286950258,True,1.5999999999999996,0.0045213286950258,17.0,5.0,11.0,top_negative,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,short_on_strong_growth,增长明显走强时做空债券,1.0,中债-新综合全价(5-7年)指数,5-7年,全价,新综合,,,,,,,,0.0045213286950258,,,,1.5999999999999996
2021-03,,,-1.0,0.0046105018115656,-0.0046105018115656,True,12.399999999999999,0.0046105018115656,18.0,4.0,10.0,top_negative,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,short_on_strong_growth,增长明显走强时做空债券,1.0,中债-新综合全价(5-7年)指数,5-7年,全价,新综合,,,,,,,,0.0046105018115656,,,,12.399999999999999
