month,ic_signal_vs_lag1_actual,中债-新综合财富(3-5年)指数__next_1m,position,bond_ret_next_1m,strategy_ret,is_trade,signal_value,strategy_ret_abs,positive_rank,negative_rank,abs_rank,scheme_choice,scheme_label,signal_name,signal_col,signal_label,trade_side,trade_side_label,threshold,target_clean,duration_bucket,index_type,series_family,中债-新综合净价(3-5年)指数__next_1m,中债-新综合全价(3-5年)指数__next_1m,中债-综合财富(3-5年)指数__next_1m,中债-综合净价(3-5年)指数__next_1m,中债-综合全价(3-5年)指数__next_1m,中债-新综合财富(5-7年)指数__next_1m,中债-新综合净价(5-7年)指数__next_1m,中债-新综合全价(5-7年)指数__next_1m,中债-综合财富(5-7年)指数__next_1m,中债-综合净价(5-7年)指数__next_1m,中债-综合全价(5-7年)指数__next_1m,actual_signal_vs_lag1_actual
2020-04,,,-1.0,-0.0201792447798958,0.0201792447798958,True,10.0,0.0201792447798958,1.0,21.0,1.0,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,short_on_strong_growth,增长明显走强时做空债券,1.0,中债-新综合全价(3-5年)指数,3-5年,全价,新综合,,-0.0201792447798958,,,,,,,,,,10.0
2020-05,,,-1.0,-0.0072178606740126,0.0072178606740126,True,10.0,0.0072178606740126,3.0,19.0,3.0,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,short_on_strong_growth,增长明显走强时做空债券,1.0,中债-新综合全价(3-5年)指数,3-5年,全价,新综合,,-0.0072178606740126,,,,,,,,,,10.0
2020-06,,,-1.0,-0.0004958009885426,0.0004958009885426,True,10.0,0.0004958009885426,9.0,13.0,20.0,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,short_on_strong_growth,增长明显走强时做空债券,1.0,中债-新综合全价(3-5年)指数,3-5年,全价,新综合,,-0.0004958009885426,,,,,,,,,,10.0
2020-07,,,-1.0,-0.0057096968407845,0.0057096968407845,True,1.7000000000000002,0.0057096968407845,4.0,18.0,4.0,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,short_on_strong_growth,增长明显走强时做空债券,1.0,中债-新综合全价(3-5年)指数,3-5年,全价,新综合,,-0.0057096968407845,,,,,,,,,,1.7000000000000002
2020-08,,,-1.0,-0.0018870335777776,0.0018870335777776,True,1.7000000000000002,0.0018870335777776,6.0,16.0,11.0,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,short_on_strong_growth,增长明显走强时做空债券,1.0,中债-新综合全价(3-5年)指数,3-5年,全价,新综合,,-0.0018870335777776,,,,,,,,,,1.7000000000000002
2020-09,,,-1.0,-0.0008269143839533,0.0008269143839533,True,1.7000000000000002,0.0008269143839533,8.0,14.0,15.0,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,short_on_strong_growth,增长明显走强时做空债券,1.0,中债-新综合全价(3-5年)指数,3-5年,全价,新综合,,-0.0008269143839533,,,,,,,,,,1.7000000000000002
2020-10,,,-1.0,0.0036469909143383,-0.0036469909143383,True,1.5999999999999996,0.0036469909143383,19.0,3.0,7.0,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,short_on_strong_growth,增长明显走强时做空债券,1.0,中债-新综合全价(3-5年)指数,3-5年,全价,新综合,,0.0036469909143383,,,,,,,,,,1.5999999999999996
2020-11,,,-1.0,0.0045066209667417,-0.0045066209667417,True,1.5999999999999996,0.0045066209667417,21.0,1.0,5.0,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,short_on_strong_growth,增长明显走强时做空债券,1.0,中债-新综合全价(3-5年)指数,3-5年,全价,新综合,,0.0045066209667417,,,,,,,,,,1.5999999999999996
2020-12,,,-1.0,-0.002708515605501,0.002708515605501,True,1.5999999999999996,0.002708515605501,5.0,17.0,9.0,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,short_on_strong_growth,增长明显走强时做空债券,1.0,中债-新综合全价(3-5年)指数,3-5年,全价,新综合,,-0.002708515605501,,,,,,,,,,1.5999999999999996
2021-01,,,-1.0,0.0005474136062091,-0.0005474136062091,True,12.399999999999999,0.0005474136062091,11.0,11.0,19.0,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,short_on_strong_growth,增长明显走强时做空债券,1.0,中债-新综合全价(3-5年)指数,3-5年,全价,新综合,,0.0005474136062091,,,,,,,,,,12.399999999999999
2021-02,,,-1.0,0.0015430093555093,-0.0015430093555093,True,12.399999999999999,0.0015430093555093,16.0,6.0,13.0,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,short_on_strong_growth,增长明显走强时做空债券,1.0,中债-新综合全价(3-5年)指数,3-5年,全价,新综合,,0.0015430093555093,,,,,,,,,,12.399999999999999
