scheme_choice,scheme_label,signal_name,signal_col,signal_label,target_clean,duration_bucket,index_type,series_family,trade_side,trade_side_label,threshold,n_obs,trade_months,coverage_ratio,mean_signal_abs_trade,avg_monthly_ret_all,avg_monthly_ret_trade,trade_win_rate,annualized_sharpe,cum_return,max_drawdown
vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,中债-新综合全价(3-5年)指数,3-5年,全价,新综合,long_on_weak_growth,增长明显走弱时做多债券,0.1,120,51,0.425,2.135294117647059,0.00055562518724917,0.001307353381762753,0.6274509803921569,0.6227948828558665,0.06832313525113198,-0.010619959107390775
vs_lag1_actual,方案二：相较上一期真实GDP,nowcasting_gdp_signal,ic_signal_vs_lag1_actual,nowcasting_GDP - actual_gdp_lag1,中债-新综合全价(3-5年)指数,3-5年,全价,新综合,long_on_weak_growth,增长明显走弱时做多债券,0.1,120,57,0.475,1.2031213979955995,0.0003345214177986933,0.0007042556164183016,0.631578947368421,0.40237752515526903,0.04043881816446393,-0.02434654096044475
vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,中债-新综合净价(3-5年)指数,3-5年,净价,新综合,long_on_weak_growth,增长明显走弱时做多债券,0.1,120,51,0.425,2.135294117647059,0.00044827201451792055,0.0010547576812186365,0.6078431372549019,0.510352078313062,0.05467416723832064,-0.012023315172210558
vs_lag1_actual,方案二：相较上一期真实GDP,nowcasting_gdp_signal,ic_signal_vs_lag1_actual,nowcasting_GDP - actual_gdp_lag1,中债-新综合净价(3-5年)指数,3-5年,净价,新综合,long_on_weak_growth,增长明显走弱时做多债券,0.1,120,57,0.475,1.2031213979955995,0.00020840355404050205,0.000438744324295794,0.6140350877192983,0.2562350383066962,0.024836955697956187,-0.02468371741690334
vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,中债-新综合财富(3-5年)指数,3-5年,财富,新综合,long_on_weak_growth,增长明显走弱时做多债券,0.1,120,51,0.425,2.135294117647059,0.000448328828676962,0.0010548913615928517,0.6078431372549019,0.5104212129308741,0.054681365071830745,-0.012023336240861271
vs_lag1_actual,方案二：相较上一期真实GDP,nowcasting_gdp_signal,ic_signal_vs_lag1_actual,nowcasting_GDP - actual_gdp_lag1,中债-新综合财富(3-5年)指数,3-5年,财富,新综合,long_on_weak_growth,增长明显走弱时做多债券,0.1,120,57,0.475,1.2031213979955995,0.00020840080702942283,0.00043873854111457436,0.6140350877192983,0.2562306990448963,0.02483661428052386,-0.02468774201612911
vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,中债-综合全价(3-5年)指数,3-5年,全价,综合,long_on_weak_growth,增长明显走弱时做多债券,0.1,120,51,0.425,2.135294117647059,0.001614251781852911,0.003798239486712732,0.8431372549019608,1.5751401399366625,0.21265259019614247,-0.0038155566277603414
vs_lag1_actual,方案二：相较上一期真实GDP,nowcasting_gdp_signal,ic_signal_vs_lag1_actual,nowcasting_GDP - actual_gdp_lag1,中债-综合全价(3-5年)指数,3-5年,全价,综合,long_on_weak_growth,增长明显走弱时做多债券,0.1,120,57,0.475,1.2031213979955995,0.001544063089395215,0.0032506591355688733,0.8245614035087719,1.6644078988646922,0.20265735590861955,-0.0107181848102893
vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,中债-综合净价(3-5年)指数,3-5年,净价,综合,long_on_weak_growth,增长明显走弱时做多债券,0.1,120,51,0.425,2.135294117647059,0.0016123960555501902,0.0037938730718827997,0.8431372549019608,1.5757482974712682,0.21238576354558192,-0.003812631095999608
vs_lag1_actual,方案二：相较上一期真实GDP,nowcasting_gdp_signal,ic_signal_vs_lag1_actual,nowcasting_GDP - actual_gdp_lag1,中债-综合净价(3-5年)指数,3-5年,净价,综合,long_on_weak_growth,增长明显走弱时做多债券,0.1,120,57,0.475,1.2031213979955995,0.0015426579190953998,0.0032477008823061054,0.8245614035087719,1.6647957691105015,0.20245656604753703,-0.010713497730168386
