signal_name,threshold,增长明显走弱时做多3-5年债券(nowcasting),增长明显走强时做空3-5年债券(nowcasting),增长明显走弱时做多5-7年债券(nowcasting),增长明显走强时做空5-7年债券(nowcasting),增长明显走弱时做多3-5年债券(actual),增长明显走强时做空3-5年债券(actual),增长明显走弱时做多5-7年债券(actual),增长明显走强时做空5-7年债券(actual)
nowcasting_gdp_signal,0.1,0.26,-0.08,1.43,-0.99,0.51,0.04,1.45,-0.79
nowcasting_gdp_signal,0.2,0.41,-0.41,1.37,-1.24,0.6,0.18,1.37,-0.74
nowcasting_gdp_signal,0.3,0.15,-0.16,1,-1.03,0.43,0.27,1.12,-0.51
nowcasting_gdp_signal,0.4,0.21,-0.04,0.98,-0.86,0.43,0.27,1.01,-0.51
nowcasting_gdp_signal,0.5,0.52,0.15,1.03,-0.84,0.41,0.27,0.95,-0.51
nowcasting_gdp_signal,0.6,0.39,0.19,0.86,-0.78,0.34,0.27,0.83,-0.51
nowcasting_gdp_signal,0.7,0.26,0.19,0.79,-0.78,0.34,0.27,0.83,-0.51
nowcasting_gdp_signal,0.8,0.09,0.09,0.58,-0.81,0.34,0.27,0.83,-0.51
nowcasting_gdp_signal,0.9,0.24,0.09,0.65,-0.81,0.34,0.37,0.83,-0.39
nowcasting_gdp_signal,1,0.22,0.09,0.61,-0.81,0.34,0.37,0.83,-0.39
nowcasting_gdp_signal,1.1,0.22,0.09,0.61,-0.81,0.29,0.37,0.68,-0.39
nowcasting_gdp_signal,1.2,0.22,0.09,0.61,-0.81,0.29,0.37,0.68,-0.39
nowcasting_gdp_signal,1.3,0.22,0.09,0.61,-0.81,0.29,0.37,0.68,-0.39
nowcasting_gdp_signal,1.4,0.22,0.09,0.61,-0.81,0.29,0.37,0.68,-0.39
nowcasting_gdp_signal,1.5,0.22,0.14,0.61,-0.75,0.29,0.37,0.68,-0.39
nowcasting_gdp_signal,1.6,0.22,0.14,0.61,-0.75,0.4,0.4,0.7,-0.29
nowcasting_gdp_signal,1.7,0.01,0.05,0.45,-0.82,0.4,0.4,0.7,-0.29
nowcasting_gdp_signal,1.8,0.01,0.2,0.45,-0.69,0.4,0.45,0.7,0.12
nowcasting_gdp_signal,1.9,-0.01,0.2,0.38,-0.69,0.4,0.45,0.7,0.12
nowcasting_gdp_signal,2,-0.01,0.2,0.38,-0.69,0.4,0.45,0.7,0.12
nowcasting_gdp_signal,2.1,-0.01,0.2,0.38,-0.69,0.4,0.45,0.7,0.12
nowcasting_gdp_signal,2.2,-0.01,0.2,0.38,-0.69,0.4,0.45,0.7,0.12
nowcasting_gdp_signal,2.3,-0.01,0.3,0.38,-0.61,0.4,0.45,0.7,0.12
nowcasting_gdp_signal,2.4,-0.01,0.24,0.38,-0.62,0.4,0.45,0.7,0.12
nowcasting_gdp_signal,2.5,0.09,0.2,0.4,-0.57,0.4,0.45,0.7,0.12
nowcasting_gdp_signal,2.6,0.09,0.2,0.4,-0.57,0.48,0.45,0.68,0.12
nowcasting_gdp_signal,2.7,-0.03,0.21,0.29,-0.51,0.48,0.45,0.68,0.12
nowcasting_gdp_signal,2.8,0.2,0.21,0.37,-0.51,0.48,0.45,0.68,0.12
nowcasting_gdp_signal,2.9,0.2,0.25,0.37,-0.42,0.48,0.45,0.68,0.12
nowcasting_gdp_signal,3,0.2,0.25,0.37,-0.42,0.48,0.45,0.68,0.12
nowcasting_gdp_signal,3.1,0.2,0.15,0.37,-0.49,0.48,0.45,0.68,0.12
nowcasting_gdp_signal,3.2,0.2,0.15,0.37,-0.49,0.48,0.45,0.68,0.12
nowcasting_gdp_signal,3.3,0.2,0.15,0.37,-0.49,0.48,0.33,0.68,0.07
nowcasting_gdp_signal,3.4,0.2,-0.03,0.37,-0.66,0.48,0.33,0.68,0.07
nowcasting_gdp_signal,3.5,0.2,-0.03,0.37,-0.66,0.48,0.33,0.68,0.07
nowcasting_gdp_signal,3.6,0.2,-0.03,0.37,-0.66,0.48,0.33,0.68,0.07
nowcasting_gdp_signal,3.7,0.2,-0.03,0.37,-0.66,0.48,0.33,0.68,0.07
nowcasting_gdp_signal,3.8,0.2,0.17,0.37,-0.48,0.48,0.33,0.68,0.07
nowcasting_gdp_signal,3.9,0.2,0.17,0.37,-0.48,0.48,0.33,0.68,0.07
nowcasting_gdp_signal,4,0.3,0.23,0.46,-0.37,0.48,0.33,0.68,0.07
