n_obs,mean_error_raw,mae_raw,rmse_raw,corr_raw,summary_type,calendar_year
12.0,-0.025618875612571184,0.21140405845494925,0.25147307673421493,0.9305233710452899,smoother_monthly_by_year,2005
24.0,-0.3372052905148945,0.4512940982861611,0.5611932422697239,0.5678320891239984,smoother_monthly_by_year,2006
36.0,-1.2171026401608618,1.2171026401608618,1.3194312772553813,0.45191702176722787,smoother_monthly_by_year,2007
48.0,-0.3351492929756133,0.6256063992844285,0.7815011170336612,0.9719592644237014,smoother_monthly_by_year,2008
60.0,0.5389974991341417,0.71484922579817,0.8803849060180527,0.9450321789149219,smoother_monthly_by_year,2009
72.0,0.02313112798016734,0.38154288416326543,0.5545043634566922,0.8081132441532433,smoother_monthly_by_year,2010
84.0,-0.14355209550333173,0.32848811026665814,0.47522792801519353,0.7015413874886127,smoother_monthly_by_year,2011
96.0,0.2644235050260119,0.39802619156528535,0.5479158877096422,0.38394881850682094,smoother_monthly_by_year,2012
108.0,0.16799593967095663,0.338005439689204,0.4408752327402837,0.08585758225198242,smoother_monthly_by_year,2013
120.0,-0.01761119994262881,0.2559242924262595,0.3192450355547248,0.28676462523686086,smoother_monthly_by_year,2014
120.0,-0.22000530546141725,0.2529542166262645,0.2921174859467692,0.3531897266712626,smoother_monthly_by_year,2015
108.0,-0.01360607061104774,0.14798148066153033,0.18446490492178466,0.2849696515065745,smoother_monthly_by_year,2016
96.0,0.08733940537498026,0.18314921484370164,0.21700312109791645,0.27339503794415315,smoother_monthly_by_year,2017
84.0,-0.11970043829575645,0.19874590957435762,0.23096462797592426,0.618381845571716,smoother_monthly_by_year,2018
72.0,0.06613288597696329,0.19009999505439884,0.2498347154405148,0.4340090074878156,smoother_monthly_by_year,2019
60.0,0.11168921199271835,0.5186035627811372,0.662922704615689,0.8565167669434378,smoother_monthly_by_year,2020
48.0,-0.04240271070291799,0.3345504984834424,0.41875861030884937,0.97828789489135,smoother_monthly_by_year,2021
36.0,0.17698768769150294,0.36934035062144716,0.4576533557250284,0.8192109391316053,smoother_monthly_by_year,2022
24.0,0.5202229736820726,0.5218128560732311,0.5925259788985985,0.5852629070298626,smoother_monthly_by_year,2023
12.0,-0.0646435371444034,0.19156178734756132,0.26207223557145115,0.695835703026383,smoother_monthly_by_year,2024
