variable,mean_train,std_train,train_n_obs,train_n_missing,invalid_for_standardization
GDP同比,5.616666666666667,1.134507153561176,48,72,False
制造业PMI_去季节性,50.28343560640792,0.9596332833904729,120,0,False
服务业PMI,52.012125,2.111967193410368,120,0,False
工业增加值,5.82894455,4.594420478314343,120,0,False
用电量,6.576834787610619,3.924488407830593,113,7,False
社零,6.012402089285715,4.3416474295681455,112,8,False
固投当月同比_去季节性,-18.86254074134073,24.606003382299562,112,8,False
CPI,1.4374722916666665,1.1589622788863851,120,0,False
PPI,1.0950416666666667,4.39435432002593,120,0,False
失业率差分_去季节性,0.11797654037012667,0.10566066089818356,95,25,False
逆回购7天(19日),2.129166666666667,0.34881246951462164,120,0,False
银行间7天回购(20-19均值)_去季节性,2.505498839562628,0.5104939118370241,120,0,False
