variable,mean_train,std_train,train_n_obs,train_n_missing,invalid_for_standardization
GDP同比,9.622499999999999,2.4136577532864925,40,80,False
制造业PMI_去季节性,51.878737141221606,2.8167090071249654,120,0,False
服务业PMI,53.49631914893617,1.1738475762152896,47,73,False
工业增加值,12.222325000000001,4.884369625247629,120,0,False
社零,15.39367809709402,3.3594959717358246,117,3,False
固投累计同比_去季节性,22.111196665862927,5.769303139587212,110,10,False
CPI,2.887731666666667,2.2217948098696896,120,0,False
PPI,0.8485349999999999,4.671282967980175,120,0,False
逆回购7天(19日),3.6713633333333338,0.36166030238639985,120,0,False
银行间7天回购(20-19均值),2.911987577633967,1.081311755879689,120,0,False
