month,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:固投当月同比
1992-02-29,56.7,
1992-06-30,31.0,
1992-07-31,32.0,
1992-08-31,33.0,
1992-09-30,33.0,
1992-10-31,33.6,
1992-11-30,33.9,
1992-12-31,36.8,
1993-02-28,64.1,81.20330631060246
1993-03-31,63.7,52.12620027434842
1993-04-30,62.5,60.74358359318784
1993-05-31,64.2,67.48274609516889
1993-06-30,63.6,62.34705676714982
1993-07-31,63.9,65.06855882634967
1993-08-31,61.6,51.03876438522106
1993-09-30,59.6,49.23813554838363
1993-10-31,58.2,51.09518788343572
1993-11-30,57.3,52.803676664614095
1993-12-31,65.5,74.45125677720364
1994-02-28,39.3,22.32115443659808
1994-03-31,30.9,37.76097662481792
1994-04-30,35.4,42.25982630495122
1994-05-31,31.5,24.455625921748904
1994-06-30,36.6,47.444179420923646
1994-07-31,43.4,68.82757285313193
1994-08-31,41.8,33.75774467146555
1994-09-30,41.8,41.87361517326951
1994-10-31,38.4,19.641865850370287
1994-11-30,36.1,22.69280029932805
1994-12-31,32.8,29.40430454237668
1995-02-28,31.3,59.089931153184175
1995-03-31,37.2,69.72458587180903
1995-04-30,31.5,43.06123733400469
1995-05-31,28.1,42.83772480133838
1995-06-30,25.5,28.552491153176373
1995-07-31,14.0,9.687926506176137
1995-08-31,16.8,54.51588241466669
1995-09-30,17.6,42.54978885029603
1995-10-31,18.0,42.12082245171218
1995-11-30,17.5,32.15885899270443
1995-12-31,21.6,4.025418011356519
1996-02-29,7.0,7.048031194356152
1996-03-31,16.2,22.188436322643824
1996-04-30,16.3,16.497294443711198
1996-05-31,16.5,26.065685772149404
1996-06-30,18.6,34.5815382195384
1996-07-31,20.9,24.898053075137483
1996-08-31,20.2,6.993868601808395
1996-09-30,19.3,14.433712552807451
1996-10-31,18.6,14.484263940451058
1996-11-30,19.2,23.52142426071213
1996-12-31,12.3,1.9162069570657805
1997-02-28,18.1,23.92933844275067
1997-03-31,13.9,7.988880391371378
1997-04-30,15.0,19.13195624535835
1997-05-31,14.0,10.208940201875505
1997-06-30,13.8,12.207554398290975
1997-07-31,10.5,-7.866889912097131
1997-08-31,10.8,13.58298952713426
1997-09-30,11.2,10.059588547969422
1997-10-31,12.1,24.736421855394617
1997-11-30,12.3,14.116353760265651
1997-12-31,9.3,4.713848070409754
1998-02-28,10.2,11.070524473742328
1998-03-31,10.3,8.411834798444207
1998-04-30,12.2,15.722406542549816
1998-05-31,12.7,13.480857042500883
1998-06-30,13.8,5.447243392765144
1998-07-31,15.6,39.38556877141022
1998-08-31,17.4,26.231589031253662
1998-09-30,20.0,33.652293731210456
1998-10-31,21.2,27.490953270539585
1998-11-30,22.3,39.75545565587497
1998-12-31,19.5,-13.244125923722816
1999-02-28,28.3,29.28336520076482
1999-03-31,22.7,22.10989102145351
1999-04-30,18.1,13.873011814977795
1999-05-31,17.6,14.542837687260167
1999-06-30,15.1,6.265091978750492
1999-07-31,12.7,5.025489250185733
1999-08-31,10.4,1.851078900103742
1999-09-30,8.1,-3.3589686180377387
1999-10-31,7.0,1.5790471408589912
1999-11-30,6.8,6.390110286167383
1999-12-31,6.3,4.01337020909085
2000-02-29,8.6,12.976963759628005
2000-03-31,8.5,8.733568832580453
2000-04-30,9.3,10.317040315597035
2000-05-31,9.5,9.53683812303241
2000-06-30,12.1,19.03972483886962
2000-07-31,12.6,14.514577268523476
2000-08-31,12.7,12.52087847948784
2000-09-30,12.9,22.61721317658208
2000-10-31,12.6,11.80351351487674
2000-11-30,11.7,6.028320742572535
2000-12-31,9.7,-4.102701435018508
2001-02-28,16.7,18.417166734738764
2001-03-31,15.1,11.633827675343024
2001-04-30,16.5,21.7839413299608
2001-05-31,17.6,21.09125895043271
2001-06-30,17.9,18.39053531685606
2001-07-31,18.4,18.33097549473945
2001-08-31,18.9,21.40760197775033
2001-09-30,18.2,14.60629229282018
2001-10-31,17.4,12.97904495522526
2001-11-30,16.3,9.427368723740791
2001-12-31,13.7,10.097640210118897
2002-02-28,24.5,24.52044254596588
2002-03-31,26.1,29.81825304660501
2002-04-30,27.1,28.479773684901623
2002-05-31,25.8,22.807768117713543
2002-06-30,24.4,20.044413662698
2002-07-31,24.1,23.22614630571213
2002-08-31,24.2,24.600245443388925
2002-09-30,24.3,24.72653659022854
2002-10-31,24.1,23.02713278894717
2002-11-30,23.4,18.593540710894096
2002-12-31,17.4,2.406159480106318
2003-02-28,32.8,37.53222679138346
2003-03-31,31.6,36.99089292450288
2003-04-30,30.5,29.431466091892645
2003-05-31,31.7,37.3955922727913
2003-06-30,32.8,37.21015421810323
2003-07-31,32.7,36.82099511179684
2003-08-31,32.4,31.74882265177845
2003-09-30,31.4,27.495058605097267
2003-10-31,30.2,28.331759184428584
2003-11-30,29.6,27.7631425071859
2003-12-31,28.4,17.618807542479907
2004-02-29,53.0,69.74602879510856
2004-03-31,47.8,48.35728952772072
2004-04-30,42.8,43.16282107877445
2004-05-31,34.8,32.50465602748043
2004-06-30,31.0,42.53610807058761
2004-07-31,31.1,43.22939448853327
2004-08-31,30.3,40.38242696591892
2004-09-30,29.9,40.862623505755
2004-10-31,29.5,39.8083936529134
2004-11-30,28.9,37.73398112975768
2004-12-31,27.6,16.454901257135155
2005-02-28,24.5,28.437525669069032
2005-03-31,25.3,27.66707764918006
2005-04-30,25.7,25.044873851831028
2005-05-31,26.4,29.72577088496864
2005-06-30,27.1,28.73382375206226
2005-07-31,27.2,26.524565473469487
2005-08-31,27.4,28.47233316568536
2005-09-30,27.7,29.92268575018105
2005-10-31,27.6,27.54534238794201
2005-11-30,27.8,30.599471147456025
2005-12-31,27.2,26.64969676737328
2006-02-28,26.6,25.3997129173003
2006-03-31,29.8,31.14083366217364
2006-04-30,29.6,28.25326434094697
2006-05-31,30.3,30.610485280043576
2006-06-30,31.3,32.46003724683786
2006-07-31,30.5,25.97388968180672
2006-08-31,29.1,20.09460003009029
2006-09-30,28.2,22.341741551052063
2006-10-31,26.8,16.165505777497845
2006-11-30,26.6,23.75353688470268
2006-12-31,24.3,19.630840872782173
2007-02-28,23.4,23.439489242741907
2007-03-31,25.3,26.83274472229702
2007-04-30,25.5,25.847628515958387
2007-05-31,25.9,27.0585024355287
2007-06-30,26.7,28.450289614165136
2007-07-31,26.6,26.38866739818102
2007-08-31,26.7,27.33753906924119
2007-09-30,26.4,24.78145601230177
2007-10-31,26.9,30.72059972650916
2007-11-30,26.8,26.074653901172653
2007-12-31,25.8,18.707566104012272
2008-02-29,24.3,24.273566528589853
2008-03-31,25.9,27.30876807432008
2008-04-30,25.7,25.36803795896063
2008-05-31,25.6,25.435617864697345
2008-06-30,26.8,29.49282550324095
2008-07-31,27.3,29.2286918750547
2008-08-31,27.4,28.09348701006009
2008-09-30,27.6,29.024023583464697
2008-10-31,27.2,24.39462235231915
2008-11-30,26.8,23.806634286847217
2008-12-31,26.6,22.27225404984144
2009-02-28,26.5,26.5290366431934
2009-03-31,28.6,30.31253524787534
2009-04-30,30.5,33.95547268290413
2009-05-31,32.9,38.6691389414491
2009-06-30,33.6,35.25383864431551
2009-07-31,32.9,29.94411291086476
2009-08-31,33.0,33.6465612977199
2009-09-30,33.3,35.05305992500851
2009-10-31,33.1,31.646539063368184
2009-11-30,32.1,24.25894640372637
2009-12-31,30.4,24.090320151062205
2010-02-28,26.6,26.64748890352955
2010-03-31,26.4,26.28620200945193
2010-04-30,26.1,25.36755841216538
2010-05-31,25.9,25.41382721276655
2010-06-30,25.5,24.86387232825411
2010-07-31,24.9,22.346562623712728
2010-08-31,24.8,23.918152934594783
2010-09-30,24.5,23.177862707701703
2010-10-31,24.4,23.68859920288193
2010-11-30,24.9,29.10729707594757
2010-12-31,24.5,20.43822208072179
2011-02-28,24.9,34.041184782884315
2011-03-31,25.0,31.24268043018956
2011-04-30,25.4,37.17536269761719
2011-05-31,25.8,33.580137323525136
2011-06-30,25.6,11.805795416480368
2011-07-31,25.4,27.656381838289512
2011-08-31,25.0,33.39220282147648
2011-09-30,24.9,27.318163835084164
2011-10-31,24.9,34.143698481821794
2011-11-30,24.5,21.3694636881552
2011-12-31,23.8,5.741628351922801
