指标名称,逆回购利率:7天,利率:中期借贷便利(MLF):1年,银行间质押式回购加权利率:7天,贷款市场报价利率(LPR):1年
频率,日,日,日,日
单位,%,%,%,%
指标ID,M0041371,M0329545,M0041653,M0096870
来源,中国人民银行,中国人民银行,中国货币网,全国银行间同业拆借中心
1999-01-04,,,4.02,
1999-01-05,,,4.05,
1999-01-06,,,4.05,
1999-01-07,,,4.05,
1999-01-08,,,4.05,
1999-01-12,,,4.05,
1999-01-13,,,4.136,
1999-01-14,,,4.05,
1999-01-15,,,4.05,
1999-01-20,,,4.02,
1999-01-21,,,4.02,
1999-01-22,,,4.02,
1999-01-25,,,4.02,
1999-01-26,,,4.019,
1999-01-27,,,4.02,
1999-01-28,,,4.017,
1999-02-01,,,4.02,
1999-02-02,,,4.017,
1999-02-03,,,4.03,
1999-02-04,,,4.02,
1999-02-05,,,4.02,
1999-02-08,,,4.02,
1999-02-09,,,4.061,
1999-02-12,,,4.075,
1999-02-23,,,4,
1999-02-25,,,4.02,
1999-02-26,,,4.06,
1999-03-01,,,4.02,
1999-03-02,,,4.027,
1999-03-03,,,4.02,
1999-03-04,,,4.035,
1999-03-05,,,4.02,
1999-03-08,,,4.025,
1999-03-09,,,4.026,
1999-03-10,,,4.046,
1999-03-11,,,4.103,
1999-03-12,,,4.08,
1999-03-16,,,4.106,
1999-03-18,,,4.08,
1999-03-22,,,4.04,
1999-03-23,,,4.05,
1999-03-25,,,4.04,
1999-03-26,,,4.05,
1999-03-29,,,4.058,
1999-03-30,,,4.05,
1999-03-31,,,4.05,
1999-04-01,,,4.05,
1999-04-02,,,4.066,
1999-04-05,,,4.05,
1999-04-06,,,4.05,
1999-04-07,,,4.042,
1999-04-08,,,4.05,
1999-04-12,,,4.05,
1999-04-13,,,4.021,
1999-04-14,,,4.028,
1999-04-15,,,4.053,
1999-04-16,,,4.035,
1999-04-19,,,4.05,
1999-04-20,,,4.042,
1999-04-21,,,4.05,
1999-04-23,,,4.02,
1999-04-26,,,4.02,
1999-04-27,,,4.02,
1999-04-28,,,4.02,
1999-04-29,,,4.039,
1999-04-30,,,4.02,
1999-05-04,,,4.02,
1999-05-05,,,4.02,
1999-05-06,,,4,
1999-05-07,,,4.006,
1999-05-10,,,4.067,
1999-05-11,,,4.018,
1999-05-12,,,4.02,
1999-05-13,,,4.013,
1999-05-14,,,4.006,
1999-05-17,,,4,
1999-05-18,,,4.02,
1999-05-20,,,4.01,
1999-05-24,,,4.01,
1999-05-25,,,4.006,
1999-05-26,,,4.006,
1999-05-27,,,4,
1999-05-28,,,3.85,
1999-05-31,,,3.991,
1999-06-01,,,4.005,
1999-06-02,,,4.001,
1999-06-03,,,3.959,
1999-06-04,,,3.9,
1999-06-07,,,3.968,
1999-06-08,,,4,
1999-06-09,,,3.966,
1999-06-10,,,2.73,
1999-06-11,,,2.728,
1999-06-14,,,2.7,
1999-06-15,,,2.7,
1999-06-16,,,2.706,
1999-06-17,,,2.7,
1999-06-18,,,2.7,
1999-06-21,,,2.7,
1999-06-22,,,2.7,
1999-06-23,,,2.698,
1999-06-24,,,2.7,
1999-06-25,,,2.687,
1999-06-28,,,2.7,
1999-06-29,,,2.694,
1999-06-30,,,2.685,
1999-07-01,,,2.71,
1999-07-02,,,2.694,
1999-07-05,,,2.564,
1999-07-06,,,2.682,
1999-07-07,,,2.672,
1999-07-09,,,2.65,
1999-07-12,,,2.659,
1999-07-13,,,2.636,
1999-07-14,,,2.631,
1999-07-15,,,2.639,
1999-07-16,,,2.664,
1999-07-19,,,2.639,
1999-07-20,,,2.628,
1999-07-21,,,2.628,
1999-07-22,,,2.62,
1999-07-23,,,2.615,
1999-07-26,,,2.614,
1999-07-27,,,2.619,
1999-07-28,,,2.609,
1999-07-29,,,2.621,
1999-07-30,,,2.615,
1999-08-02,,,2.623,
1999-08-03,,,2.615,
1999-08-04,,,2.609,
1999-08-05,,,2.611,
1999-08-06,,,2.619,
1999-08-09,,,2.617,
1999-08-10,,,2.61,
1999-08-11,,,2.61,
1999-08-12,,,2.607,
1999-08-13,,,2.609,
1999-08-16,,,2.596,
1999-08-17,,,2.59,
1999-08-18,,,2.59,
1999-08-19,,,2.592,
1999-08-20,,,2.552,
1999-08-23,,,2.582,
1999-08-24,,,2.58,
1999-08-25,,,2.581,
1999-08-26,,,2.58,
1999-08-27,,,2.58,
1999-08-30,,,2.581,
1999-08-31,,,2.58,
1999-09-01,,,2.58,
1999-09-02,,,2.58,
1999-09-03,,,2.58,
1999-09-06,,,2.579,
1999-09-07,,,2.578,
1999-09-08,,,2.574,
1999-09-09,,,2.58,
1999-09-10,,,2.58,
1999-09-13,,,2.589,
1999-09-14,,,2.583,
1999-09-15,,,2.58,
1999-09-16,,,2.583,
1999-09-17,,,2.58,
1999-09-20,,,2.58,
1999-09-21,,,2.591,
1999-09-22,,,2.58,
1999-09-23,,,2.586,
1999-09-24,,,2.585,
1999-09-27,,,2.583,
1999-09-28,,,2.576,
1999-09-30,,,2.52,
1999-10-08,,,2.58,
1999-10-10,,,2.58,
1999-10-11,,,2.577,
1999-10-12,,,2.58,
1999-10-13,,,2.635,
1999-10-14,,,2.586,
1999-10-15,,,2.59,
1999-10-18,,,2.59,
1999-10-19,,,2.593,
1999-10-20,,,2.596,
1999-10-21,,,2.585,
1999-10-22,,,2.591,
1999-10-25,,,2.592,
1999-10-27,,,2.582,
1999-10-28,,,2.576,
1999-10-29,,,2.561,
1999-11-01,,,2.579,
1999-11-02,2.57,,2.575,
1999-11-03,,,2.58,
1999-11-04,,,2.577,
1999-11-05,,,2.578,
1999-11-08,,,2.57,
1999-11-09,,,2.572,
1999-11-10,,,2.58,
1999-11-11,,,2.579,
1999-11-12,,,2.579,
1999-11-15,,,2.581,
1999-11-16,,,2.576,
1999-11-17,,,2.58,
1999-11-18,,,2.573,
1999-11-19,,,2.577,
1999-11-22,,,2.58,
1999-11-23,,,2.577,
1999-11-24,,,2.582,
1999-11-25,,,2.575,
1999-11-26,,,2.573,
1999-11-29,,,2.578,
1999-11-30,,,2.57,
1999-12-01,,,2.57,
1999-12-02,,,2.578,
1999-12-03,,,2.564,
1999-12-06,,,2.565,
1999-12-07,,,2.566,
1999-12-08,,,2.571,
1999-12-09,,,2.57,
1999-12-10,,,2.566,
1999-12-13,,,2.568,
1999-12-14,,,2.575,
1999-12-15,,,2.572,
1999-12-16,,,2.562,
1999-12-17,,,2.56,
1999-12-21,2.57,,2.564,
1999-12-22,,,2.567,
1999-12-23,,,2.575,
1999-12-24,,,2.569,
1999-12-27,,,2.573,
1999-12-28,2.57,,2.58,
1999-12-29,,,2.571,
1999-12-30,,,2.572,
2000-01-04,2.57,,2.572,
2000-01-05,,,2.565,
2000-01-06,,,2.566,
2000-01-07,,,2.58,
2000-01-10,,,2.56,
2000-01-11,,,2.556,
2000-01-12,,,2.56,
2000-01-13,,,2.555,
2000-01-14,,,2.56,
2000-01-17,,,2.558,
2000-01-18,2.57,,2.55,
2000-01-19,,,2.55,
2000-01-20,,,2.55,
2000-01-21,,,2.536,
2000-01-24,,,2.542,
2000-01-25,2.57,,2.502,
2000-01-26,,,2.508,
2000-01-27,,,2.528,
2000-01-28,,,2.518,
2000-01-31,,,2.513,
2000-02-01,,,2.5,
2000-02-02,,,2.5,
2000-02-12,,,2.555,
2000-02-13,,,2.562,
2000-02-14,,,2.521,
2000-02-15,2.53,,2.482,
2000-02-16,,,2.504,
2000-02-17,,,2.511,
2000-02-18,,,2.511,
2000-02-21,,,2.515,
2000-02-22,2.52,,2.506,
2000-02-23,,,2.511,
2000-02-24,,,2.494,
2000-02-25,,,2.491,
2000-02-28,,,2.492,
2000-02-29,,,2.485,
2000-03-01,,,2.482,
2000-03-02,,,2.481,
2000-03-03,,,2.478,
2000-03-06,,,2.477,
2000-03-07,2.5,,2.481,
2000-03-08,,,2.474,
2000-03-09,,,2.472,
2000-03-10,,,2.467,
2000-03-13,,,2.467,
2000-03-14,2.5,,2.453,
2000-03-15,,,2.451,
2000-03-16,,,2.45,
2000-03-17,,,2.451,
2000-03-20,,,2.448,
2000-03-21,2.48,,2.448,
2000-03-22,,,2.44,
2000-03-23,,,2.442,
2000-03-24,,,2.442,
2000-03-27,,,2.434,
2000-03-28,2.48,,2.438,
2000-03-29,,,2.436,
2000-03-30,,,2.44,
2000-03-31,,,2.421,
2000-04-03,,,2.43,
2000-04-04,2.48,,2.432,
2000-04-05,,,2.425,
2000-04-06,,,2.422,
2000-04-07,,,2.425,
2000-04-10,,,2.424,
2000-04-11,2.48,,2.421,
2000-04-12,,,2.42,
2000-04-13,,,2.428,
2000-04-14,,,2.418,
2000-04-17,,,2.417,
2000-04-18,2.48,,2.426,
2000-04-19,,,2.419,
2000-04-20,,,2.418,
2000-04-21,,,2.417,
2000-04-24,,,2.413,
2000-04-25,,,2.401,
2000-04-26,,,2.394,
2000-04-27,,,2.405,
2000-04-28,,,2.4,
2000-04-29,,,2.381,
2000-05-08,,,2.401,
2000-05-09,2.48,,2.397,
2000-05-10,,,2.401,
2000-05-11,,,2.401,
2000-05-12,,,2.398,
2000-05-15,,,2.398,
2000-05-16,2.48,,2.391,
2000-05-17,,,2.392,
2000-05-18,,,2.392,
2000-05-19,,,2.394,
2000-05-22,,,2.391,
2000-05-23,2.48,,2.373,
2000-05-24,,,2.391,
2000-05-25,,,2.387,
2000-05-26,,,2.387,
2000-05-29,,,2.376,
2000-05-30,2.48,,2.376,
2000-05-31,,,2.367,
2000-06-01,,,2.374,
2000-06-02,,,2.376,
2000-06-05,,,2.377,
2000-06-06,2.48,,2.372,
2000-06-07,,,2.38,
2000-06-08,,,2.375,
2000-06-09,,,2.373,
2000-06-12,,,2.373,
2000-06-13,2.48,,2.369,
2000-06-14,,,2.3683,
2000-06-15,,,2.3716,
2000-06-16,,,2.3766,
2000-06-19,,,2.371,
2000-06-20,2.48,,2.369,
2000-06-21,,,2.365,
2000-06-22,,,2.364,
2000-06-23,,,2.373,
2000-06-26,,,2.367,
2000-06-27,2.48,,2.367,
2000-06-28,,,2.313,
2000-06-29,,,2.369,
2000-06-30,,,2.365,
2000-07-03,,,2.366,
2000-07-04,2.48,,2.37,
2000-07-05,,,2.364,
2000-07-06,,,2.364,
2000-07-07,,,2.363,
2000-07-10,,,2.361,
2000-07-11,2.48,,2.355,
2000-07-12,,,2.357,
2000-07-13,,,2.356,
2000-07-14,,,2.359,
2000-07-17,,,2.359,
2000-07-18,2.48,,2.354,
2000-07-19,,,2.356,
2000-07-20,,,2.354,
2000-07-21,,,2.358,
2000-07-24,,,2.35,
2000-07-25,2.48,,2.346,
2000-07-26,,,2.349,
2000-07-27,,,2.351,
2000-07-28,,,2.356,
2000-07-31,,,2.343,
2000-08-01,2.48,,2.338,
2000-08-02,,,2.338,
2000-08-03,,,2.342,
2000-08-04,,,2.34,
2000-08-07,,,2.331,
2000-08-08,2.48,,2.331,
2000-08-09,,,2.333,
2000-08-10,,,2.323,
2000-08-11,,,2.328,
2000-08-14,,,2.335,
2000-08-15,2.48,,2.318,
2000-08-16,,,2.321,
2000-08-17,,,2.318,
2000-08-18,,,2.33,
2000-08-21,,,2.318,
2000-08-22,2.48,,2.314,
2000-08-23,,,2.31,
2000-08-24,,,2.316,
2000-08-25,,,2.318,
2000-08-28,,,2.327,
2000-08-29,2.48,,2.316,
2000-08-30,,,2.311,
2000-08-31,,,2.308,
2000-09-01,,,2.323,
2000-09-04,,,2.311,
2000-09-05,2.48,,2.311,
2000-09-06,,,2.312,
2000-09-07,,,2.31,
