month_end,中债-新综合财富(3-5年)指数,中债-新综合净价(3-5年)指数,中债-新综合全价(3-5年)指数,中债-综合财富(3-5年)指数,中债-综合净价(3-5年)指数,中债-综合全价(3-5年)指数,中债-新综合财富(5-7年)指数,中债-新综合净价(5-7年)指数,中债-新综合全价(5-7年)指数,中债-综合财富(5-7年)指数,中债-综合净价(5-7年)指数,中债-综合全价(5-7年)指数
2002-01-04,99.8904,99.8904,99.9381,99.9381,99.9381,99.9381,100.013,100.013,99.9719,99.9719,100.013,100.013
2002-01-07,99.9069,99.9069,99.9886,99.9886,99.9886,99.9886,100.0597,100.0597,99.9887,99.9887,100.0597,100.0597
2002-01-08,99.6617,99.6617,99.7593,99.7593,99.7593,99.7593,99.8114,99.8114,99.7273,99.7273,99.8114,99.8114
2002-01-09,99.8892,99.8892,99.994,99.994,99.994,99.994,99.6368,99.6368,99.5403,99.5403,99.6368,99.6368
2002-01-10,99.9073,99.9073,100.0232,100.0232,100.0232,100.0232,99.6883,99.6883,99.5823,99.5823,99.6883,99.6883
2002-01-11,100.2621,100.2621,100.383,100.383,100.383,100.383,100.0626,100.0626,99.9509,99.9509,100.0626,100.0626
2002-01-14,100.1902,100.1902,100.3467,100.3467,100.3467,100.3467,99.9676,99.9676,99.8243,99.8243,99.9676,99.9676
2002-01-15,100.3062,100.3062,100.4719,100.4719,100.4719,100.4719,100.2121,100.2121,100.0615,100.0615,100.2121,100.2121
2002-01-16,100.4001,100.4001,100.5755,100.5755,100.5755,100.5755,100.322,100.322,100.1625,100.1625,100.322,100.322
2002-01-17,100.0399,100.0399,100.2333,100.2333,100.2333,100.2333,100.312,100.312,100.1423,100.1423,100.312,100.312
2002-01-18,100.2313,100.2313,100.4327,100.4327,100.4327,100.4327,100.2919,100.2919,100.1117,100.1117,100.2919,100.2919
2002-01-21,100.196,100.196,100.4323,100.4323,100.4323,100.4323,100.6823,100.6823,100.4763,100.4763,100.6823,100.6823
2002-01-22,100.4177,100.4177,100.6614,100.6614,100.6614,100.6614,100.6417,100.6417,100.425,100.425,100.6417,100.6417
2002-01-23,100.0053,100.0053,100.2679,100.2679,100.2679,100.2679,100.576,100.576,100.3483,100.3483,100.576,100.576
2002-01-24,100.3885,100.3885,100.6555,100.6555,100.6555,100.6555,100.6832,100.6832,100.4466,100.4466,100.6832,100.6832
2002-01-25,100.5096,100.5096,100.7859,100.7859,100.7859,100.7859,100.7436,100.7436,100.4984,100.4984,100.7436,100.7436
2002-01-28,100.5005,100.5005,100.8112,100.8112,100.8112,100.8112,101.2188,101.2188,100.951,100.951,101.2188,101.2188
2002-01-29,100.5928,100.5928,100.9133,100.9133,100.9133,100.9133,100.8086,100.8086,100.5256,100.5256,100.8086,100.8086
2002-01-30,100.5977,100.5977,100.9295,100.9295,100.9295,100.9295,100.9443,100.9443,100.6528,100.6528,100.9443,100.9443
2002-01-31,100.5868,100.5868,100.9302,100.9302,100.9302,100.9302,101.0643,101.0643,100.764,100.764,101.0643,101.0643
2002-02-01,100.7443,100.7443,101.0963,101.0963,101.0963,101.0963,101.0778,101.0778,100.7675,100.7675,101.0778,101.0778
2002-02-04,100.7406,100.7406,101.1269,101.1269,101.1269,101.1269,101.2495,101.2495,100.9107,100.9107,101.2495,101.2495
2002-02-05,100.7283,100.7283,101.1262,101.1262,101.1262,101.1262,101.3426,101.3426,100.9947,100.9947,101.3426,101.3426
2002-02-06,100.748,100.748,101.1569,101.1569,101.1569,101.1569,101.3292,101.3292,100.971,100.971,101.3292,101.3292
2002-02-07,100.5658,100.5658,100.9895,100.9895,100.9895,100.9895,101.2795,101.2795,100.9105,100.9105,101.2795,101.2795
2002-02-08,100.5505,100.5505,100.9859,100.9859,100.9859,100.9859,101.3749,101.3749,100.9969,100.9969,101.3749,101.3749
2002-02-25,100.2134,100.2134,100.8563,100.8563,100.8563,100.8563,101.5106,101.5118,100.9325,100.9325,101.3372,101.3372
2002-02-26,100.6924,100.6924,100.9303,100.9303,101.3374,101.3398,101.8047,101.8059,101.2195,101.2195,101.6308,101.6308
2002-02-27,100.457,100.457,100.7097,100.7097,101.1174,101.1183,101.7698,101.771,101.1739,101.1739,101.596,101.596
2002-02-28,100.4255,100.4255,100.6897,100.6897,101.0975,101.0982,101.9541,101.9553,101.3499,101.3499,101.78,101.78
2002-03-01,100.4041,100.4041,100.6797,100.6797,101.0874,101.0882,101.9085,101.9097,101.2934,101.2934,101.7344,101.7344
2002-03-04,100.4246,100.4246,100.7329,100.7329,101.1409,101.1416,101.9952,101.9964,101.35,101.35,101.821,101.821
2002-03-05,100.6162,100.6162,100.9325,100.9325,101.3412,101.342,102.1452,102.1464,101.4913,101.4913,101.9707,101.9707
2002-03-06,100.5733,100.5733,100.9013,100.9013,101.3099,101.3106,102.1459,102.1471,101.4817,101.4817,101.9714,101.9714
2002-03-07,100.5681,100.5681,100.9071,100.9071,101.3158,101.3165,102.1294,102.1306,101.4547,101.4547,101.955,101.955
2002-03-08,100.8263,100.8263,101.1723,101.1723,101.582,101.5828,102.1995,102.2007,101.5152,101.5152,102.0249,102.0249
2002-03-11,100.6884,100.6884,101.0696,101.0696,101.479,101.4797,102.0544,102.0556,101.3375,101.3375,101.8801,101.8801
2002-03-12,100.8853,100.8853,101.2744,101.2744,101.6845,101.6853,102.3287,102.3299,101.6044,101.6044,102.1539,102.1539
2002-03-13,100.845,100.845,101.2457,101.2457,101.6558,101.6565,102.3659,102.367,101.6317,101.6317,102.191,102.191
2002-03-14,100.9065,100.9065,101.3173,101.3173,101.7276,101.7284,102.4307,102.4319,101.6869,101.6869,102.2558,102.2558
2002-03-15,100.6358,100.6358,101.062,101.062,101.4713,101.472,102.3891,102.3903,101.6345,101.6345,102.2142,102.2142
2002-03-18,100.9089,100.9089,101.3637,101.3637,101.7743,101.775,102.5227,102.5239,101.7386,101.7386,102.3476,102.3476
2002-03-19,100.9923,100.9923,101.4569,101.4569,101.8678,101.8685,102.7014,102.7026,101.9088,101.9088,102.526,102.526
2002-03-20,100.8992,100.8992,101.3763,101.3763,101.7868,101.7876,102.4123,102.4134,101.6062,101.6062,102.2373,102.2373
2002-03-21,101.0041,101.0041,101.4905,101.4905,101.9015,101.9022,102.8379,102.8391,102.0262,102.0262,102.6623,102.6623
2002-03-22,100.9128,100.9128,101.4116,101.4116,101.8223,101.8231,102.9267,102.9279,102.1056,102.1056,102.7509,102.7509
2002-03-25,101.0075,101.0075,101.5379,101.5379,101.9491,101.9498,102.9841,102.9853,102.1328,102.1328,102.8082,102.8082
2002-03-26,101.1176,101.1176,101.6573,101.6573,102.069,102.0698,103.034,103.0352,102.1729,102.1729,102.858,102.858
2002-03-27,101.0117,101.0117,101.5641,101.5641,101.9754,101.9762,102.7921,102.7933,101.9182,101.9182,102.6165,102.6165
2002-03-28,101.012,101.012,101.5754,101.5754,101.9868,101.9875,102.7867,102.7879,101.9024,101.9024,102.6111,102.6111
2002-03-29,101.3184,101.3184,101.888,101.888,102.3006,102.3014,103.0142,103.0154,102.122,102.122,102.8383,102.8383
2002-04-01,101.3478,101.3478,101.95,101.95,102.3629,102.3636,103.3423,103.3435,102.4226,102.4226,103.1658,103.1658
2002-04-02,101.8175,101.8175,102.4232,102.4232,102.838,102.8388,103.4719,103.4731,102.5433,102.5433,103.2951,103.2951
2002-04-03,101.5293,101.5293,102.1506,102.1506,102.5643,102.5651,103.3261,103.3273,102.3857,102.3857,103.1496,103.1496
2002-04-04,101.2229,101.2229,101.8601,101.8601,102.2726,102.2734,103.2304,103.2316,102.2788,102.2788,103.0541,103.0541
2002-04-05,101.1609,101.1609,101.8101,101.8101,102.2224,102.2231,102.9489,102.9501,101.984,101.984,102.7731,102.7731
2002-04-08,101.2907,101.2907,101.9709,101.9709,102.3839,102.3846,103.739,103.7403,102.7516,102.7516,103.5619,103.5619
2002-04-09,101.1049,101.1049,101.799,101.799,102.2113,102.2121,103.3012,103.3024,102.2988,102.2988,103.1248,103.1248
2002-04-10,101.2904,101.2904,101.9926,101.9926,102.4057,102.4064,103.7483,103.7496,102.7404,102.7404,103.5711,103.5711
2002-04-11,101.3032,101.3032,102.0162,102.0162,102.4294,102.4301,103.7732,103.7744,102.7552,102.7552,103.5959,103.5959
2002-04-12,101.4117,101.4117,102.1341,102.1341,102.5477,102.5485,103.9427,103.9439,102.9162,102.9162,103.7652,103.7652
2002-04-15,101.6219,101.6219,102.374,102.374,102.7886,102.7894,104.0707,104.0719,103.0146,103.0146,103.8929,103.8929
2002-04-16,101.7838,101.7838,102.5444,102.5444,102.9597,102.9604,104.0568,104.058,102.9903,102.9903,103.879,103.879
2002-04-17,101.5073,101.5073,102.2833,102.2833,102.6975,102.6983,104.0358,104.037,102.9588,102.9588,103.8581,103.8581
2002-04-18,101.5506,101.5506,102.3369,102.3369,102.7514,102.7521,104.1633,104.1646,103.0774,103.0774,103.9854,103.9854
2002-04-19,101.5216,101.5216,102.3194,102.3194,102.7337,102.7345,104.1975,104.1987,103.1016,103.1016,104.0195,104.0195
2002-04-22,101.7646,101.7646,102.5915,102.5915,103.007,103.0078,104.3483,104.3495,103.2232,103.2232,104.1701,104.1701
2002-04-23,101.5267,101.5267,102.3684,102.3684,102.783,102.7837,104.3165,104.3177,103.1807,103.1807,104.1383,104.1383
2002-04-24,101.604,101.604,102.4555,102.4555,102.8704,102.8712,104.3666,104.3681,103.2211,103.2211,104.0674,104.0674
2002-04-25,101.3459,101.3459,102.2126,102.2126,102.6265,102.6273,104.516,104.5177,103.3618,103.3618,104.2166,104.2166
2002-04-26,101.6799,101.6799,102.5523,102.5523,102.9676,102.9684,104.5882,104.5899,103.4244,103.4244,104.2886,104.2886
2002-04-29,101.7022,101.7022,102.6079,102.6079,103.0235,103.0242,104.543,104.5447,103.3438,103.3438,104.2435,104.2435
2002-04-30,101.5886,101.5886,102.5061,102.5061,102.9212,102.922,104.3018,104.3032,103.0898,103.0898,104.0027,104.0027
2002-05-08,101.6013,101.6013,102.6013,102.6013,103.0168,103.0176,104.4876,104.489,103.1943,103.1943,104.1879,104.1879
2002-05-09,101.6885,101.6885,102.6978,102.6978,103.1137,103.1144,104.5824,104.5838,103.2795,103.2795,104.2825,104.2825
2002-05-10,101.6835,101.6835,102.7032,102.7032,103.1191,103.1199,104.5513,104.5526,103.2377,103.2377,104.2514,104.2514
2002-05-13,101.6955,101.6955,102.7461,102.7461,103.1622,103.163,104.6276,104.629,103.2838,103.2838,104.3276,104.3276
2002-05-14,101.6545,101.6545,102.7159,102.7159,103.1319,103.1327,104.6469,104.6476,103.2929,103.2929,104.2633,104.2633
2002-05-15,101.7318,101.7318,102.8026,102.8026,103.219,103.2197,104.7219,104.7227,103.3582,103.3582,104.3381,104.3381
2002-05-16,101.9383,101.9383,103.0169,103.0169,103.4341,103.4349,104.7739,104.7747,103.4003,103.4003,104.3899,104.3899
2002-05-17,101.4595,101.4595,102.554,102.554,102.9693,102.9701,104.7541,104.7549,103.37,103.37,104.3702,104.3702
2002-05-20,101.8612,101.8612,102.9816,102.9816,103.3987,103.3994,104.8697,104.8706,103.4556,103.4556,104.4855,104.4855
2002-05-21,101.9759,101.9759,103.1052,103.1052,103.5228,103.5236,104.8357,104.8366,103.411,103.411,104.4516,104.4516
2002-05-22,101.6077,101.6077,102.7515,102.7515,103.1676,103.1684,104.906,104.9069,103.4715,103.4715,104.5216,104.5216
2002-05-23,101.6472,101.6472,102.8009,102.8009,103.2172,103.218,105.0036,105.0046,103.5596,103.5596,104.619,104.619
2002-05-24,101.5378,101.5378,102.7029,102.7029,103.1189,103.1196,105.085,105.0861,103.6313,103.6313,104.7002,104.7002
2002-05-27,101.3438,101.3438,102.5419,102.5419,102.9572,102.9579,105.1778,105.179,103.6938,103.6938,104.7927,104.7927
2002-05-28,102.0098,102.0098,103.2104,103.2104,103.6284,103.6291,105.2516,105.2529,103.7579,103.7579,104.8663,104.8663
2002-05-29,101.8348,101.8348,103.0476,103.0476,103.465,103.4657,105.2615,105.2628,103.7576,103.7576,104.8762,104.8762
2002-05-30,102.1547,102.1547,103.374,103.374,103.7927,103.7934,105.3736,105.3749,103.8602,103.8602,104.9879,104.9879
2002-05-31,102.1282,102.1282,103.3581,103.3581,103.7766,103.7774,105.4782,105.4796,103.9553,103.9553,105.0922,105.0922
2002-06-03,102.1788,102.1788,103.4388,103.4388,103.8577,103.8585,105.5868,105.5882,104.0338,104.0338,105.2005,105.2005
