n_obs,mean_error_raw,mae_raw,rmse_raw,corr_raw,summary_type,forecast_year
12.0,-0.02690302343423164,0.231809724984394,0.266445674639176,-0.29963125820666914,nowcast_monthly_by_year,2015
12.0,-0.11663169830554922,0.16858349983201812,0.23706436120534408,0.7787028522512195,nowcast_monthly_by_year,2016
12.0,0.7381518698423891,0.7381518698423891,0.771294008011265,0.28837069960920214,nowcast_monthly_by_year,2017
12.0,0.2836738367665778,0.3603674876746014,0.4268582255154167,0.24042229759207243,nowcast_monthly_by_year,2018
12.0,0.01661357943636849,0.16048423235960813,0.1845035244232701,0.8018190982563959,nowcast_monthly_by_year,2019
12.0,2.0788569749439305,3.5940366591101007,5.804374686539998,0.14239161763397074,nowcast_monthly_by_year,2020
12.0,-1.8193794155814,3.681996236378001,5.673744847576587,0.3471895046291725,nowcast_monthly_by_year,2021
12.0,2.640717225642667,2.640717225642667,2.869110282253618,0.7556515671375849,nowcast_monthly_by_year,2022
12.0,0.3929409894890552,0.7738048818516713,0.9172612142281643,0.804683996883236,nowcast_monthly_by_year,2023
12.0,-0.22565947152365484,0.501550804348143,0.5587823444674694,-0.06289973287809428,nowcast_monthly_by_year,2024
12.0,-0.39441589139888217,0.4034088131848233,0.5235684219791218,0.5087417078768726,nowcast_monthly_by_year,2025
