n_obs,mean_error_raw,mae_raw,rmse_raw,corr_raw,summary_type,forecast_year
12.0,-0.6574672030845856,0.7790885904781745,0.9094695314137629,0.35328035954428777,nowcast_monthly_by_year,2015
12.0,-0.746038556441938,0.746038556441938,0.8456385263005117,0.5636573803495573,nowcast_monthly_by_year,2016
12.0,0.12953960057017944,0.2133234148079924,0.27016423986437,-0.1291394331483901,nowcast_monthly_by_year,2017
12.0,-0.2359477444904193,0.3167627549490725,0.39777760622363423,0.391830636823012,nowcast_monthly_by_year,2018
12.0,-0.25362538949207486,0.2736958114084957,0.36723394910734714,0.6653662760154544,nowcast_monthly_by_year,2019
12.0,1.7767760058493896,3.902868496069393,5.950462686902359,0.042206027935768525,nowcast_monthly_by_year,2020
12.0,-1.5550253444613233,3.993575229722556,5.505724836733,0.4013623609567395,nowcast_monthly_by_year,2021
12.0,0.7671216518087894,1.4473563880751605,1.8908057905410085,0.5765898662051016,nowcast_monthly_by_year,2022
12.0,0.1741570826275655,1.010375879780116,1.1306775231238329,0.23166300875510065,nowcast_monthly_by_year,2023
12.0,0.4602750211772098,1.186208856928612,1.5015892281196488,0.5655714296965393,nowcast_monthly_by_year,2024
12.0,-0.11098632204695669,0.24562048074095463,0.32592207482071683,0.6294113557394113,nowcast_monthly_by_year,2025
