train_window,forecast_year,calendar_year,month,information_date,target_quarter_end,months_before_quarter_end,latest_released_monthly_period,latest_released_gdp_quarter_end,bridge_gdp_raw,actual_gdp_raw,bridge_nowcast_error_raw,bridge_abs_error_raw,bridge_squared_error_raw,model_loading_gdp_raw,macro_S_target_nowcast,real_S_target_nowcast,nominal_S_target_nowcast
200501_201412,2015,2015,2015-01,2015-01-31,2015-03,2,2015-01,2015-01,7.547790471147268,7.1,0.4477904711472682,0.4477904711472682,0.2005163060502924,7.547790471147268,-160.63474506357352,144.24208113090495,-23.84834578000076
200501_201412,2015,2015,2015-02,2015-02-28,2015-03,1,2015-02,2015-01,7.381937853214264,7.1,0.2819378532142647,0.2819378532142647,0.0794889530750682,7.381937853214264,-322.309214648378,140.40231470940725,-33.12971015983608
200501_201412,2015,2015,2015-03,2015-03-31,2015-03,0,2015-03,2015-01,6.42555090379404,7.1,-0.6744490962059597,0.6744490962059597,0.4548815833730359,6.42555090379404,-243.61862431962788,207.6840915581162,-30.115022160539
200501_201412,2015,2015,2015-04,2015-04-30,2015-06,2,2015-04,2015-04,6.610409572456376,7.1,-0.4895904275436233,0.4895904275436233,0.2396987867423479,6.610409572456376,-223.3302407396875,197.81920071591543,-24.935261207655657
200501_201412,2015,2015,2015-05,2015-05-31,2015-06,1,2015-05,2015-04,5.871880294446598,7.1,-1.228119705553402,1.228119705553402,1.5082780111685743,5.871880294446598,-199.1211829198446,246.54120700484083,-30.129795392413
200501_201412,2015,2015,2015-06,2015-06-30,2015-06,0,2015-06,2015-04,5.649333362963528,7.1,-1.4506666370364716,1.4506666370364716,2.104433691810706,5.649333362963528,-250.1814914635183,256.06133626596704,-30.37027646129101
200501_201412,2015,2015,2015-07,2015-07-31,2015-09,2,2015-07,2015-07,6.83524278204073,7.0,-0.16475721795927,0.16475721795927,0.0271449408696784,6.83524278204073,-133.2248795956532,191.6084898989268,-25.698067079451448
200501_201412,2015,2015,2015-08,2015-08-31,2015-09,1,2015-08,2015-07,6.324540411692739,7.0,-0.6754595883072607,0.6754595883072607,0.4562456554362141,6.324540411692739,-124.17735180497516,224.61988294333884,-31.397305946355655
200501_201412,2015,2015,2015-09,2015-09-30,2015-09,0,2015-09,2015-07,5.674320405924608,7.0,-1.3256795940753916,1.3256795940753916,1.7574263861478951,5.674320405924608,-135.26878349017846,264.6496252033757,-31.61208574880488
200501_201412,2015,2015,2015-10,2015-10-31,2015-12,2,2015-10,2015-10,6.716539123458661,6.9,-0.1834608765413392,0.1834608765413392,0.0336578932213165,6.716539123458661,-168.31417305072796,195.99166664903865,-24.57165034155165
