"window_label","train_start","train_end","result_status","notebook_exists","train_metrics_exists","em_meta_exists","qn_meta_exists","n_months","n_model_cols","mean_error_raw","mae_raw","rmse_raw","corr_raw","em_final_loglike","em_loglike_per_month","em_iterations","em_runtime_seconds","em_min_h","qn_start_loglike","qn_best_loglike","qn_loglike_per_month","qn_improvement","qn_iterations","qn_runtime_seconds","qn_success","qn_message","qn_stop_reason","factor_ar_order"
"2005-2014","2005-01","2014-12","complete","True","True","True","True",,"10",,,,,"12.9182203873784",,"140","8.2018416999781","0.005","12.9182203873772","56.3451654800869",,"43.4269450927097","487","0.0374676999927033","True","loaded_from_cache","loaded_from_cache","6"
"2006-2015","2006-01","2015-12","complete","True","True","True","True",,"10",,,,,"135.756306047914",,"272","42.5715694999963","0.005","135.756306047914","150.550725890746",,"14.794419842832","54","48.3760373000114","True","Stopped by QN Aitken gap 9.707e-06 < 1e-05.","aitken_relative_gap","6"
"2007-2016",,,"missing_train_metrics;missing_em_meta;missing_qn_meta","True","False","False","False",,,,,,,,,,,,,,,,,,,,,
"2008-2017","2008-01","2017-12","complete","True","True","True","True",,"11",,,,,"58.9970999131851",,"781","160.993996300007","0.005","58.9970999131851","59.0896939593801",,"0.0925940461949679","10","10.2291773000034","True","Stopped by QN Aitken gap 5.292e-06 < 1e-05.","aitken_relative_gap","6"
"2009-2018","2009-01","2018-12","complete","True","True","True","True",,"11",,,,,"-63.768617207515",,"94","7.7633137999801","0.005","-63.768617207515","-29.3869474865602",,"34.3816697209547","113","57.552374699997","True","Stopped by QN Aitken gap 1.658e-06 < 1e-05.","aitken_relative_gap","6"
"2010-2019","2010-01","2019-12","complete","True","True","True","True",,"11",,,,,"147.375886363334",,"1146","180.108510799997","0.005","147.375886363333","149.684915232397",,"2.30902886906432","10","0.0457136000040919","True","loaded_from_cache","loaded_from_cache","6"
"2011-2020","2011-01","2020-12","complete","True","True","True","True",,"11",,,,,"-94.4474892783603",,"65","5.86641710001277","0.005","-94.4474892783599","-63.9744700768599",,"30.4730192015","145","109.265138999996","True","Stopped by QN Aitken gap 6.177e-06 < 1e-05.","aitken_relative_gap","6"
"2012-2021","2012-01","2021-12","complete","True","True","True","True",,"12",,,,,"-183.250561465768",,"156","10.683949600003","0.005","-183.250561465768","-144.756421402703",,"38.4941400630655","179","62.7869649000058","True","Stopped by QN Aitken gap 2.160e-06 < 1e-05.","aitken_relative_gap","6"
"2013-2022","2013-01","2022-12","complete","True","True","True","True",,"12",,,,,"-46.7839474954393",,"232","20.737561499991","0.005","-46.7839474954393","-46.6976103707791",,"0.0863371246601332","6","4.74035400000867","True","Stopped by QN Aitken gap 1.512e-06 < 1e-05.","aitken_relative_gap","6"
"2014-2023","2014-01","2023-12","complete","True","True","True","True",,"12",,,,,"-151.751154243827",,"104","5.90540819999296","0.005","-151.751154243827","-76.8038627701428",,"74.947291473684","335","103.682380599988","True","Stopped by QN Aitken gap 8.685e-06 < 1e-05.","aitken_relative_gap","6"
"2015-2024",,,"missing_train_metrics;missing_em_meta;missing_qn_meta","True","False","False","False",,,,,,,,,,,,,,,,,,,,,
