variable,train_start,train_end,n_months,first_obs_in_window,last_obs_in_window,n_obs_in_window,missing_rate_in_window,coverage_rate_in_window,coverage_status,keep_for_training_window
GDP同比,2013-01,2022-12,120,2013-03,2022-12,40,0.6666666666666666,0.3333333333333333,后半段或少量参与,True
制造业PMI,2013-01,2022-12,120,2013-01,2022-12,120,0.0,1.0,基本完整参与,True
制造业PMI一阶差分,2013-01,2022-12,120,2013-01,2022-12,120,0.0,1.0,基本完整参与,True
服务业PMI,2013-01,2022-12,120,2013-01,2022-12,120,0.0,1.0,基本完整参与,True
服务业PMI一阶差分,2013-01,2022-12,120,2013-01,2022-12,120,0.0,1.0,基本完整参与,True
工业增加值,2013-01,2022-12,120,2013-01,2022-12,120,0.0,1.0,基本完整参与,True
用电量,2013-01,2022-12,120,2013-02,2022-12,111,0.075,0.925,基本完整参与,True
社零,2013-01,2022-12,120,2013-02,2022-12,110,0.08333333333333333,0.9166666666666666,基本完整参与,True
固投累计同比,2013-01,2022-12,120,2013-02,2022-12,110,0.08333333333333333,0.9166666666666666,基本完整参与,True
固投当月同比,2013-01,2022-12,120,2013-03,2022-12,109,0.09166666666666666,0.9083333333333333,基本完整参与,True
CPI,2013-01,2022-12,120,2013-01,2022-12,120,0.0,1.0,基本完整参与,True
PPI,2013-01,2022-12,120,2013-01,2022-12,120,0.0,1.0,基本完整参与,True
失业率差分,2013-01,2022-12,120,2018-02,2022-12,59,0.5083333333333333,0.49166666666666664,后半段或少量参与,True
逆回购7天(19日),2013-01,2022-12,120,2013-01,2022-12,120,0.0,1.0,基本完整参与,True
银行间7天回购(20-19均值),2013-01,2022-12,120,2013-01,2022-12,120,0.0,1.0,基本完整参与,True
