variable,first_obs,last_obs,n_obs_full_sample,missing_rate_full_sample
GDP同比,1992-03,2026-03,137,0.7535971223021583
制造业PMI,2005-01,2026-04,256,0.539568345323741
制造业PMI一阶差分,2005-02,2026-04,255,0.5413669064748201
服务业PMI,2012-02,2026-04,171,0.6924460431654677
服务业PMI一阶差分,2012-03,2026-04,170,0.6942446043165468
工业增加值,1990-01,2026-03,435,0.21762589928057555
用电量,2009-07,2026-03,180,0.6762589928057554
社零,1992-02,2026-03,394,0.29136690647482016
固投累计同比,1992-02,2026-03,373,0.329136690647482
固投当月同比,1993-03,2026-03,363,0.3471223021582734
CPI,1987-01,2026-03,471,0.1528776978417266
PPI,1996-10,2026-03,354,0.36330935251798563
失业率差分,2018-02,2026-03,98,0.8237410071942446
逆回购7天(19日),1999-11,2026-04,318,0.42805755395683454
银行间7天回购(20-19均值),1999-01,2026-04,328,0.41007194244604317
