month,sample,information_date,release_calendar_mode,target_quarter_end,target_gdp_release_date,target_gdp_released_by_information_date,monthly_release_lag_days,gdp_release_lag_days,latest_released_monthly_period,latest_released_gdp_quarter_end,is_information_month_quarter_end,months_before_quarter_end,model_loading_gdp_std,model_loading_gdp_raw,actual_gdp_raw,actual_gdp_std,macro_S_target_nowcast,real_S_target_nowcast,nominal_S_target_nowcast,nowcast_gdp_std,nowcast_gdp_raw,nowcast_error_raw,abs_error_raw,squared_error_raw
2011-01,train_diagnostics,2011-01-19,monthly_19th_information_set,2011-03,2011-04-19,False,19,19,2011-01,2011-01,False,2,2.909760051154982,10.723509654211936,10.1,2.421578022199667,18.317254308192133,3.988891865457731,6.636684927934444,2.909760051154982,10.723509654211936,0.6235096542119365,0.6235096542119365,0.38876428889548864
2011-02,train_diagnostics,2011-02-19,monthly_19th_information_set,2011-03,2011-04-19,False,19,19,2011-02,2011-01,False,1,2.9812270669683403,10.814787848972,10.1,2.421578022199667,18.248580501353793,-3.423658585555586,6.655593876666107,2.9812270669683403,10.814787848972,0.7147878489719997,0.7147878489719997,0.5109216690380182
2011-03,train_diagnostics,2011-03-19,monthly_19th_information_set,2011-03,2011-04-19,False,19,19,2011-03,2011-01,True,0,2.2116997587100022,9.83194194842633,10.1,2.421578022199667,17.682404421757003,57.48190873782396,6.801469049369326,2.2116997587100022,9.83194194842633,-0.2680580515736697,0.2680580515736697,0.07185511901347216
2011-04,train_diagnostics,2011-04-19,monthly_19th_information_set,2011-06,2011-07-19,False,19,19,2011-04,2011-04,False,2,1.434599647952381,8.839424009199009,9.9,2.264986371803384,12.198536851711209,47.843423324703025,11.130996929166193,1.434599647952381,8.839424009199009,-1.0605759908009915,1.0605759908009915,1.1248214322635048
2011-05,train_diagnostics,2011-05-19,monthly_19th_information_set,2011-06,2011-07-19,False,19,19,2011-05,2011-04,False,1,1.4195817919013747,8.820243093724907,9.9,2.264986371803384,13.297307057385739,65.10582104166298,10.654022284572301,1.4195817919013747,8.820243093724907,-1.0797569062750938,1.0797569062750938,1.1658749766487617
2011-06,train_diagnostics,2011-06-19,monthly_19th_information_set,2011-06,2011-07-19,False,19,19,2011-06,2011-04,True,0,1.760284055038698,9.255390513494882,9.9,2.264986371803384,15.069261259513219,60.173476765412296,11.70620200100513,1.760284055038698,9.255390513494882,-0.644609486505118,0.644609486505118,0.41552139009239186
2011-07,train_diagnostics,2011-07-19,monthly_19th_information_set,2011-09,2011-10-19,False,19,19,2011-07,2011-07,False,2,1.5331923182985696,8.965347288118009,9.3,1.7952114206145344,10.53668573304533,14.920544876868632,13.902459247996262,1.5331923182985696,8.965347288118009,-0.33465271188199175,0.33465271188199175,0.11199243756997138
2011-08,train_diagnostics,2011-08-19,monthly_19th_information_set,2011-09,2011-10-19,False,19,19,2011-08,2011-07,False,1,1.4115522205726296,8.809987666556951,9.3,1.7952114206145344,8.732571328059613,-0.2852692798804952,15.888945361720376,1.4115522205726296,8.809987666556951,-0.4900123334430493,0.4900123334430493,0.24011208692630212
2011-09,train_diagnostics,2011-09-19,monthly_19th_information_set,2011-09,2011-10-19,False,19,19,2011-09,2011-07,True,0,1.4141182912352122,8.81326507075582,9.3,1.7952114206145344,8.91983640735489,2.196495908332311,16.151591197040318,1.4141182912352122,8.81326507075582,-0.4867349292441805,0.4867349292441805,0.2369108913463374
2011-10,train_diagnostics,2011-10-19,monthly_19th_information_set,2011-12,2012-01-19,False,19,19,2011-10,2011-10,False,2,1.4749272006502028,8.890930654152001,8.7,1.3254364694256833,9.332921230159231,2.7184985371326746,12.945322209787514,1.4749272006502028,8.890930654152001,0.19093065415200172,0.19093065415200172,0.036454514694911296
2011-11,train_diagnostics,2011-11-19,monthly_19th_information_set,2011-12,2012-01-19,False,19,19,2011-11,2011-10,False,1,1.4579937489781394,8.869303125954668,8.7,1.3254364694256833,8.219614253075113,-11.885124961709632,11.811522448493676,1.4579937489781394,8.869303125954668,0.16930312595466823,0.16930312595466823,0.028663548458022256
2011-12,train_diagnostics,2011-12-19,monthly_19th_information_set,2011-12,2012-01-19,False,19,19,2011-12,2011-10,True,0,1.3105620149080064,8.681002238012008,8.7,1.3254364694256833,5.061160700199569,-44.390000705670715,9.343653650985543,1.3105620149080064,8.681002238012008,-0.018997761987991524,0.018997761987991524,0.00036091496055237564
2012-01,train_diagnostics,2012-01-19,monthly_19th_information_set,2012-03,2012-04-19,False,19,19,2012-01,2012-01,False,2,1.1911181735180396,8.528447691089879,8.1,0.8556615182368337,5.691517941225716,-24.534005135878516,3.6854110059370306,1.1911181735180396,8.528447691089879,0.4284476910898789,0.4284476910898789,0.1835674240002483
2012-02,train_diagnostics,2012-02-19,monthly_19th_information_set,2012-03,2012-04-19,False,19,19,2012-02,2012-01,False,1,1.1563675695949869,8.484063965859178,8.1,0.8556615182368337,5.875176799950039,-18.75333148376737,7.012897862626976,1.1563675695949869,8.484063965859178,0.3840639658591787,0.3840639658591787,0.14750512987148037
2012-03,train_diagnostics,2012-03-19,monthly_19th_information_set,2012-03,2012-04-19,False,19,19,2012-03,2012-01,True,0,1.5215318643232212,8.950454471105301,8.1,0.8556615182368337,9.67458157297548,3.4816228655365897,3.9873750196156936,1.5215318643232212,8.950454471105301,0.8504544711053015,0.8504544711053015,0.723272807422998
