month,sample,information_date,target_quarter_end,target_gdp_release_date,target_gdp_released_by_information_date,monthly_release_lag_days,gdp_release_lag_days,latest_released_monthly_period,latest_released_gdp_quarter_end,is_information_month_quarter_end,months_before_quarter_end,model_loading_gdp_raw,nowcast_gdp_raw,actual_gdp_raw,nowcast_error_raw,abs_error_raw,squared_error_raw,macro_S_target_nowcast,real_S_target_nowcast,nominal_S_target_nowcast
2021-01,post_train_1y,2021-01-19,2021-03,2021-04-19,False,19,19,2021-01,2021-01,False,2,5.571736738572828,5.571736738572828,18.9,-13.328263261427171,13.328263261427171,177.64260156590925,-3.04458659288182,56.830459224171136,-10.348925891282137
2021-02,post_train_1y,2021-02-19,2021-03,2021-04-19,False,19,19,2021-02,2021-01,False,1,6.970858023112768,6.970858023112768,18.9,-11.92914197688723,11.92914197688723,142.30442830473297,2.4552485595646942,38.11120732086579,-13.068187903405256
2021-03,post_train_1y,2021-03-19,2021-03,2021-04-19,False,19,19,2021-03,2021-01,True,0,12.54645380974586,12.54645380974586,18.9,-6.353546190254139,6.353546190254139,40.36754919169289,23.839132968814372,-44.21083353400395,-16.29380618639696
2021-04,post_train_1y,2021-04-19,2021-06,2021-07-19,False,19,19,2021-04,2021-04,False,2,11.34005877442308,11.34005877442308,8.1,3.2400587744230798,3.2400587744230798,10.49798086171599,19.600357482364146,-20.778273733739567,-12.315577168253657
2021-05,post_train_1y,2021-05-19,2021-06,2021-07-19,False,19,19,2021-05,2021-04,False,1,7.12917406512125,7.12917406512125,8.1,-0.97082593487875,0.97082593487875,0.942502995833199,2.0302709551146467,20.824673617843736,-8.449700818675323
2021-06,post_train_1y,2021-06-19,2021-06,2021-07-19,False,19,19,2021-06,2021-04,True,0,7.7772827293978315,7.7772827293978315,8.1,-0.32271727060216815,0.32271727060216815,0.10414643674491303,4.871369526187511,16.40332347257801,-6.922032497994099
2021-07,post_train_1y,2021-07-19,2021-09,2021-10-19,False,19,19,2021-07,2021-07,False,2,8.35919865339825,8.35919865339825,5.5,2.8591986533982503,2.8591986533982503,8.175016939594368,5.857270293884428,-10.233174975115233,-3.965982515375205
2021-08,post_train_1y,2021-08-19,2021-09,2021-10-19,False,19,19,2021-08,2021-07,False,1,7.278304263234621,7.278304263234621,5.5,1.778304263234621,1.778304263234621,3.1623660526384287,0.6121658639713605,-10.19969187240919,-5.486149068713035
2021-09,post_train_1y,2021-09-19,2021-09,2021-10-19,False,19,19,2021-09,2021-07,True,0,5.41378349446499,5.41378349446499,5.5,-0.0862165055350097,0.0862165055350097,0.007433285826668358,-7.429170052392014,4.433452122349001,-6.220260866811804
2021-10,post_train_1y,2021-10-19,2021-12,2022-01-19,False,19,19,2021-10,2021-10,False,2,5.863949222688838,5.863949222688838,4.5,1.363949222688838,1.363949222688838,1.8603574820734852,-6.069166431002116,-7.521235486067514,-5.595298393672392
2021-11,post_train_1y,2021-11-19,2021-12,2022-01-19,False,19,19,2021-11,2021-10,False,1,5.749751944733016,5.749751944733016,4.5,1.249751944733016,1.249751944733016,1.5618799233639558,-8.065312913400678,-28.40249360474502,-3.012720952204549
2021-12,post_train_1y,2021-12-19,2021-12,2022-01-19,False,19,19,2021-12,2021-10,True,0,5.1904009385735534,5.1904009385735534,4.5,0.6904009385735534,0.6904009385735534,0.47665345598324355,-9.971832510272083,-16.68611874504566,-0.6174871861294471
