variable,first_obs_in_train,last_obs_in_train,n_obs,missing_rate,mean,std,min,p05,median,p95,max,outlier_abs_z_gt_3
GDP同比,2006-03,2015-12,40,0.6666666666666666,9.622499999999999,2.4136577532864925,6.4,6.995,9.0,13.915,14.9,0
制造业PMI,2006-01,2015-12,120,0.0,51.986666666666665,2.962232641475383,38.8,48.97,51.4,56.125,59.2,2
制造业PMI一阶差分,2006-01,2015-12,120,0.0,-0.03833333333333329,1.8119135066430616,-6.600000000000001,-2.9199999999999986,0.0,3.105000000000001,5.0,3
服务业PMI,2012-02,2015-12,47,0.6083333333333333,53.50212765957448,1.202743205237754,51.5,52.3,53.2,55.73,57.4,1
服务业PMI一阶差分,2012-03,2015-12,46,0.6166666666666667,-0.04999999999999994,1.059686171754966,-2.5,-1.9000000000000004,0.1000000000000014,1.6999999999999975,2.299999999999997,0
工业增加值,2006-01,2015-12,120,0.0,12.221499999999999,4.8878604129687115,-2.93,5.6,12.6,19.209999999999997,29.2,2
用电量,2009-07,2015-12,67,0.44166666666666665,7.433053567164179,6.981360446283792,-12.49,-1.9541454999999996,6.78,20.965846799999998,27.63,0
社零,2006-01,2015-12,117,0.025,15.39344317094017,3.363187365542018,9.4,10.6977504,14.9,22.0,23.3,0
固投累计同比,2006-02,2015-12,110,0.08333333333333333,23.180000000000003,5.784867406353486,10.0,11.29,24.9,32.54,33.6,0
固投当月同比,2006-02,2015-12,109,0.09166666666666666,24.094657663247077,12.523851594192633,-23.798693619759177,2.1748382376152944,25.36803795896063,41.77131331761364,52.98798963144027,2
CPI,2006-01,2015-12,120,0.0,2.8885566666666667,2.2276037269426734,-1.8,-1.2,2.43865,6.91,8.7,0
PPI,2006-01,2015-12,120,0.0,0.8459774999999999,4.677098295835829,-8.2,-6.03,1.21,7.9585,10.06,0
逆回购7天(19日),2006-01,2015-12,120,0.0,3.6713633333333338,0.36166030238639985,2.25,3.26,3.7561,4.1,4.1,6
银行间7天回购(20-19均值),2006-01,2015-12,120,0.0,2.919039193279129,1.1000562306274162,0.9331612903225807,1.2407322150537634,2.9278033251231523,4.859958064516129,6.2365200000000005,1
