variable,lower_q,upper_q,threshold_months,apply_months,february_policy,lower_bound,upper_bound,n_obs_total,n_obs_threshold_months,n_obs_apply_months,n_lower_clipped,n_upper_clipped,n_total_clipped
制造业PMI,0.01,0.99,3-12,3-12,not_winsorized_because_1_2_month_combined,41.176,58.606,120,100,100,1,1,2
制造业PMI一阶差分,0.01,0.99,3-12,3-12,not_winsorized_because_1_2_month_combined,-5.907000000000005,3.9110000000000045,119,100,100,1,1,2
服务业PMI,0.01,0.99,3-12,3-12,not_winsorized_because_1_2_month_combined,52.358,57.11,35,30,30,1,1,2
服务业PMI一阶差分,0.01,0.99,3-12,3-12,not_winsorized_because_1_2_month_combined,-2.4709999999999996,2.0130000000000003,34,30,30,1,1,2
工业增加值,0.01,0.99,3-12,3-12,not_winsorized_because_1_2_month_combined,5.697,19.401,120,100,100,1,1,2
用电量,0.01,0.99,3-12,3-12,not_winsorized_because_1_2_month_combined,0.2250000000000001,25.354999999999997,56,51,51,1,1,2
社零,0.01,0.99,3-12,3-12,not_winsorized_because_1_2_month_combined,11.56713466,23.201,118,100,100,1,1,2
固投累计同比,0.01,0.99,3-12,3-12,not_winsorized_because_1_2_month_combined,15.799000000000001,33.303,110,100,100,1,1,2
固投当月同比,0.01,0.99,3-12,3-12,not_winsorized_because_1_2_month_combined,-3.339964752683169,50.35075006188394,109,100,100,1,1,2
CPI,0.01,0.99,3-12,3-12,not_winsorized_because_1_2_month_combined,-1.701,8.302000000000001,120,100,100,1,1,2
PPI,0.01,0.99,3-12,3-12,not_winsorized_because_1_2_month_combined,-7.8634,10.030299999999999,120,100,100,1,1,2
逆回购7天(19日),0.01,0.99,3-12,3-12,not_winsorized_because_1_2_month_combined,3.3,4.1,120,100,100,0,0,0
银行间7天回购(20-19均值),0.01,0.99,3-12,3-12,not_winsorized_because_1_2_month_combined,0.9508361559139784,5.390073300000004,120,100,100,1,1,2
