month,GDP同比,制造业PMI,制造业PMI一阶差分,服务业PMI,服务业PMI一阶差分,工业增加值,用电量,社零,固投累计同比,固投当月同比,CPI,PPI,逆回购7天(19日),银行间7天回购(20-19均值)
2006-01,,52.1,-2.199999999999996,,,12.6,,15.5,,,1.9,3.05,3.7561,1.493067741935484
2006-02,,52.1,0.0,,,20.1,,9.4,26.6,25.3997129173003,0.9,3.01,3.7561,1.7082580645161294
2006-03,12.4,55.3,3.199999999999996,,,17.8,,13.5,29.8,31.14083366217364,0.8,2.49,3.7561,1.3861428571428571
2006-04,,58.1,2.8000000000000043,,,16.6,,13.554756,29.6,28.25326434094697,1.2,1.87,3.7561,1.5805645161290323
2006-05,,54.8,-3.3000000000000043,,,17.9,,14.2,30.3,30.61048528004357,1.4,2.43,3.7561,1.7795066666666666
2006-06,13.6,54.1,-0.6999999999999957,,,19.401,,13.9,31.3,32.46003724683786,1.5,3.52,3.7561,1.7819806451612903
2006-07,,52.4,-1.7000000000000028,,,16.7,,13.7,30.5,25.97388968180671,1.0,3.58,3.7561,2.07187
2006-08,,53.1,0.7000000000000028,,,15.7,,13.8,29.1,20.09460003009029,1.3,3.4,3.7561,2.593903225806452
2006-09,12.2,57.0,3.899999999999999,,,16.1,,13.9,28.2,22.34174155105206,1.5,3.5,3.7561,2.1855322580645162
2006-10,,54.7,-2.299999999999997,,,14.7,,14.348977,26.8,16.16550577749784,1.4,2.9,3.7561,2.2781766666666665
2006-11,,55.3,0.5999999999999943,,,14.9,,14.1,26.6,23.75353688470267,1.9,2.78,3.7561,2.8131612903225807
2006-12,12.5,54.8,-0.5,,,14.7,,14.6,24.3,19.63084087278217,2.8,3.1,3.7561,2.6644300000000007
2007-01,,55.1,0.3000000000000042,,,24.71,,12.748329,,,2.2,3.3,3.7561,1.679232258064516
2007-02,,53.1,-2.0,,,12.6,,16.857995,23.4,23.4394892427419,2.7,2.6,3.7561,2.4272645161290316
2007-03,13.6,56.1,3.0,,,17.6,,15.338037,25.3,26.83274472229702,3.3,2.7,3.7561,1.67045
2007-04,,58.6,2.5,,,17.4,,15.5,25.5,25.847628515958387,3.0,2.9,3.7561,2.232435483870968
