variable,month_of_year,count,mean,std
GDP同比,1,0,,
GDP同比,2,0,,
GDP同比,3,10,9.7,2.5901522906749888
GDP同比,4,0,,
GDP同比,5,0,,
GDP同比,6,10,9.84,2.712194683277733
GDP同比,7,0,,
GDP同比,8,0,,
GDP同比,9,10,9.540000000000001,2.319578505773073
GDP同比,10,0,,
GDP同比,11,0,,
GDP同比,12,10,9.41,2.5159270436339947
制造业PMI,1,10,51.54,2.9915436372102846
制造业PMI,2,10,51.3,1.4749764593225048
制造业PMI,3,10,53.510000000000005,2.718435007295353
制造业PMI,4,10,54.180600000000005,3.3900028253020005
制造业PMI,5,10,52.5,1.9499287736279574
制造业PMI,6,10,51.83,1.6371044899795186
制造业PMI,7,10,51.14,1.5643244903507412
制造业PMI,8,10,51.31,1.933591936727544
制造业PMI,9,10,52.54,2.582074962333801
制造业PMI,10,10,51.5,3.1790984046843653
制造业PMI,11,10,51.317600000000006,4.414650840603867
制造业PMI,12,10,51.35,4.354627168630831
制造业PMI一阶差分,1,10,-0.2700000000000003,1.775168223640288
制造业PMI一阶差分,2,10,-0.23999999999999844,1.9044976007102534
制造业PMI一阶差分,3,10,2.1010999999999993,1.4181250885118244
制造业PMI一阶差分,4,10,0.7300000000000011,1.1235360845710898
制造业PMI一阶差分,5,10,-1.7400000000000013,2.018360170479437
制造业PMI一阶差分,6,10,-0.6699999999999982,0.6799509786251755
制造业PMI一阶差分,7,10,-0.6900000000000013,1.245837513928326
制造业PMI一阶差分,8,10,0.17000000000000098,0.5982381539896046
制造业PMI一阶差分,9,10,1.229999999999999,1.3864823595463935
制造业PMI一阶差分,10,10,-0.9706999999999996,2.1543254706133292
制造业PMI一阶差分,11,10,-0.42000000000000093,2.1012165788207344
制造业PMI一阶差分,12,10,0.2700000000000003,1.0975224624378117
服务业PMI,1,3,53.1,1.7088007490635075
服务业PMI,2,4,54.15,1.258305739211788
服务业PMI,3,4,54.0025,2.1134549123808326
服务业PMI,4,4,53.325,1.2038133853162911
服务业PMI,5,4,53.27925,1.239323303258678
服务业PMI,6,4,53.7,1.8708286933869693
服务业PMI,7,4,53.35,0.7187952884282636
服务业PMI,8,4,53.45,1.2069244660154441
服务业PMI,9,4,53.0,0.6377042156569653
服务业PMI,10,4,53.525,1.2579745625409104
服务业PMI,11,4,53.425,0.8421203397773236
服务业PMI,12,4,53.55,0.9146948489341513
服务业PMI一阶差分,1,3,-0.40000000000000097,0.5999999999999979
服务业PMI一阶差分,2,3,0.43333333333333474,1.8036999011291546
服务业PMI一阶差分,3,4,-0.05000000000000249,1.1328430311977626
服务业PMI一阶差分,4,4,-0.7749999999999986,1.3768926368215253
服务业PMI一阶差分,5,4,-0.07500000000000107,0.7455423082115021
服务业PMI一阶差分,6,4,0.4207500000000006,1.1852097915559077
服务业PMI一阶差分,7,4,-0.34999999999999964,1.1561430130683081
服务业PMI一阶差分,8,4,0.10000000000000142,0.5477225575051661
服务业PMI一阶差分,9,4,-0.4402500000000009,1.6942294954737775
服务业PMI一阶差分,10,4,0.5249999999999986,1.0719919153923996
服务业PMI一阶差分,11,4,-0.09999999999999787,0.49665548085837596
服务业PMI一阶差分,12,4,0.125,1.161536338935063
工业增加值,1,10,13.088,9.52891249478834
工业增加值,2,10,12.27,6.23770791236653
工业增加值,3,10,12.959999999999999,4.818759637546207
工业增加值,4,10,12.14,4.523813533832809
工业增加值,5,10,12.440000000000001,4.425732833227861
工业增加值,6,10,12.870099999999999,4.507944356602266
工业增加值,7,10,12.15,3.810584673715513
工业增加值,8,10,11.8,3.6986484017813868
工业增加值,9,10,12.05,3.944968666260579
工业增加值,10,10,11.639999999999999,3.9833542537804876
工业增加值,11,10,11.6198,4.643036405916571
工业增加值,12,10,11.64,4.499185111402581
用电量,1,0,,
用电量,2,6,7.367716833333333,13.743729895086709
用电量,3,6,8.072355100000001,8.256199434484166
用电量,4,6,8.454531,7.909357511439598
用电量,5,6,8.116777166666667,6.880689055257138
用电量,6,6,7.551650333333334,4.938546214525795
用电量,7,7,6.680031,5.267067538119701
用电量,8,7,7.094785571428572,6.043859587922601
用电量,9,7,6.698172857142858,4.772960426802616
