variable,overall_std,monthly_mean_std,monthly_mean_range,seasonality_strength,min_month_count,max_month_count
GDP同比,2.4136577532864925,0.16223054582907592,0.4299999999999997,0.06721356646698524,0,10
制造业PMI,2.8689689436663866,0.9425611614402315,3.040600000000005,0.32853655091703066,10,10
制造业PMI一阶差分,1.7690877354036336,0.989241278567682,3.841100000000001,0.5591815819931494,10,10
服务业PMI,1.1738475762152896,0.32098828712080696,1.1499999999999986,0.27344971666230716,3,4
服务业PMI一阶差分,1.0526971336516913,0.37996664210513836,1.2999999999999972,0.3609458313874909,3,4
工业增加值,4.884369625247629,0.5020067382100892,1.4681999999999995,0.1027782040931512,10,10
用电量,6.870145915305915,1.9897685950990838,7.454439999999999,0.2896253761752138,0,7
社零,3.3594959717358246,0.533640299323343,2.2281675142857136,0.15884534579382614,7,10
固投累计同比,5.775996225681844,0.4607798942109897,1.6905000000000001,0.07977496456147626,0,10
固投当月同比,12.312906167159262,6.169462210670507,18.325652191059916,0.5010565439965403,0,10
CPI,2.2217948098696896,0.04853820245149399,0.15178999999999965,0.021846392941362935,10,10
PPI,4.671282967980175,0.3019060300684084,0.93426,0.06463021661026673,10,10
逆回购7天(19日),0.36166030238639985,0.05972024521792332,0.20061000000000062,0.16512800775717398,10,10
银行间7天回购(20-19均值),1.081311755879689,0.20832639038496906,0.7044234697849467,0.1926608022637167,10,10
