variable,n_obs,std_raw,rolling_12m_std_mean,rolling_12m_std_max,max_abs_monthly_change,outlier_abs_z_gt_3
GDP同比,40,2.4136577532864925,,,,0
制造业PMI,120,2.8689689436663866,1.7082561202363284,5.899467246106135,6.600000000000001,2
制造业PMI一阶差分,120,1.7690877354036336,1.5543753303603451,4.001269896905082,8.70700000000001,3
服务业PMI,47,1.1738475762152896,0.858846779915719,1.3906877794817905,2.5,0
服务业PMI一阶差分,46,1.0526971336516913,1.082013085596635,1.9115008874853132,4.260999999999997,0
工业增加值,120,4.884369625247629,2.8640884169657124,6.170973107291022,18.5,2
用电量,67,6.870145915305915,4.7912111469468375,7.270426919171094,15.889999999999999,0
社零,117,3.3594959717358246,1.5698986038107645,4.119004744271768,8.266478000000001,0
固投累计同比,110,5.775996225681844,1.4278955412351073,3.4958156805997604,3.1999999999999993,0
固投当月同比,109,12.312906167159262,9.158814423429932,23.051771993359274,69.69358238038498,2
CPI,120,2.2217948098696896,1.0521922419699405,3.3731668916298645,2.6,0
PPI,120,4.671282967980175,1.9654262475042608,7.11320059178814,4.6,0
逆回购7天(19日),120,0.36166030238639985,0.09045725236912322,0.7134529777884129,0.8500000000000001,6
银行间7天回购(20-19均值),120,1.081311755879689,0.6303303568537773,1.223843103279927,2.092268709677419,0
