source_variable,adjusted_variable,month_of_year,method,baseline_month,month_dummy_coef,regression_note
制造业PMI,制造业PMI_去季节性,1,regression_month_dummy_coef_after_trend_ar1,1,0.0,trend + AR(1) + month dummies; subtract month-dummy component only
制造业PMI,制造业PMI_去季节性,2,regression_month_dummy_coef_after_trend_ar1,1,-0.2215840646849827,trend + AR(1) + month dummies; subtract month-dummy component only
制造业PMI,制造业PMI_去季节性,3,regression_month_dummy_coef_after_trend_ar1,1,2.192556100548273,trend + AR(1) + month dummies; subtract month-dummy component only
制造业PMI,制造业PMI_去季节性,4,regression_month_dummy_coef_after_trend_ar1,1,1.0616608290341647,trend + AR(1) + month dummies; subtract month-dummy component only
制造业PMI,制造业PMI_去季节性,5,regression_month_dummy_coef_after_trend_ar1,1,-1.1602404868354883,trend + AR(1) + month dummies; subtract month-dummy component only
制造业PMI,制造业PMI_去季节性,6,regression_month_dummy_coef_after_trend_ar1,1,-0.4467866847946471,trend + AR(1) + month dummies; subtract month-dummy component only
制造业PMI,制造业PMI_去季节性,7,regression_month_dummy_coef_after_trend_ar1,1,-0.5806370347444678,trend + AR(1) + month dummies; subtract month-dummy component only
制造业PMI,制造业PMI_去季节性,8,regression_month_dummy_coef_after_trend_ar1,1,0.1618851494832984,trend + AR(1) + month dummies; subtract month-dummy component only
制造业PMI,制造业PMI_去季节性,9,regression_month_dummy_coef_after_trend_ar1,1,1.2603883640772438,trend + AR(1) + month dummies; subtract month-dummy component only
制造业PMI,制造业PMI_去季节性,10,regression_month_dummy_coef_after_trend_ar1,1,-0.7788527327379242,trend + AR(1) + month dummies; subtract month-dummy component only
制造业PMI,制造业PMI_去季节性,11,regression_month_dummy_coef_after_trend_ar1,1,-0.10221120040341258,trend + AR(1) + month dummies; subtract month-dummy component only
制造业PMI,制造业PMI_去季节性,12,regression_month_dummy_coef_after_trend_ar1,1,0.08717606639863273,trend + AR(1) + month dummies; subtract month-dummy component only
制造业PMI一阶差分,制造业PMI一阶差分_去季节性,1,regression_month_dummy_coef_after_trend_ar1,1,0.0,trend + AR(1) + month dummies; subtract month-dummy component only
制造业PMI一阶差分,制造业PMI一阶差分_去季节性,2,regression_month_dummy_coef_after_trend_ar1,1,-0.11701161441973827,trend + AR(1) + month dummies; subtract month-dummy component only
制造业PMI一阶差分,制造业PMI一阶差分_去季节性,3,regression_month_dummy_coef_after_trend_ar1,1,2.22079723191303,trend + AR(1) + month dummies; subtract month-dummy component only
制造业PMI一阶差分,制造业PMI一阶差分_去季节性,4,regression_month_dummy_coef_after_trend_ar1,1,0.5582762452524125,trend + AR(1) + month dummies; subtract month-dummy component only
制造业PMI一阶差分,制造业PMI一阶差分_去季节性,5,regression_month_dummy_coef_after_trend_ar1,1,-1.7403367426032863,trend + AR(1) + month dummies; subtract month-dummy component only
制造业PMI一阶差分,制造业PMI一阶差分_去季节性,6,regression_month_dummy_coef_after_trend_ar1,1,-0.3619474919247639,trend + AR(1) + month dummies; subtract month-dummy component only
制造业PMI一阶差分,制造业PMI一阶差分_去季节性,7,regression_month_dummy_coef_after_trend_ar1,1,-0.51489769379983,trend + AR(1) + month dummies; subtract month-dummy component only
制造业PMI一阶差分,制造业PMI一阶差分_去季节性,8,regression_month_dummy_coef_after_trend_ar1,1,0.34804476061985634,trend + AR(1) + month dummies; subtract month-dummy component only
制造业PMI一阶差分,制造业PMI一阶差分_去季节性,9,regression_month_dummy_coef_after_trend_ar1,1,1.3012757127098342,trend + AR(1) + month dummies; subtract month-dummy component only
制造业PMI一阶差分,制造业PMI一阶差分_去季节性,10,regression_month_dummy_coef_after_trend_ar1,1,-1.0311277675478447,trend + AR(1) + month dummies; subtract month-dummy component only
制造业PMI一阶差分,制造业PMI一阶差分_去季节性,11,regression_month_dummy_coef_after_trend_ar1,1,-0.20561273002545075,trend + AR(1) + month dummies; subtract month-dummy component only
制造业PMI一阶差分,制造业PMI一阶差分_去季节性,12,regression_month_dummy_coef_after_trend_ar1,1,0.4161793216901864,trend + AR(1) + month dummies; subtract month-dummy component only
固投累计同比,固投累计同比_去季节性,1,regression_month_dummy_coef_after_trend_ar1,2,0.0,trend + AR(1) + month dummies; subtract month-dummy component only
固投累计同比,固投累计同比_去季节性,2,regression_month_dummy_coef_after_trend_ar1,2,0.0,trend + AR(1) + month dummies; subtract month-dummy component only
固投累计同比,固投累计同比_去季节性,3,regression_month_dummy_coef_after_trend_ar1,2,1.8820469971587588,trend + AR(1) + month dummies; subtract month-dummy component only
固投累计同比,固投累计同比_去季节性,4,regression_month_dummy_coef_after_trend_ar1,2,1.1009597724531914,trend + AR(1) + month dummies; subtract month-dummy component only
固投累计同比,固投累计同比_去季节性,5,regression_month_dummy_coef_after_trend_ar1,2,1.4666184943144303,trend + AR(1) + month dummies; subtract month-dummy component only
固投累计同比,固投累计同比_去季节性,6,regression_month_dummy_coef_after_trend_ar1,2,1.5129123510348663,trend + AR(1) + month dummies; subtract month-dummy component only
固投累计同比,固投累计同比_去季节性,7,regression_month_dummy_coef_after_trend_ar1,2,1.0291760816059514,trend + AR(1) + month dummies; subtract month-dummy component only
固投累计同比,固投累计同比_去季节性,8,regression_month_dummy_coef_after_trend_ar1,2,1.0019682329811654,trend + AR(1) + month dummies; subtract month-dummy component only
固投累计同比,固投累计同比_去季节性,9,regression_month_dummy_coef_after_trend_ar1,2,1.0536077357304883,trend + AR(1) + month dummies; subtract month-dummy component only
固投累计同比,固投累计同比_去季节性,10,regression_month_dummy_coef_after_trend_ar1,2,1.0666826738769277,trend + AR(1) + month dummies; subtract month-dummy component only
固投累计同比,固投累计同比_去季节性,11,regression_month_dummy_coef_after_trend_ar1,2,1.0600446991027854,trend + AR(1) + month dummies; subtract month-dummy component only
固投累计同比,固投累计同比_去季节性,12,regression_month_dummy_coef_after_trend_ar1,2,0.5729196372492207,trend + AR(1) + month dummies; subtract month-dummy component only
固投当月同比,固投当月同比_去季节性,1,regression_month_dummy_coef_after_trend_ar1,2,0.0,trend + AR(1) + month dummies; subtract month-dummy component only
固投当月同比,固投当月同比_去季节性,2,regression_month_dummy_coef_after_trend_ar1,2,0.0,trend + AR(1) + month dummies; subtract month-dummy component only
固投当月同比,固投当月同比_去季节性,3,regression_month_dummy_coef_after_trend_ar1,2,18.196684260790825,trend + AR(1) + month dummies; subtract month-dummy component only
固投当月同比,固投当月同比_去季节性,4,regression_month_dummy_coef_after_trend_ar1,2,13.402347178686995,trend + AR(1) + month dummies; subtract month-dummy component only
固投当月同比,固投当月同比_去季节性,5,regression_month_dummy_coef_after_trend_ar1,2,18.629062206857714,trend + AR(1) + month dummies; subtract month-dummy component only
固投当月同比,固投当月同比_去季节性,6,regression_month_dummy_coef_after_trend_ar1,2,20.59156739298079,trend + AR(1) + month dummies; subtract month-dummy component only
固投当月同比,固投当月同比_去季节性,7,regression_month_dummy_coef_after_trend_ar1,2,4.968729629377778,trend + AR(1) + month dummies; subtract month-dummy component only
固投当月同比,固投当月同比_去季节性,8,regression_month_dummy_coef_after_trend_ar1,2,8.496414480720663,trend + AR(1) + month dummies; subtract month-dummy component only
固投当月同比,固投当月同比_去季节性,9,regression_month_dummy_coef_after_trend_ar1,2,13.921658523566759,trend + AR(1) + month dummies; subtract month-dummy component only
固投当月同比,固投当月同比_去季节性,10,regression_month_dummy_coef_after_trend_ar1,2,7.515758360007855,trend + AR(1) + month dummies; subtract month-dummy component only
