,制造业PMI_去季节性,制造业PMI一阶差分_去季节性,服务业PMI,服务业PMI一阶差分,工业增加值,用电量,社零,固投累计同比_去季节性,固投当月同比_去季节性,CPI,PPI,逆回购7天(19日),银行间7天回购(20-19均值)
制造业PMI_去季节性,1.0,0.23588810287091855,0.2646607128167189,0.04622353264907913,0.6889513641270392,0.5343776484417994,0.1262434076759405,0.4351376398842933,0.04217604604378943,0.16313985334261083,0.2917522049317454,0.18331096725900126,-0.3005199565547928
制造业PMI一阶差分_去季节性,0.23588810287091855,1.0,0.08612597797478945,0.19441984067030618,-0.02967440216370296,0.05830908464015012,-0.21383937606664574,0.038416937414983254,-0.07488164844333235,-0.22265481617376595,-0.23620570278678035,-0.011965127392359031,-0.1920738713259562
服务业PMI,0.2646607128167189,0.08612597797478945,1.0,0.39739360970088705,0.5399732191261054,0.3460222835906059,0.6818879524792485,0.526766851854523,-0.016231358066933203,0.5234710423850902,0.48632697861890556,0.06665919385804357,-0.03309462299599292
服务业PMI一阶差分,0.04622353264907913,0.19441984067030618,0.39739360970088705,1.0,0.08793229704123336,0.22310786425312049,-0.025514136822772145,-0.08930916391008017,-0.2306439520163904,-0.07059400091998895,-0.05591275369037693,-0.0770210137853526,-0.0649671675829482
工业增加值,0.6889513641270392,-0.02967440216370296,0.5399732191261054,0.08793229704123336,1.0,0.9267954733251481,0.3729143736331331,0.6757654937595133,0.24435850441704968,0.32088572287223854,0.5822160715092002,0.2692589012343414,-0.24639473500924214
用电量,0.5343776484417994,0.05830908464015012,0.3460222835906059,0.22310786425312049,0.9267954733251481,1.0,0.6682863827867298,0.6565973637762664,0.25887418735331397,0.26852999285391954,0.561721935371922,0.3822700940297573,-0.1367627092736736
社零,0.1262434076759405,-0.21383937606664574,0.6818879524792485,-0.025514136822772145,0.3729143736331331,0.6682863827867298,1.0,0.5863431995543903,0.2053945687902554,0.6025436902698882,0.7158626841050669,0.2761798311349269,-0.09778616658029403
固投累计同比_去季节性,0.4351376398842933,0.038416937414983254,0.526766851854523,-0.08930916391008017,0.6757654937595133,0.6565973637762664,0.5863431995543903,1.0,0.39301242116454976,0.045437116672960125,0.40092961081633616,0.4583371204596177,-0.4295062661725025
固投当月同比_去季节性,0.04217604604378943,-0.07488164844333235,-0.016231358066933203,-0.2306439520163904,0.24435850441704968,0.25887418735331397,0.2053945687902554,0.39301242116454976,1.0,0.0342814610513097,0.14358018494302,0.21002147358851192,-0.1630377632773337
CPI,0.16313985334261083,-0.22265481617376595,0.5234710423850902,-0.07059400091998895,0.32088572287223854,0.26852999285391954,0.6025436902698882,0.045437116672960125,0.0342814610513097,1.0,0.770730749007273,0.1239619561844222,0.4117370594226137
PPI,0.2917522049317454,-0.23620570278678035,0.48632697861890556,-0.05591275369037693,0.5822160715092002,0.561721935371922,0.7158626841050669,0.40092961081633616,0.14358018494302,0.770730749007273,1.0,0.3297718808506385,0.08445191222254894
逆回购7天(19日),0.18331096725900126,-0.011965127392359031,0.06665919385804357,-0.0770210137853526,0.2692589012343414,0.3822700940297573,0.2761798311349269,0.4583371204596177,0.21002147358851192,0.1239619561844222,0.3297718808506385,1.0,0.11119386355174492
银行间7天回购(20-19均值),-0.3005199565547928,-0.1920738713259562,-0.03309462299599292,-0.0649671675829482,-0.24639473500924214,-0.1367627092736736,-0.09778616658029403,-0.4295062661725025,-0.1630377632773337,0.4117370594226137,0.08445191222254894,0.11119386355174492,1.0
