month,GDP同比,制造业PMI_去季节性,服务业PMI,工业增加值,社零,固投累计同比_去季节性,CPI,PPI,逆回购7天(19日),银行间7天回购(20-19均值)
1980-01,,,,,,,,,,
1980-02,,,,,,,,,,
1980-03,,,,,,,,,,
1980-04,,,,,,,,,,
1980-05,,,,,,,,,,
1980-06,,,,,,,,,,
1980-07,,,,,,,,,,
1980-08,,,,,,,,,,
1980-09,,,,,,,,,,
1980-10,,,,,,,,,,
1980-11,,,,,,,,,,
1980-12,,,,,,,,,,
1981-01,,,,,,,,,,
1981-02,,,,,,,,,,
1981-03,,,,,,,,,,
1981-04,,,,,,,,,,
1981-05,,,,,,,,,,
1981-06,,,,,,,,,,
1981-07,,,,,,,,,,
1981-08,,,,,,,,,,
1981-09,,,,,,,,,,
1981-10,,,,,,,,,,
1981-11,,,,,,,,,,
1981-12,,,,,,,,,,
1982-01,,,,,,,,,,
1982-02,,,,,,,,,,
1982-03,,,,,,,,,,
1982-04,,,,,,,,,,
1982-05,,,,,,,,,,
1982-06,,,,,,,,,,
1982-07,,,,,,,,,,
1982-08,,,,,,,,,,
1982-09,,,,,,,,,,
1982-10,,,,,,,,,,
1982-11,,,,,,,,,,
1982-12,,,,,,,,,,
1983-01,,,,,,,,,,
1983-02,,,,,,,,,,
1983-03,,,,,,,,,,
1983-04,,,,,,,,,,
1983-05,,,,,,,,,,
1983-06,,,,,,,,,,
1983-07,,,,,,,,,,
1983-08,,,,,,,,,,
1983-09,,,,,,,,,,
1983-10,,,,,,,,,,
1983-11,,,,,,,,,,
1983-12,,,,,,,,,,
1984-01,,,,,,,,,,
1984-02,,,,,,,,,,
1984-03,,,,,,,,,,
1984-04,,,,,,,,,,
1984-05,,,,,,,,,,
1984-06,,,,,,,,,,
1984-07,,,,,,,,,,
1984-08,,,,,,,,,,
1984-09,,,,,,,,,,
1984-10,,,,,,,,,,
1984-11,,,,,,,,,,
1984-12,,,,,,,,,,
1985-01,,,,,,,,,,
1985-02,,,,,,,,,,
1985-03,,,,,,,,,,
1985-04,,,,,,,,,,
1985-05,,,,,,,,,,
1985-06,,,,,,,,,,
1985-07,,,,,,,,,,
1985-08,,,,,,,,,,
1985-09,,,,,,,,,,
1985-10,,,,,,,,,,
1985-11,,,,,,,,,,
1985-12,,,,,,,,,,
1986-01,,,,,,,,,,
1986-02,,,,,,,,,,
1986-03,,,,,,,,,,
1986-04,,,,,,,,,,
1986-05,,,,,,,,,,
1986-06,,,,,,,,,,
1986-07,,,,,,,,,,
1986-08,,,,,,,,,,
1986-09,,,,,,,,,,
1986-10,,,,,,,,,,
1986-11,,,,,,,,,,
1986-12,,,,,,,,,,
1987-01,,,,,,,,,,
1987-02,,,,,,,0.9832841753466575,,,
1987-03,,,,,,,1.1189485628621496,,,
1987-04,,,,,,,1.299834412882805,,,
1987-05,,,,,,,1.7068275754292803,,,
1987-06,,,,,,,2.1138207379757556,,,
1987-07,,,,,,,2.204263662986083,,,
1987-08,,,,,,,2.204263662986083,,,
1987-09,,,,,,,2.385149513006739,,,
1987-10,,,,,,,2.1590422004809193,,,
1987-11,,,,,,,2.068599275470592,,,
1987-12,,,,,,,2.4303709755119036,,,
1988-01,,,,,,,2.431275404762007,,,
1988-02,,,,,,,2.9278070630687063,,,
1988-03,,,,,,,3.3800216881203453,,,
1988-04,,,,,,,2.431275404762007,,,
1988-05,,,,,,,2.431275404762007,,,
1988-06,,,,,,,2.431275404762007,,,
1988-07,,,,,,,2.431275404762007,,,
1988-08,,,,,,,2.431275404762007,,,
1988-09,,,,,,,2.431275404762007,,,
1988-10,,,,,,,2.431275404762007,,,
1988-11,,,,,,,2.431275404762007,,,
1988-12,,,,,,,2.431275404762007,,,
1989-01,,,,,,,2.431275404762007,,,
1989-02,,,,,,,11.06767031399821,,,
1989-03,,,,,,,11.519884939049849,,,
1989-04,,,,,,,2.431275404762007,,,
1989-05,,,,,,,2.431275404762007,,,
1989-06,,,,,,,2.431275404762007,,,
1989-07,,,,,,,2.431275404762007,,,
1989-08,,,,,,,2.431275404762007,,,
1989-09,,,,,,,2.431275404762007,,,
1989-10,,,,,,,2.431275404762007,,,
1989-11,,,,,,,2.431275404762007,,,
1989-12,,,,,,,2.023377812965428,,,
1990-01,,,,,,,1.6616061129241162,,,
1990-02,,,,-7.464177512260166,,,0.6215124753053463,,,
1990-03,,,,-1.7850984625485335,,,0.6667339378105104,,,
1990-04,,,,-1.6334387653206022,,,0.214519312758871,,,
1990-05,,,,-1.6334387653206022,,,0.12407638774854331,,,
1990-06,,,,-1.6334387653206022,,,-0.10203092477727627,,,
1990-07,,,,-1.6334387653206022,,,-0.8255743248598989,,,
1990-08,,,,-1.6334387653206022,,,-0.8255743248598989,,,
1990-09,,,,-1.6334387653206022,,,-0.19247384978760418,,,
1990-10,,,,-1.4151967619926034,,,-0.011587999766948558,,,
1990-11,,,,-0.501321972383835,,,0.07885492524337935,,,
1990-12,,,,-0.13142027182790508,,,0.3501837002743629,,,
1991-01,,,,-0.13142027182790508,,,0.6215124753053463,,,
1991-02,,,,2.24030239644247,,,-0.3281382373030958,,,
1991-03,,,,-0.8712236729397653,,,-0.8707957873650629,,,
1991-04,,,,-0.501321972383835,,,-0.5994670123340794,,,
1991-05,,,,-0.501321972383835,,,-0.7351313998495711,,,
1991-06,,,,-0.501321972383835,,,0.30496223776919895,,,
1991-07,,,,-0.8712236729397653,,,0.6667339378105104,,,
1991-08,,,,-0.501321972383835,,,0.8023983253260021,,,
1991-09,,,,-0.3054916603248131,,,0.89284125033633,,,
1991-10,,,,-0.13142027182790508,,,0.7119554003156742,,,
1991-11,,,,-0.3054916603248131,,,0.8476197878311658,,,
1991-12,,,,-1.2193664499335817,,,0.6667339378105104,,,
1992-01,,,,-1.6334387653206022,,,0.7119554003156742,,,
1992-02,,,,-0.501321972383835,,,1.1641700253673133,,,
1992-03,,,,1.1523562183367935,-4.976417172251515,7.736708869409229,1.0737271003569853,,,
1992-04,1.53631594953704,,,0.7824545177808635,-1.2817851119185828,,1.0737271003569853,,,
1992-05,,,,0.41255281722493325,-1.2817851119185828,,1.887713425449936,,,
1992-06,,,,0.2384814287280252,-1.2817851119185828,,0.8023983253260021,,,
1992-07,1.7533097277202379,,,0.7824545177808635,-1.2817851119185828,1.368845880520499,0.8476197878311658,,,
1992-08,,,,1.3264276068337018,-1.2817851119185828,1.7249109923882562,1.0285056378518216,,,
1992-09,,,,0.9565259062777719,-1.2817851119185828,1.9615022027740991,1.299834412882805,,,
