,macro_alpha_t,macro_alpha_lag1,macro_alpha_lag2,macro_alpha_lag3,macro_alpha_lag4,macro_alpha_lag5,macro_S_t,macro_S_lag1,real_alpha_t,real_alpha_lag1,real_alpha_lag2,real_alpha_lag3,real_alpha_lag4,real_alpha_lag5,real_S_t,real_S_lag1,nominal_alpha_t,nominal_alpha_lag1,nominal_alpha_lag2,nominal_alpha_lag3,nominal_alpha_lag4,nominal_alpha_lag5,nominal_S_t,nominal_S_lag1
2006-01,18.098131853488336,17.222332974759002,20.866116765574134,26.911729368709487,32.29149436948483,36.45363050075683,11.32870307476794,68.9183187610023,17.898755372415167,11.961354560858561,1.40636068699208,-6.8626022593636735,-18.53017497242852,-26.44765183830312,2.562460799710519,28.27574030222271,-5.56301753092598,-5.967011284136294,-5.604396848358637,5.652777573936212,1.4515470998361855,4.003618026352058,-0.14522998075407811,-0.14522998075394303
2006-02,21.828706141384227,18.098131853488333,17.222332974759002,20.866116765574137,26.91172936870949,32.29149436948483,33.15740921615229,11.328703074767894,21.96784519101383,17.898755372415167,11.961354560858561,1.4063606869920804,-6.8626022593636735,-18.53017497242852,24.53030599072435,2.5624607997105167,-8.22515868983028,-5.56301753092598,-5.967011284136294,-5.604396848358637,5.652777573936212,1.4515470998361855,-8.37038867058436,-0.14522998075407842
2006-03,25.127600692122535,21.828706141381247,18.098131853488354,17.222332974759063,20.86611676557391,26.911729368709448,58.28500990827126,33.15740921614924,24.336294604720162,21.967845191013748,17.898755372415156,11.961354560858611,1.406360686992089,-6.86260225936368,48.86660059544488,24.530305990724017,-9.048506325830393,-8.225158689830279,-5.56301753092597,-5.967011284136302,-5.604396848358637,5.652777573936211,-17.418894996414757,-8.370388670584353
2006-04,26.792108393519957,25.127600692121803,21.828706141380973,18.09813185348843,17.222332974759038,20.866116765573913,26.792108393519957,58.285009908270645,21.556799355695322,24.336294604719736,21.967845191013488,17.89875537241511,11.961354560858595,1.4063606869921674,21.556799355695322,48.866600595443494,-8.637013887169916,-9.048506325830362,-8.225158689830257,-5.5630175309259915,-5.9670112841362934,-5.604396848358637,-8.637013887169916,-17.4188949964147
2006-05,27.588108513919515,26.79210839351997,25.127600692121774,21.828706141380973,18.098131853488447,17.22233297475905,54.380216907439284,26.79210839351997,20.721386647476052,21.55679935569543,24.33629460471977,21.967845191013485,17.89875537241512,11.961354560858622,42.27818600317115,21.55679935569543,-8.519255399598496,-8.637013887169916,-9.048506325830356,-8.225158689830257,-5.563017530925995,-5.967011284136295,-17.156269286768406,-8.637013887169916
2006-06,27.46691944819653,27.58810851391948,26.792108393519957,25.127600692121778,21.828706141380973,18.098131853488447,81.84713635563615,54.38021690743951,15.822251881252427,20.72138664747611,21.556799355695546,24.33629460471975,21.967845191013495,17.89875537241511,58.100437884424004,42.27818600317154,-8.293707192712198,-8.5192553995985,-8.637013887169923,-9.048506325830358,-8.225158689830256,-5.563017530925996,-25.449976479480622,-17.156269286768413
2006-07,25.38735437375773,27.466919448196546,27.588108513919465,26.792108393519975,25.12760069212176,21.828706141380966,25.38735437375773,81.84713635563598,13.735307429270355,15.822251881252408,20.721386647476,21.556799355695453,24.336294604719747,21.967845191013467,13.735307429270355,58.1004378844237,-8.548064662712736,-8.293707192712182,-8.519255399598505,-8.637013887169914,-9.048506325830354,-8.225158689830254,-8.548064662712736,-25.4499764794806
2006-08,21.744195755456946,25.38735437375801,27.46691944819654,27.58810851391948,26.792108393519985,25.127600692121753,47.13155012921471,25.38735437375801,12.677626454175462,13.735307429270659,15.822251881252441,20.721386647476024,21.556799355695482,24.336294604719747,26.412933883445945,13.735307429270659,-7.434189260369498,-8.54806466271276,-8.293707192712196,-8.51925539959851,-8.637013887169916,-9.048506325830354,-15.982253923082203,-8.54806466271276
2006-09,18.63071294513132,21.74419575545674,25.387354373757873,27.466919448196503,27.588108513919458,26.79210839351998,65.76226307434608,47.13155012921456,12.159297568832528,12.67762645417503,13.73530742927051,15.822251881252308,20.721386647476002,21.556799355695496,38.57223145227781,26.412933883445763,-6.472941282064141,-7.43418926036948,-8.54806466271274,-8.293707192712187,-8.519255399598508,-8.637013887169916,-22.455195205146396,-15.982253923082176
2006-10,17.261008275161984,18.630712945131148,21.744195755456783,25.387354373757898,27.46691944819652,27.588108513919458,17.261008275161984,65.76226307434575,16.956124445149,12.159297568832187,12.6776264541751,13.73530742927059,15.822251881252296,20.721386647476045,16.956124445149,38.57223145227784,-6.231300578479605,-6.472941282064136,-7.434189260369463,-8.548064662712733,-8.293707192712189,-8.51925539959851,-6.231300578479605,-22.455195205146325
2006-11,16.859343017895725,17.261008275162183,18.630712945131187,21.744195755456797,25.387354373757894,27.466919448196506,34.120351293057624,17.261008275162183,19.752919089365644,16.956124445149314,12.159297568832248,12.677626454175138,13.735307429270565,15.822251881252248,36.70904353451528,16.956124445149314,-5.225115803252676,-6.2313005784796145,-6.472941282064145,-7.4341892603694655,-8.548064662712731,-8.293707192712187,-11.456416381732291,-6.2313005784796145
2006-12,16.621170633545365,16.859343017895473,17.261008275162144,18.630712945131176,21.74419575545678,25.387354373757894,50.74152192660229,34.120351293057865,27.132199348216616,19.752919089365555,16.956124445148514,12.1592975688324,12.677626454175108,13.735307429270538,63.84124288273154,36.70904353451486,-3.7730399797878844,-5.225115803252698,-6.23130057847963,-6.472941282064145,-7.43418926036947,-8.54806466271273,-15.229456361520157,-11.456416381732272
2007-01,17.187902466592146,16.621170633545187,16.859343017895362,17.26100827516209,18.630712945131116,21.74419575545678,17.187902466592146,50.74152192660269,32.66692699808151,27.132199348217043,19.75291908936571,16.95612444514851,12.159297568832425,12.67762645417511,32.66692699808151,63.841242882731265,-4.63340926055934,-3.773039979787844,-5.22511580325267,-6.231300578479624,-6.472941282064136,-7.434189260369467,-4.63340926055934,-15.229456361520144
