,macro,real,nominal
GDP同比,-0.011139695560375407,0.00036443953168875166,0.0
制造业PMI_去季节性,-0.017121231625764163,0.0015252249927689466,0.0
服务业PMI,-0.028656973999797285,0.008816757697231389,0.0
工业增加值,-0.02803386086319052,0.0009198341985706854,0.0
用电量,-0.023852133985918303,0.0008286350676970344,0.0
社零,-0.0317676096734771,-0.00016030504336726252,0.0
固投当月同比_去季节性,-0.014198266207617613,5.78184583277741e-05,0.0
CPI,-0.05568226167896197,0.0,0.07506265300677463
PPI,-0.03925590458706862,0.0,0.04440312419412322
逆回购7天(19日),-0.013595836185958905,0.0,-0.016143699388914173
银行间7天回购(20-19均值),-0.023016658637982586,0.0,0.06237669682027353
