month,GDP同比,制造业PMI_去季节性,服务业PMI,工业增加值,用电量,社零,固投当月同比_去季节性,CPI,PPI,逆回购7天(19日),银行间7天回购(20-19均值)
1980-01,,,,,,,,,,,
1980-02,,,,,,,,,,,
1980-03,,,,,,,,,,,
1980-04,,,,,,,,,,,
1980-05,,,,,,,,,,,
1980-06,,,,,,,,,,,
1980-07,,,,,,,,,,,
1980-08,,,,,,,,,,,
1980-09,,,,,,,,,,,
1980-10,,,,,,,,,,,
1980-11,,,,,,,,,,,
1980-12,,,,,,,,,,,
1981-01,,,,,,,,,,,
1981-02,,,,,,,,,,,
1981-03,,,,,,,,,,,
1981-04,,,,,,,,,,,
1981-05,,,,,,,,,,,
1981-06,,,,,,,,,,,
1981-07,,,,,,,,,,,
1981-08,,,,,,,,,,,
1981-09,,,,,,,,,,,
1981-10,,,,,,,,,,,
1981-11,,,,,,,,,,,
1981-12,,,,,,,,,,,
1982-01,,,,,,,,,,,
1982-02,,,,,,,,,,,
1982-03,,,,,,,,,,,
1982-04,,,,,,,,,,,
1982-05,,,,,,,,,,,
1982-06,,,,,,,,,,,
1982-07,,,,,,,,,,,
1982-08,,,,,,,,,,,
1982-09,,,,,,,,,,,
1982-10,,,,,,,,,,,
1982-11,,,,,,,,,,,
1982-12,,,,,,,,,,,
1983-01,,,,,,,,,,,
1983-02,,,,,,,,,,,
1983-03,,,,,,,,,,,
1983-04,,,,,,,,,,,
1983-05,,,,,,,,,,,
1983-06,,,,,,,,,,,
1983-07,,,,,,,,,,,
1983-08,,,,,,,,,,,
1983-09,,,,,,,,,,,
1983-10,,,,,,,,,,,
1983-11,,,,,,,,,,,
1983-12,,,,,,,,,,,
1984-01,,,,,,,,,,,
1984-02,,,,,,,,,,,
1984-03,,,,,,,,,,,
1984-04,,,,,,,,,,,
1984-05,,,,,,,,,,,
1984-06,,,,,,,,,,,
1984-07,,,,,,,,,,,
1984-08,,,,,,,,,,,
1984-09,,,,,,,,,,,
1984-10,,,,,,,,,,,
1984-11,,,,,,,,,,,
1984-12,,,,,,,,,,,
1985-01,,,,,,,,,,,
1985-02,,,,,,,,,,,
1985-03,,,,,,,,,,,
1985-04,,,,,,,,,,,
1985-05,,,,,,,,,,,
1985-06,,,,,,,,,,,
1985-07,,,,,,,,,,,
1985-08,,,,,,,,,,,
1985-09,,,,,,,,,,,
1985-10,,,,,,,,,,,
1985-11,,,,,,,,,,,
1985-12,,,,,,,,,,,
1986-01,,,,,,,,,,,
1986-02,,,,,,,,,,,
1986-03,,,,,,,,,,,
1986-04,,,,,,,,,,,
1986-05,,,,,,,,,,,
1986-06,,,,,,,,,,,
1986-07,,,,,,,,,,,
1986-08,,,,,,,,,,,
1986-09,,,,,,,,,,,
1986-10,,,,,,,,,,,
1986-11,,,,,,,,,,,
1986-12,,,,,,,,,,,
1987-01,,,,,,,,,,,
1987-02,,,,,,,,1.1986115692250594,,,
1987-03,,,,,,,,1.3436411981690037,,,
1987-04,,,,,,,,1.5370140367609288,,,
1987-05,,,,,,,,1.9721029235927612,,,
1987-06,,,,,,,,2.407191810424593,,,
1987-07,,,,,,,,2.5038782297205557,,,
1987-08,,,,,,,,2.5038782297205557,,,
1987-09,,,,,,,,2.6972510683124806,,,
1987-10,,,,,,,,2.4555350200725745,,,
1987-11,,,,,,,,2.3588486007766116,,,
1987-12,,,,,,,,2.7455942779604627,,,
1988-01,,,,,,,,2.7465611421534226,,,
1988-02,,,,,,,,3.2773695840882575,,,
1988-03,,,,,,,,3.760801680568071,,,
1988-04,,,,,,,,2.7465611421534226,,,
1988-05,,,,,,,,2.7465611421534226,,,
1988-06,,,,,,,,2.7465611421534226,,,
1988-07,,,,,,,,2.7465611421534226,,,
1988-08,,,,,,,,2.7465611421534226,,,
1988-09,,,,,,,,2.7465611421534226,,,
1988-10,,,,,,,,2.7465611421534226,,,
1988-11,,,,,,,,2.7465611421534226,,,
1988-12,,,,,,,,2.7465611421534226,,,
1989-01,,,,,,,,2.7465611421534226,,,
1989-02,,,,,,,,11.979147320724898,,,
1989-03,,,,,,,,12.462579417204712,,,
1989-04,,,,,,,,2.7465611421534226,,,
1989-05,,,,,,,,2.7465611421534226,,,
1989-06,,,,,,,,2.7465611421534226,,,
1989-07,,,,,,,,2.7465611421534226,,,
1989-08,,,,,,,,2.7465611421534226,,,
1989-09,,,,,,,,2.7465611421534226,,,
1989-10,,,,,,,,2.7465611421534226,,,
1989-11,,,,,,,,2.7465611421534226,,,
1989-12,,,,,,,,2.3105053911286304,,,
1990-01,,,,,,,,1.9237597139447795,,,
1990-02,,,,-6.96383992888052,,,,0.8118658920412087,,,
1990-03,,,,-1.124919622604658,,,,0.8602091016891903,,,
1990-04,,,,-0.991138996430215,,,,0.3767770052093767,,,
1990-05,,,,-0.991138996430215,,,,0.2800905859134141,,,
1990-06,,,,-0.991138996430215,,,,0.03837453767350741,,,
1990-07,,,,-0.991138996430215,,,,-0.7351168166941942,,,
1990-08,,,,-0.991138996430215,,,,-0.7351168166941942,,,
1990-09,,,,-0.991138996430215,,,,-0.05831188162245536,,,
1990-10,,,,-0.7446068057207896,,,,0.13506095696946996,,,
1990-11,,,,0.19498956540406173,,,,0.23174737626543274,,,
1990-12,,,,0.57530238228793,,,,0.5218066341533208,,,
1991-01,,,,0.57530238228793,,,,0.8118658920412087,,,
1991-02,,,,3.0137786787786154,,,,-0.2033415105663993,,,
1991-03,,,,-0.1853232514798069,,,,-0.7834600263421755,,,
1991-04,,,,0.19498956540406173,,,,-0.4934007684542874,,,
1991-05,,,,0.19498956540406173,,,,-0.6384303973982315,,,
1991-06,,,,0.19498956540406173,,,,0.47346342450533946,,,
1991-07,,,,-0.1853232514798069,,,,0.8602091016891903,,,
1991-08,,,,0.19498956540406173,,,,1.0052387306331343,,,
1991-09,,,,0.39633164493081563,,,,1.101925149929097,,,
1991-10,,,,0.57530238228793,,,,0.9085523113371715,,,
1991-11,,,,0.39633164493081563,,,,1.0535819402811155,,,
1991-12,,,,-0.5432647261940359,,,,0.8602091016891903,,,
1992-01,,,,-0.991138996430215,,,,0.9085523113371715,,,
1992-02,,,,0.19498956540406173,,,,1.391984407816985,,,
1992-03,,,,1.8952115702966497,,-3.8046020425694214,,1.295297988521022,,,
1992-04,3.272407801476042,,,1.5148987534127816,,-1.1781965677292212,,1.295297988521022,,,
1992-05,,,,1.1345859365289128,,-1.1781965677292212,,2.1654757621846863,,,
1992-06,,,,0.9556151991717986,,-1.1781965677292212,,1.0052387306331343,,,
