,macro,real,nominal
GDP同比,0.0017903826615592,-0.0106818696200142,0.0
制造业PMI_去季节性,0.012399102436235,-0.0243260345444334,0.0
服务业PMI,0.0052822023941055,-0.0182146051069247,0.0
工业增加值,0.0043902064911233,-0.0280108235846014,0.0
用电量,0.008975899293617,-0.0190865801900127,0.0
社零,0.0029408708729959,-0.0322437610050041,0.0
固投当月同比_去季节性,0.000890047677501,-0.0177025318037212,0.0
CPI,0.0113709194178143,0.0,0.0115435363047791
PPI,0.0237385844836489,0.0,0.0075684273317558
逆回购7天(19日),0.0013278721343341,0.0,0.0054235185528503
银行间7天回购(20-19均值)_去季节性,-0.0010181755395946,0.0,0.0029886041333202
