qn_iter,eval_count,loglike,best_loglike,improvement,best_improvement,relative_loglike_change,aitken_loglike_limit,aitken_relative_gap,small_change_streak,max_ar_spectral_radius,min_h,max_h
1,76,147.38070658863867,147.3807068942858,0.004820225305053327,0.004820530952173385,3.270701485838578e-05,,,0,1.0236583264387924,0.005,0.9068608745101429
2,133,147.45966636152053,147.45966667010816,0.08377999818691251,0.08378030677454262,0.0005357537951168029,,,0,1.0289313355804572,0.005,0.9068608745101429
3,152,147.60764869792152,147.60764944631865,0.23176233458789852,0.2317630829850259,0.0010035444949277456,147.29037894191447,0.0021494127086621483,0,1.0370293890364786,0.005,0.9068608745101429
4,171,147.8137202450785,147.81372224696383,0.43783388174489346,0.4378358836302141,0.0013960763481756936,147.0826811761188,0.004945678031427919,0,1.0414458359359167,0.005,0.9068608745101429
5,190,148.20041608947568,148.20041887095368,0.8245297261420603,0.8245325076200629,0.0026161025089958927,147.37254476563487,0.005586160590406067,0,1.0415785400114186,0.005,0.9068608745101429
6,209,149.02649910967153,149.0265020420259,1.650612746337913,1.6506156786922759,0.005574093798070761,147.47339698506931,0.010421650739169957,0,1.0329172814122138,0.005,0.9068608745101429
7,228,149.52643210187367,149.52643392087563,2.150545738540046,2.150547557542012,0.003354658367396946,150.29274507210278,0.00512493316035932,0,1.024393282524518,0.005,0.9068608745101429
8,266,149.62341926470864,149.6234202059097,2.247532901375024,2.2475338425760754,0.0006486288843493549,149.64676361789267,0.00015602071720289558,0,1.0207044126448592,0.005,0.9068608745101429
9,285,149.678848440743,149.67884874158318,2.3029620774093758,2.3029623782495605,0.0003704578889237139,149.75277871967077,0.0004939260269432417,0,1.0182841654302226,0.005,0.9068608745101429
10,304,149.68491507311506,149.68491523239715,2.309028709781444,2.309028869063525,4.053099309131788e-05,149.685660659254,4.98103725805092e-06,0,1.0179314571455051,0.005,0.9068608745101429
