month,GDP同比,制造业PMI_去季节性,服务业PMI,工业增加值,用电量,社零,固投当月同比_去季节性,CPI,PPI,逆回购7天(19日),银行间7天回购(20-19均值)_去季节性
1980-01,,,,,,,,,,,
1980-02,,,,,,,,,,,
1980-03,,,,,,,,,,,
1980-04,,,,,,,,,,,
1980-05,,,,,,,,,,,
1980-06,,,,,,,,,,,
1980-07,,,,,,,,,,,
1980-08,,,,,,,,,,,
1980-09,,,,,,,,,,,
1980-10,,,,,,,,,,,
1980-11,,,,,,,,,,,
1980-12,,,,,,,,,,,
1981-01,,,,,,,,,,,
1981-02,,,,,,,,,,,
1981-03,,,,,,,,,,,
1981-04,,,,,,,,,,,
1981-05,,,,,,,,,,,
1981-06,,,,,,,,,,,
1981-07,,,,,,,,,,,
1981-08,,,,,,,,,,,
1981-09,,,,,,,,,,,
1981-10,,,,,,,,,,,
1981-11,,,,,,,,,,,
1981-12,,,,,,,,,,,
1982-01,,,,,,,,,,,
1982-02,,,,,,,,,,,
1982-03,,,,,,,,,,,
1982-04,,,,,,,,,,,
1982-05,,,,,,,,,,,
1982-06,,,,,,,,,,,
1982-07,,,,,,,,,,,
1982-08,,,,,,,,,,,
1982-09,,,,,,,,,,,
1982-10,,,,,,,,,,,
1982-11,,,,,,,,,,,
1982-12,,,,,,,,,,,
1983-01,,,,,,,,,,,
1983-02,,,,,,,,,,,
1983-03,,,,,,,,,,,
1983-04,,,,,,,,,,,
1983-05,,,,,,,,,,,
1983-06,,,,,,,,,,,
1983-07,,,,,,,,,,,
1983-08,,,,,,,,,,,
1983-09,,,,,,,,,,,
1983-10,,,,,,,,,,,
1983-11,,,,,,,,,,,
1983-12,,,,,,,,,,,
1984-01,,,,,,,,,,,
1984-02,,,,,,,,,,,
1984-03,,,,,,,,,,,
1984-04,,,,,,,,,,,
1984-05,,,,,,,,,,,
1984-06,,,,,,,,,,,
1984-07,,,,,,,,,,,
1984-08,,,,,,,,,,,
1984-09,,,,,,,,,,,
1984-10,,,,,,,,,,,
1984-11,,,,,,,,,,,
1984-12,,,,,,,,,,,
1985-01,,,,,,,,,,,
1985-02,,,,,,,,,,,
1985-03,,,,,,,,,,,
1985-04,,,,,,,,,,,
1985-05,,,,,,,,,,,
1985-06,,,,,,,,,,,
1985-07,,,,,,,,,,,
1985-08,,,,,,,,,,,
1985-09,,,,,,,,,,,
1985-10,,,,,,,,,,,
1985-11,,,,,,,,,,,
1985-12,,,,,,,,,,,
1986-01,,,,,,,,,,,
1986-02,,,,,,,,,,,
1986-03,,,,,,,,,,,
1986-04,,,,,,,,,,,
1986-05,,,,,,,,,,,
1986-06,,,,,,,,,,,
1986-07,,,,,,,,,,,
1986-08,,,,,,,,,,,
1986-09,,,,,,,,,,,
1986-10,,,,,,,,,,,
1986-11,,,,,,,,,,,
1986-12,,,,,,,,,,,
1987-01,,,,,,,,,,,
1987-02,,,,,,,,1.9992976711031678,,,
1987-03,,,,,,,,2.239594209584792,,,
1987-04,,,,,,,,2.5599895942269564,,,
1987-05,,,,,,,,3.0053071393411015,,,
1987-06,,,,,,,,3.0053071393411015,,,
1987-07,,,,,,,,3.0053071393411015,,,
1987-08,,,,,,,,3.0053071393411015,,,
1987-09,,,,,,,,3.0053071393411015,,,
1987-10,,,,,,,,3.0053071393411015,,,
1987-11,,,,,,,,3.0053071393411015,,,
1987-12,,,,,,,,3.0053071393411015,,,
1988-01,,,,,,,,3.0053071393411015,,,
1988-02,,,,,,,,5.443548056006439,,,
1988-03,,,,,,,,6.244536517611851,,,
1988-04,,,,,,,,3.0053071393411015,,,
1988-05,,,,,,,,3.0053071393411015,,,
1988-06,,,,,,,,3.0053071393411015,,,
1988-07,,,,,,,,3.0053071393411015,,,
1988-08,,,,,,,,3.0053071393411015,,,
1988-09,,,,,,,,3.0053071393411015,,,
1988-10,,,,,,,,3.0053071393411015,,,
1988-11,,,,,,,,3.0053071393411015,,,
1988-12,,,,,,,,3.0053071393411015,,,
1989-01,,,,,,,,3.0053071393411015,,,
1989-02,,,,,,,,19.86134036490385,,,
1989-03,,,,,,,,20.66232882650926,,,
1989-04,,,,,,,,3.0053071393411015,,,
1989-05,,,,,,,,3.0053071393411015,,,
1989-06,,,,,,,,3.0053071393411015,,,
1989-07,,,,,,,,3.0053071393411015,,,
1989-08,,,,,,,,3.0053071393411015,,,
1989-09,,,,,,,,3.0053071393411015,,,
1989-10,,,,,,,,3.0053071393411015,,,
1989-11,,,,,,,,3.0053071393411015,,,
1989-12,,,,,,,,3.0053071393411015,,,
1990-01,,,,,,,,3.0053071393411015,,,
1990-02,,,,-7.119091104522507,,,,1.3585069018188387,,,
1990-03,,,,-0.9073739634212826,,,,1.4386057479793801,,,
1990-04,,,,-0.9794870014961359,,,,0.6376172863739681,,,
1990-05,,,,-0.9794870014961359,,,,0.477419594052886,,,
1990-06,,,,-0.9794870014961359,,,,0.0769253632501801,,,
1990-07,,,,-0.9073739634212826,,,,-1.126960294542754,,,
1990-08,,,,-0.9794870014961359,,,,-1.126960294542754,,,
1990-09,,,,-0.9794870014961359,,,,-0.0832723290709024,,,
1990-10,,,,-0.5027793603610496,,,,0.23712305557126223,,,
1990-11,,,,0.49680730602305545,,,,0.39732074789234473,,,
1990-12,,,,0.9014019090832882,,,,0.8779138248555919,,,
1991-01,,,,0.9014019090832882,,,,1.3585069018188387,,,
1991-02,,,,3.49556730517537,,,,-0.3235688675525258,,,
1991-03,,,,0.0922127029628222,,,,-1.28475502147902,,,
1991-04,,,,0.49680730602305545,,,,-0.8041619445157729,,,
1991-05,,,,0.49680730602305545,,,,-1.0444584829973964,,,
1991-06,,,,0.49680730602305545,,,,0.7978149786950506,,,
1991-07,,,,0.0922127029628222,,,,1.4386057479793801,,,
1991-08,,,,0.49680730602305545,,,,1.6789022864610035,,,
1991-09,,,,0.7110044488196494,,,,1.839099978782086,,,
1991-10,,,,0.9014019090832882,,,,1.518704594139921,,,
1991-11,,,,0.7110044488196494,,,,1.7590011326215444,,,
1991-12,,,,-0.2885822175644558,,,,1.4386057479793801,,,
1992-01,,,,-0.9073739634212826,,,,1.518704594139921,,,
1992-02,,,,0.49680730602305545,,,,2.319693055745333,,,
1992-03,,,,2.3055831785276264,,-3.6466582519936144,,2.1594953634242504,,,
1992-04,4.297104605935594,,,1.9009885754673934,,-1.536333995168546,,2.1594953634242504,,,
1992-05,,,,1.4963939724071602,,-1.536333995168546,,3.0053071393411015,,,
1992-06,,,,1.3059965121435215,,-1.536333995168546,,1.6789022864610035,,,
