month,GDP同比,制造业PMI_去季节性,服务业PMI,工业增加值,用电量,社零_去季节性,CPI,PPI,失业率差分,逆回购7天(19日),银行间7天回购(20-19均值)
1980-01,,,,,,,,,,,
1980-02,,,,,,,,,,,
1980-03,,,,,,,,,,,
1980-04,,,,,,,,,,,
1980-05,,,,,,,,,,,
1980-06,,,,,,,,,,,
1980-07,,,,,,,,,,,
1980-08,,,,,,,,,,,
1980-09,,,,,,,,,,,
1980-10,,,,,,,,,,,
1980-11,,,,,,,,,,,
1980-12,,,,,,,,,,,
1981-01,,,,,,,,,,,
1981-02,,,,,,,,,,,
1981-03,,,,,,,,,,,
1981-04,,,,,,,,,,,
1981-05,,,,,,,,,,,
1981-06,,,,,,,,,,,
1981-07,,,,,,,,,,,
1981-08,,,,,,,,,,,
1981-09,,,,,,,,,,,
1981-10,,,,,,,,,,,
1981-11,,,,,,,,,,,
1981-12,,,,,,,,,,,
1982-01,,,,,,,,,,,
1982-02,,,,,,,,,,,
1982-03,,,,,,,,,,,
1982-04,,,,,,,,,,,
1982-05,,,,,,,,,,,
1982-06,,,,,,,,,,,
1982-07,,,,,,,,,,,
1982-08,,,,,,,,,,,
1982-09,,,,,,,,,,,
1982-10,,,,,,,,,,,
1982-11,,,,,,,,,,,
1982-12,,,,,,,,,,,
1983-01,,,,,,,,,,,
1983-02,,,,,,,,,,,
1983-03,,,,,,,,,,,
1983-04,,,,,,,,,,,
1983-05,,,,,,,,,,,
1983-06,,,,,,,,,,,
1983-07,,,,,,,,,,,
1983-08,,,,,,,,,,,
1983-09,,,,,,,,,,,
1983-10,,,,,,,,,,,
1983-11,,,,,,,,,,,
1983-12,,,,,,,,,,,
1984-01,,,,,,,,,,,
1984-02,,,,,,,,,,,
1984-03,,,,,,,,,,,
1984-04,,,,,,,,,,,
1984-05,,,,,,,,,,,
1984-06,,,,,,,,,,,
1984-07,,,,,,,,,,,
1984-08,,,,,,,,,,,
1984-09,,,,,,,,,,,
1984-10,,,,,,,,,,,
1984-11,,,,,,,,,,,
1984-12,,,,,,,,,,,
1985-01,,,,,,,,,,,
1985-02,,,,,,,,,,,
1985-03,,,,,,,,,,,
1985-04,,,,,,,,,,,
1985-05,,,,,,,,,,,
1985-06,,,,,,,,,,,
1985-07,,,,,,,,,,,
1985-08,,,,,,,,,,,
1985-09,,,,,,,,,,,
1985-10,,,,,,,,,,,
1985-11,,,,,,,,,,,
1985-12,,,,,,,,,,,
1986-01,,,,,,,,,,,
1986-02,,,,,,,,,,,
1986-03,,,,,,,,,,,
1986-04,,,,,,,,,,,
1986-05,,,,,,,,,,,
1986-06,,,,,,,,,,,
1986-07,,,,,,,,,,,
1986-08,,,,,,,,,,,
1986-09,,,,,,,,,,,
1986-10,,,,,,,,,,,
1986-11,,,,,,,,,,,
1986-12,,,,,,,,,,,
1987-01,,,,,,,,,,,
1987-02,,,,,,,2.0567625006434356,,,,
1987-03,,,,,,,2.29398349969927,,,,
1987-04,,,,,,,2.6102781651070477,,,,
1987-05,,,,,,,3.0498961205573187,,,,
1987-06,,,,,,,3.0498961205573187,,,,
1987-07,,,,,,,3.0498961205573187,,,,
1987-08,,,,,,,3.0498961205573187,,,,
1987-09,,,,,,,3.0498961205573187,,,,
1987-10,,,,,,,3.0498961205573187,,,,
1987-11,,,,,,,3.0498961205573187,,,,
1987-12,,,,,,,3.0498961205573187,,,,
1988-01,,,,,,,3.0498961205573187,,,,
1988-02,,,,,,,5.456930153777051,,,,
1988-03,,,,,,,6.247666817296497,,,,
1988-04,,,,,,,3.0498961205573187,,,,
1988-05,,,,,,,3.0498961205573187,,,,
1988-06,,,,,,,3.0498961205573187,,,,
1988-07,,,,,,,3.0498961205573187,,,,
1988-08,,,,,,,3.0498961205573187,,,,
1988-09,,,,,,,3.0498961205573187,,,,
1988-10,,,,,,,3.0498961205573187,,,,
1988-11,,,,,,,3.0498961205573187,,,,
1988-12,,,,,,,3.0498961205573187,,,,
1989-01,,,,,,,3.0498961205573187,,,,
1989-02,,,,,,,19.690190097127065,,,,
1989-03,,,,,,,20.480926760646508,,,,
1989-04,,,,,,,3.0498961205573187,,,,
1989-05,,,,,,,3.0498961205573187,,,,
1989-06,,,,,,,3.0498961205573187,,,,
1989-07,,,,,,,3.0498961205573187,,,,
1989-08,,,,,,,3.0498961205573187,,,,
1989-09,,,,,,,3.0498961205573187,,,,
1989-10,,,,,,,3.0498961205573187,,,,
1989-11,,,,,,,3.0498961205573187,,,,
1989-12,,,,,,,3.0498961205573187,,,,
1990-01,,,,,,,3.0498961205573187,,,,
1990-02,,,,-8.706071618891114,,,1.4241731698278794,,,,
1990-03,,,,-0.8455428721200755,,,1.5032468361798246,,,,
1990-04,,,,-1.0277505308095956,,,0.7125101726603789,,,,
1990-05,,,,-1.0277505308095956,,,0.5543628399564899,,,,
1990-06,,,,-1.0277505308095956,,,0.15899450819676733,,,,
1990-07,,,,-0.8455428721200755,,,-1.1061841534343453,,,,
1990-08,,,,-1.0277505308095956,,,-1.1061841534343453,,,,
1990-09,,,,-1.0277505308095956,,,0.0008471754928781343,,,,
1990-10,,,,-0.33355440968671285,,,0.31714184090065617,,,,
1990-11,,,,0.9313582622074773,,,0.47528917360454537,,,,
1990-12,,,,1.4433467246408398,,,0.9497311717162127,,,,
1991-01,,,,1.4433467246408398,,,1.4241731698278794,,,,
1991-02,,,,4.726096277890048,,,-0.2363738235629553,,,,
1991-03,,,,0.41936979977411437,,,-1.1852578197862897,,,,
1991-04,,,,0.9313582622074773,,,-0.7108158216746225,,,,
1991-05,,,,0.9313582622074773,,,-0.9480368207304563,,,,
1991-06,,,,0.9313582622074773,,,0.870657505364268,,,,
1991-07,,,,0.41936979977411437,,,1.5032468361798246,,,,
1991-08,,,,0.9313582622074773,,,1.740467835235658,,,,
1991-09,,,,1.2024109776133753,,,1.898615167939547,,,,
1991-10,,,,1.4433467246408398,,,1.5823205025317688,,,,
1991-11,,,,1.2024109776133753,,,1.8195415015876022,,,,
1991-12,,,,-0.0625016942808151,,,1.5032468361798246,,,,
1992-01,,,,-0.8455428721200755,,,1.5823205025317688,,,,
1992-02,,,,0.9313582622074773,,,2.373057166051214,,,,
1992-03,,,,3.220247858968393,,-2.0323836429852964,2.214909833347325,,,,
1992-04,5.161931904134625,,,2.1068235380177223,,-2.4186731512535258,2.214909833347325,,,,
1992-05,,,,2.1068235380177223,,-2.2558670041125333,3.0498961205573187,,,,
1992-06,,,,1.9553351870742028,,-2.3788735209616183,1.740467835235658,,,,
