month,GDP同比,制造业PMI,服务业PMI,工业增加值,用电量,社零,固投当月同比_去季节性,CPI,PPI,失业率差分_去季节性,逆回购7天(19日),银行间7天回购(20-19均值)
1980-01,,,,,,,,,,,,
1980-02,,,,,,,,,,,,
1980-03,,,,,,,,,,,,
1980-04,,,,,,,,,,,,
1980-05,,,,,,,,,,,,
1980-06,,,,,,,,,,,,
1980-07,,,,,,,,,,,,
1980-08,,,,,,,,,,,,
1980-09,,,,,,,,,,,,
1980-10,,,,,,,,,,,,
1980-11,,,,,,,,,,,,
1980-12,,,,,,,,,,,,
1981-01,,,,,,,,,,,,
1981-02,,,,,,,,,,,,
1981-03,,,,,,,,,,,,
1981-04,,,,,,,,,,,,
1981-05,,,,,,,,,,,,
1981-06,,,,,,,,,,,,
1981-07,,,,,,,,,,,,
1981-08,,,,,,,,,,,,
1981-09,,,,,,,,,,,,
1981-10,,,,,,,,,,,,
1981-11,,,,,,,,,,,,
1981-12,,,,,,,,,,,,
1982-01,,,,,,,,,,,,
1982-02,,,,,,,,,,,,
1982-03,,,,,,,,,,,,
1982-04,,,,,,,,,,,,
1982-05,,,,,,,,,,,,
1982-06,,,,,,,,,,,,
1982-07,,,,,,,,,,,,
1982-08,,,,,,,,,,,,
1982-09,,,,,,,,,,,,
1982-10,,,,,,,,,,,,
1982-11,,,,,,,,,,,,
1982-12,,,,,,,,,,,,
1983-01,,,,,,,,,,,,
1983-02,,,,,,,,,,,,
1983-03,,,,,,,,,,,,
1983-04,,,,,,,,,,,,
1983-05,,,,,,,,,,,,
1983-06,,,,,,,,,,,,
1983-07,,,,,,,,,,,,
1983-08,,,,,,,,,,,,
1983-09,,,,,,,,,,,,
1983-10,,,,,,,,,,,,
1983-11,,,,,,,,,,,,
1983-12,,,,,,,,,,,,
1984-01,,,,,,,,,,,,
1984-02,,,,,,,,,,,,
1984-03,,,,,,,,,,,,
1984-04,,,,,,,,,,,,
1984-05,,,,,,,,,,,,
1984-06,,,,,,,,,,,,
1984-07,,,,,,,,,,,,
1984-08,,,,,,,,,,,,
1984-09,,,,,,,,,,,,
1984-10,,,,,,,,,,,,
1984-11,,,,,,,,,,,,
1984-12,,,,,,,,,,,,
1985-01,,,,,,,,,,,,
1985-02,,,,,,,,,,,,
1985-03,,,,,,,,,,,,
1985-04,,,,,,,,,,,,
1985-05,,,,,,,,,,,,
1985-06,,,,,,,,,,,,
1985-07,,,,,,,,,,,,
1985-08,,,,,,,,,,,,
1985-09,,,,,,,,,,,,
1985-10,,,,,,,,,,,,
1985-11,,,,,,,,,,,,
1985-12,,,,,,,,,,,,
1986-01,,,,,,,,,,,,
1986-02,,,,,,,,,,,,
1986-03,,,,,,,,,,,,
1986-04,,,,,,,,,,,,
1986-05,,,,,,,,,,,,
1986-06,,,,,,,,,,,,
1986-07,,,,,,,,,,,,
1986-08,,,,,,,,,,,,
1986-09,,,,,,,,,,,,
1986-10,,,,,,,,,,,,
1986-11,,,,,,,,,,,,
1986-12,,,,,,,,,,,,
1987-01,,,,,,,,,,,,
1987-02,,,,,,,,3.4717594851901112,,,,
1987-03,,,,,,,,3.7827684399377994,,,,
1987-04,,,,,,,,2.8497415756947366,,,,
1987-05,,,,,,,,2.8497415756947366,,,,
1987-06,,,,,,,,2.8497415756947366,,,,
1987-07,,,,,,,,2.8497415756947366,,,,
1987-08,,,,,,,,2.8497415756947366,,,,
1987-09,,,,,,,,2.8497415756947366,,,,
1987-10,,,,,,,,2.8497415756947366,,,,
1987-11,,,,,,,,2.8497415756947366,,,,
1987-12,,,,,,,,2.8497415756947366,,,,
1988-01,,,,,,,,2.8497415756947366,,,,
1988-02,,,,,,,,7.929554503240299,,,,
1988-03,,,,,,,,8.966251019065925,,,,
1988-04,,,,,,,,2.8497415756947366,,,,
1988-05,,,,,,,,2.8497415756947366,,,,
1988-06,,,,,,,,2.8497415756947366,,,,
1988-07,,,,,,,,2.8497415756947366,,,,
1988-08,,,,,,,,2.8497415756947366,,,,
1988-09,,,,,,,,2.8497415756947366,,,,
1988-10,,,,,,,,2.8497415756947366,,,,
1988-11,,,,,,,,2.8497415756947366,,,,
1988-12,,,,,,,,2.8497415756947366,,,,
1989-01,,,,,,,,2.8497415756947366,,,,
1989-02,,,,,,,,26.590091788101546,,,,
1989-03,,,,,,,,27.62678830392717,,,,
1989-04,,,,,,,,2.8497415756947366,,,,
1989-05,,,,,,,,2.8497415756947366,,,,
1989-06,,,,,,,,2.8497415756947366,,,,
1989-07,,,,,,,,2.8497415756947366,,,,
1989-08,,,,,,,,2.8497415756947366,,,,
1989-09,,,,,,,,2.8497415756947366,,,,
1989-10,,,,,,,,2.8497415756947366,,,,
1989-11,,,,,,,,2.8497415756947366,,,,
1989-12,,,,,,,,2.8497415756947366,,,,
1990-01,,,,,,,,2.8497415756947366,,,,
1990-02,,,,-9.756210648170766,,,,2.6424022725296115,,,,
1990-03,,,,-0.37698986167790793,,,,2.7460719241121745,,,,
1990-04,,,,-1.3864240068602234,,,,1.709375408286549,,,,
1990-05,,,,-1.3864240068602234,,,,1.5020361051214246,,,,
1990-06,,,,-0.9878969627138412,,,,0.983687847208612,,,,
1990-07,,,,-0.37698986167790793,,,,-0.6750265781123879,,,,
1990-08,,,,-1.2753826573189861,,,,-0.6750265781123879,,,,
1990-09,,,,-0.6644755562830529,,,,0.7763485440434869,,,,
1990-10,,,,0.2339172393580253,,,,1.1910271503737369,,,,
1990-11,,,,1.1344661777086438,,,,1.398366453538862,,,,
1990-12,,,,1.1344661777086438,,,,2.020384363034237,,,,
1991-01,,,,1.1344661777086438,,,,2.6424022725296115,,,,
1991-02,,,,6.271116826066071,,,,0.4653395892957996,,,,
1991-03,,,,1.1323100349991033,,,,-0.7786962296949504,,,,
1991-04,,,,1.1344661777086438,,,,-0.15667832019957542,,,,
1991-05,,,,1.1344661777086438,,,,-0.4676872749472629,,,,
1991-06,,,,1.1344661777086438,,,,1.9167147114516743,,,,
1991-07,,,,1.1323100349991033,,,,2.7460719241121745,,,,
1991-08,,,,1.1344661777086438,,,,2.8497415756947366,,,,
1991-09,,,,1.1344661777086438,,,,2.8497415756947366,,,,
1991-10,,,,1.1344661777086438,,,,2.8497415756947366,,,,
1991-11,,,,1.1344661777086438,,,,2.8497415756947366,,,,
1991-12,,,,0.5573386457888133,,,,2.7460719241121745,,,,
1992-01,,,,-0.37698986167790793,,,,2.8497415756947366,,,,
1992-02,,,,1.7432171360350368,,,,3.886438091520361,,,,
