month,GDP同比,制造业PMI一阶差分_去季节性,服务业PMI,工业增加值,用电量,社零,固投当月同比_去季节性,CPI,PPI,失业率差分_去季节性,逆回购7天(19日),银行间7天回购(20-19均值)
1980-01,,,,,,,,,,,,
1980-02,,,,,,,,,,,,
1980-03,,,,,,,,,,,,
1980-04,,,,,,,,,,,,
1980-05,,,,,,,,,,,,
1980-06,,,,,,,,,,,,
1980-07,,,,,,,,,,,,
1980-08,,,,,,,,,,,,
1980-09,,,,,,,,,,,,
1980-10,,,,,,,,,,,,
1980-11,,,,,,,,,,,,
1980-12,,,,,,,,,,,,
1981-01,,,,,,,,,,,,
1981-02,,,,,,,,,,,,
1981-03,,,,,,,,,,,,
1981-04,,,,,,,,,,,,
1981-05,,,,,,,,,,,,
1981-06,,,,,,,,,,,,
1981-07,,,,,,,,,,,,
1981-08,,,,,,,,,,,,
1981-09,,,,,,,,,,,,
1981-10,,,,,,,,,,,,
1981-11,,,,,,,,,,,,
1981-12,,,,,,,,,,,,
1982-01,,,,,,,,,,,,
1982-02,,,,,,,,,,,,
1982-03,,,,,,,,,,,,
1982-04,,,,,,,,,,,,
1982-05,,,,,,,,,,,,
1982-06,,,,,,,,,,,,
1982-07,,,,,,,,,,,,
1982-08,,,,,,,,,,,,
1982-09,,,,,,,,,,,,
1982-10,,,,,,,,,,,,
1982-11,,,,,,,,,,,,
1982-12,,,,,,,,,,,,
1983-01,,,,,,,,,,,,
1983-02,,,,,,,,,,,,
1983-03,,,,,,,,,,,,
1983-04,,,,,,,,,,,,
1983-05,,,,,,,,,,,,
1983-06,,,,,,,,,,,,
1983-07,,,,,,,,,,,,
1983-08,,,,,,,,,,,,
1983-09,,,,,,,,,,,,
1983-10,,,,,,,,,,,,
1983-11,,,,,,,,,,,,
1983-12,,,,,,,,,,,,
1984-01,,,,,,,,,,,,
1984-02,,,,,,,,,,,,
1984-03,,,,,,,,,,,,
1984-04,,,,,,,,,,,,
1984-05,,,,,,,,,,,,
1984-06,,,,,,,,,,,,
1984-07,,,,,,,,,,,,
1984-08,,,,,,,,,,,,
1984-09,,,,,,,,,,,,
1984-10,,,,,,,,,,,,
1984-11,,,,,,,,,,,,
1984-12,,,,,,,,,,,,
1985-01,,,,,,,,,,,,
1985-02,,,,,,,,,,,,
1985-03,,,,,,,,,,,,
1985-04,,,,,,,,,,,,
1985-05,,,,,,,,,,,,
1985-06,,,,,,,,,,,,
1985-07,,,,,,,,,,,,
1985-08,,,,,,,,,,,,
1985-09,,,,,,,,,,,,
1985-10,,,,,,,,,,,,
1985-11,,,,,,,,,,,,
1985-12,,,,,,,,,,,,
1986-01,,,,,,,,,,,,
1986-02,,,,,,,,,,,,
1986-03,,,,,,,,,,,,
1986-04,,,,,,,,,,,,
1986-05,,,,,,,,,,,,
1986-06,,,,,,,,,,,,
1986-07,,,,,,,,,,,,
1986-08,,,,,,,,,,,,
1986-09,,,,,,,,,,,,
1986-10,,,,,,,,,,,,
1986-11,,,,,,,,,,,,
1986-12,,,,,,,,,,,,
1987-01,,,,,,,,,,,,
1987-02,,,,,,,,3.328348158461009,,,,
1987-03,,,,,,,,3.611711963447645,,,,
1987-04,,,,,,,,2.761620548487739,,,,
1987-05,,,,,,,,2.761620548487739,,,,
1987-06,,,,,,,,2.761620548487739,,,,
1987-07,,,,,,,,2.761620548487739,,,,
1987-08,,,,,,,,2.761620548487739,,,,
1987-09,,,,,,,,2.761620548487739,,,,
1987-10,,,,,,,,2.761620548487739,,,,
1987-11,,,,,,,,2.761620548487739,,,,
1987-12,,,,,,,,2.761620548487739,,,,
1988-01,,,,,,,,2.761620548487739,,,,
1988-02,,,,,,,,7.389896029936115,,,,
1988-03,,,,,,,,8.334442046558234,,,,
1988-04,,,,,,,,2.761620548487739,,,,
1988-05,,,,,,,,2.761620548487739,,,,
1988-06,,,,,,,,2.761620548487739,,,,
1988-07,,,,,,,,2.761620548487739,,,,
1988-08,,,,,,,,2.761620548487739,,,,
1988-09,,,,,,,,2.761620548487739,,,,
1988-10,,,,,,,,2.761620548487739,,,,
1988-11,,,,,,,,2.761620548487739,,,,
1988-12,,,,,,,,2.761620548487739,,,,
1989-01,,,,,,,,2.761620548487739,,,,
1989-02,,,,,,,,24.39172432913423,,,,
1989-03,,,,,,,,25.33627034575635,,,,
1989-04,,,,,,,,2.761620548487739,,,,
1989-05,,,,,,,,2.761620548487739,,,,
1989-06,,,,,,,,2.761620548487739,,,,
1989-07,,,,,,,,2.761620548487739,,,,
1989-08,,,,,,,,2.761620548487739,,,,
1989-09,,,,,,,,2.761620548487739,,,,
1989-10,,,,,,,,2.761620548487739,,,,
1989-11,,,,,,,,2.761620548487739,,,,
1989-12,,,,,,,,2.761620548487739,,,,
1990-01,,,,,,,,2.761620548487739,,,,
1990-02,,,,-7.307272128752764,,,,2.5727113451633152,,,,
1990-03,,,,-0.21284052721848618,,,,2.6671659468255275,,,,
1990-04,,,,-0.9763753306173285,,,,1.7226199302034095,,,,
1990-05,,,,-0.9763753306173285,,,,1.5337107268789862,,,,
1990-06,,,,-0.674929941877807,,,,1.0614377185679276,,,,
1990-07,,,,-0.21284052721848618,,,,-0.4498359080274608,,,,
1990-08,,,,-0.8923837840704285,,,,-0.4498359080274608,,,,
1990-09,,,,-0.43029436941110766,,,,0.8725285152435038,,,,
1990-10,,,,0.24924888744083465,,,,1.2503469218923506,,,,
1990-11,,,,0.9236955698663885,,,,1.4392561252167744,,,,
1990-12,,,,0.9236955698663885,,,,2.005983735190045,,,,
1991-01,,,,0.9236955698663885,,,,2.5727113451633152,,,,
1991-02,,,,4.815779573485887,,,,0.5891647102568687,,,,
1991-03,,,,0.9287921442927768,,,,-0.5442905096896726,,,,
1991-04,,,,0.9236955698663885,,,,0.02243710028359801,,,,
1991-05,,,,0.9236955698663885,,,,-0.2609267047030373,,,,
1991-06,,,,0.9236955698663885,,,,1.9115291335278335,,,,
1991-07,,,,0.9236955698663885,,,,2.6671659468255275,,,,
1991-08,,,,0.9236955698663885,,,,2.761620548487739,,,,
1991-09,,,,0.9236955698663885,,,,2.761620548487739,,,,
1991-10,,,,0.9236955698663885,,,,2.761620548487739,,,,
1991-11,,,,0.9236955698663885,,,,2.761620548487739,,,,
1991-12,,,,0.49388445990753377,,,,2.6671659468255275,,,,
1992-01,,,,-0.21284052721848618,,,,2.761620548487739,,,,
1992-02,,,,1.3908815589520978,,,,3.7061665651098563,,,,
1992-03,,,,3.4566930597820025,,-1.5049252123266965,,3.5172573617854326,,,,
