month,GDP同比,制造业PMI_去季节性,服务业PMI,工业增加值,用电量,社零,固投当月同比_去季节性,CPI,PPI,失业率差分_去季节性,逆回购7天(19日),银行间7天回购(20-19均值)_去季节性
1980-01,,,,,,,,,,,,
1980-02,,,,,,,,,,,,
1980-03,,,,,,,,,,,,
1980-04,,,,,,,,,,,,
1980-05,,,,,,,,,,,,
1980-06,,,,,,,,,,,,
1980-07,,,,,,,,,,,,
1980-08,,,,,,,,,,,,
1980-09,,,,,,,,,,,,
1980-10,,,,,,,,,,,,
1980-11,,,,,,,,,,,,
1980-12,,,,,,,,,,,,
1981-01,,,,,,,,,,,,
1981-02,,,,,,,,,,,,
1981-03,,,,,,,,,,,,
1981-04,,,,,,,,,,,,
1981-05,,,,,,,,,,,,
1981-06,,,,,,,,,,,,
1981-07,,,,,,,,,,,,
1981-08,,,,,,,,,,,,
1981-09,,,,,,,,,,,,
1981-10,,,,,,,,,,,,
1981-11,,,,,,,,,,,,
1981-12,,,,,,,,,,,,
1982-01,,,,,,,,,,,,
1982-02,,,,,,,,,,,,
1982-03,,,,,,,,,,,,
1982-04,,,,,,,,,,,,
1982-05,,,,,,,,,,,,
1982-06,,,,,,,,,,,,
1982-07,,,,,,,,,,,,
1982-08,,,,,,,,,,,,
1982-09,,,,,,,,,,,,
1982-10,,,,,,,,,,,,
1982-11,,,,,,,,,,,,
1982-12,,,,,,,,,,,,
1983-01,,,,,,,,,,,,
1983-02,,,,,,,,,,,,
1983-03,,,,,,,,,,,,
1983-04,,,,,,,,,,,,
1983-05,,,,,,,,,,,,
1983-06,,,,,,,,,,,,
1983-07,,,,,,,,,,,,
1983-08,,,,,,,,,,,,
1983-09,,,,,,,,,,,,
1983-10,,,,,,,,,,,,
1983-11,,,,,,,,,,,,
1983-12,,,,,,,,,,,,
1984-01,,,,,,,,,,,,
1984-02,,,,,,,,,,,,
1984-03,,,,,,,,,,,,
1984-04,,,,,,,,,,,,
1984-05,,,,,,,,,,,,
1984-06,,,,,,,,,,,,
1984-07,,,,,,,,,,,,
1984-08,,,,,,,,,,,,
1984-09,,,,,,,,,,,,
1984-10,,,,,,,,,,,,
1984-11,,,,,,,,,,,,
1984-12,,,,,,,,,,,,
1985-01,,,,,,,,,,,,
1985-02,,,,,,,,,,,,
1985-03,,,,,,,,,,,,
1985-04,,,,,,,,,,,,
1985-05,,,,,,,,,,,,
1985-06,,,,,,,,,,,,
1985-07,,,,,,,,,,,,
1985-08,,,,,,,,,,,,
1985-09,,,,,,,,,,,,
1985-10,,,,,,,,,,,,
1985-11,,,,,,,,,,,,
1985-12,,,,,,,,,,,,
1986-01,,,,,,,,,,,,
1986-02,,,,,,,,,,,,
1986-03,,,,,,,,,,,,
1986-04,,,,,,,,,,,,
1986-05,,,,,,,,,,,,
1986-06,,,,,,,,,,,,
1986-07,,,,,,,,,,,,
1986-08,,,,,,,,,,,,
1986-09,,,,,,,,,,,,
1986-10,,,,,,,,,,,,
1986-11,,,,,,,,,,,,
1986-12,,,,,,,,,,,,
1987-01,,,,,,,,,,,,
1987-02,,,,,,,,3.160178527857313,,,,
1987-03,,,,,,,,3.4190307834184366,,,,
1987-04,,,,,,,,2.6424740167350675,,,,
1987-05,,,,,,,,2.6424740167350675,,,,
1987-06,,,,,,,,2.6424740167350675,,,,
1987-07,,,,,,,,2.6424740167350675,,,,
1987-08,,,,,,,,2.6424740167350675,,,,
1987-09,,,,,,,,2.6424740167350675,,,,
1987-10,,,,,,,,2.6424740167350675,,,,
1987-11,,,,,,,,2.6424740167350675,,,,
1987-12,,,,,,,,2.6424740167350675,,,,
1988-01,,,,,,,,2.6424740167350675,,,,
1988-02,,,,,,,,6.870394190900075,,,,
1988-03,,,,,,,,7.733235042770485,,,,
1988-04,,,,,,,,2.6424740167350675,,,,
1988-05,,,,,,,,2.6424740167350675,,,,
1988-06,,,,,,,,2.6424740167350675,,,,
1988-07,,,,,,,,2.6424740167350675,,,,
1988-08,,,,,,,,2.6424740167350675,,,,
1988-09,,,,,,,,2.6424740167350675,,,,
1988-10,,,,,,,,2.6424740167350675,,,,
1988-11,,,,,,,,2.6424740167350675,,,,
1988-12,,,,,,,,2.6424740167350675,,,,
1989-01,,,,,,,,2.6424740167350675,,,,
1989-02,,,,,,,,22.40152952456745,,,,
1989-03,,,,,,,,23.26437037643786,,,,
1989-04,,,,,,,,2.6424740167350675,,,,
1989-05,,,,,,,,2.6424740167350675,,,,
1989-06,,,,,,,,2.6424740167350675,,,,
1989-07,,,,,,,,2.6424740167350675,,,,
1989-08,,,,,,,,2.6424740167350675,,,,
1989-09,,,,,,,,2.6424740167350675,,,,
1989-10,,,,,,,,2.6424740167350675,,,,
1989-11,,,,,,,,2.6424740167350675,,,,
1989-12,,,,,,,,2.6424740167350675,,,,
1990-01,,,,,,,,2.6424740167350675,,,,
1990-02,,,,-5.861227695006274,,,,2.469905846360985,,,,
1990-03,,,,-0.18042418057132928,,,,2.5561899315480265,,,,
1990-04,,,,-0.7918179381210518,,,,1.6933490796776165,,,,
1990-05,,,,-0.7918179381210518,,,,1.520780909303535,,,,
1990-06,,,,-0.5504382025843334,,,,1.08936048336833,,,,
1990-07,,,,-0.18042418057132928,,,,-0.2911848796243258,,,,
1990-08,,,,-0.7245624482375117,,,,-0.2911848796243258,,,,
1990-09,,,,-0.3545484262245076,,,,0.9167923129942478,,,,
1990-10,,,,0.18958984144167482,,,,1.2619286537424117,,,,
1990-11,,,,0.7296470721003617,,,,1.4344968241164937,,,,
1990-12,,,,0.7296470721003617,,,,1.9522013352387397,,,,
1991-01,,,,0.7296470721003617,,,,2.469905846360985,,,,
1991-02,,,,3.8461990001584208,,,,0.657940057433125,,,,
1991-03,,,,0.733728109107857,,,,-0.3774689648113669,,,,
1991-04,,,,0.7296470721003617,,,,0.1402355463108791,,,,
1991-05,,,,0.7296470721003617,,,,-0.11861670925024388,,,,
1991-06,,,,0.7296470721003617,,,,1.8659172500516987,,,,
1991-07,,,,0.7296470721003617,,,,2.5561899315480265,,,,
1991-08,,,,0.7296470721003617,,,,2.6424740167350675,,,,
1991-09,,,,0.7296470721003617,,,,2.6424740167350675,,,,
1991-10,,,,0.7296470721003617,,,,2.6424740167350675,,,,
1991-11,,,,0.7296470721003617,,,,2.6424740167350675,,,,
1991-12,,,,0.38547961780150036,,,,2.5561899315480265,,,,
1992-01,,,,-0.18042418057132928,,,,2.6424740167350675,,,,
1992-02,,,,1.1037421311208613,,,,3.505314868605477,,,,
